DATETIME,PRICE
2020-10-08,88.26
2020-10-09,88.47
2020-10-12,88.7
2020-10-13,88.48
2020-10-14,88.45
2020-10-15,88.09
2020-10-16,88.23
2020-10-19,87.71
2020-10-20,87.76
2020-10-21,87.31
2020-10-22,86.9
2020-10-23,87.31
2020-10-26,87.0
2020-10-27,87.52
2020-10-28,86.77
2020-10-29,86.8
2020-10-30,86.57
2020-11-02,86.7
2020-11-03,87.41
2020-11-04,89.1
2020-11-05,89.44
2020-11-06,89.04
2020-11-09,89.47
2020-11-10,89.37
2020-11-11,89.71
2020-11-12,89.54
2020-11-13,89.89
2020-11-16,90.08
2020-11-17,89.93
2020-11-18,89.85
2020-11-19,90.05
2020-11-20,90.12
2020-11-23,90.04
2020-11-24,90.17
2020-11-25,90.1
2020-11-27,90.39
2020-11-30,90.22
2020-12-01,90.44
2020-12-02,90.49
2020-12-03,90.87
2020-12-04,90.95
2020-12-07,90.94
2020-12-08,90.79
2020-12-09,90.56
2020-12-10,91.02
2020-12-11,91.06
2020-12-14,91.06
2020-12-15,91.37
2020-12-16,91.43
2020-12-17,91.73
2020-12-18,91.61
2020-12-21,91.35
2020-12-22,91.46
2020-12-23,91.6
2020-12-24,91.83
2020-12-28,91.85
2020-12-29,91.99
2020-12-30,92.11
2020-12-31,92.16
2021-01-04,91.65
2021-01-05,91.72
2021-01-06,91.06
2021-01-07,91.03
2021-01-08,91.07
2021-01-11,90.36
2021-01-12,89.93
2021-01-13,90.35
2021-01-14,90.09
2021-01-15,90.19
2021-01-19,90.32
2021-01-20,90.42
2021-01-21,90.48
2021-01-22,90.52
2021-01-25,90.88
2021-01-26,90.76
2021-01-27,90.34
2021-01-28,90.53
2021-01-29,90.52
2021-02-01,90.97
2021-02-02,90.97
2021-02-03,90.74
2021-02-04,91.0
2021-02-05,91.11
2021-02-08,91.11
2021-02-09,90.78
2021-02-10,90.96
2021-02-11,91.02
2021-02-12,90.52
2021-02-16,89.41
2021-02-17,89.9
2021-02-18,89.81
2021-02-19,89.33
2021-02-22,88.72
2021-02-23,88.83
2021-02-24,88.96
2021-02-25,87.38
2021-02-26,87.77
2021-03-01,88.25
2021-03-02,88.2
2021-03-03,87.67
2021-03-04,86.92
2021-03-05,86.9
2021-03-08,85.4
2021-03-09,86.41
2021-03-10,87.25
2021-03-11,87.89
2021-03-12,86.79
2021-03-15,87.36
2021-03-16,87.66
2021-03-17,88.4
2021-03-18,87.2
2021-03-19,87.45
2021-03-22,87.65
2021-03-23,87.33
2021-03-24,87.53
2021-03-25,87.4
2021-03-26,87.43
2021-03-29,86.97
2021-03-30,87.01
2021-03-31,87.13
2021-04-01,87.82
2021-04-05,87.71
2021-04-06,88.01
2021-04-07,87.7
2021-04-08,88.21
2021-04-09,87.97
2021-04-12,88.11
2021-04-13,88.58
2021-04-14,88.5
2021-04-15,89.57
2021-04-16,89.28
2021-04-19,89.22
2021-04-20,89.0
2021-04-21,89.16
2021-04-22,89.3
2021-04-23,89.45
2021-04-26,89.04
2021-04-27,88.56
2021-04-28,88.86
