DATETIME,PRICE
2020-10-07,35.98
2020-10-08,36.16
2020-10-09,36.82
2020-10-12,36.72
2020-10-13,36.1
2020-10-14,36.22
2020-10-15,36.36
2020-10-16,36.22
2020-10-19,36.26
2020-10-20,36.44
2020-10-21,36.74
2020-10-22,36.34
2020-10-23,36.32
2020-10-26,36.3
2020-10-27,36.4
2020-10-28,35.78
2020-10-29,35.64
2020-10-30,35.78
2020-11-02,36.14
2020-11-03,36.34
2020-11-04,36.36
2020-11-05,37.16
2020-11-06,37.22
2020-11-09,35.6
2020-11-10,35.7
2020-11-11,35.54
2020-11-12,35.78
2020-11-13,36.0
2020-11-16,36.0
2020-11-17,35.88
2020-11-18,35.68
2020-11-19,35.62
2020-11-20,35.74
2020-11-23,35.0
2020-11-24,34.48
2020-11-25,34.46
2020-11-27,34.08
2020-11-30,33.9
2020-12-01,34.58
2020-12-02,34.84
2020-12-03,35.12
2020-12-04,35.04
2020-12-07,35.54
2020-12-08,35.66
2020-12-09,35.1
2020-12-10,35.0
2020-12-11,35.08
2020-12-14,34.88
2020-12-15,35.38
2020-12-16,35.56
2020-12-17,35.94
2020-12-18,35.86
2020-12-21,35.78
2020-12-22,35.52
2020-12-23,35.72
2020-12-24,35.84
2020-12-28,35.74
2020-12-29,35.82
2020-12-30,36.1
2020-12-31,36.26
2021-01-04,37.1
2021-01-05,37.18
2021-01-06,36.6
2021-01-07,36.48
2021-01-08,35.26
2021-01-11,35.16
2021-01-12,35.36
2021-01-13,35.24
2021-01-14,35.22
2021-01-15,34.8
2021-01-19,35.1
2021-01-20,35.66
2021-01-21,35.64
2021-01-22,35.38
2021-01-25,35.38
2021-01-26,35.3
2021-01-27,35.1
2021-01-28,35.1
2021-01-29,35.1
2021-02-01,35.42
2021-02-02,34.98
2021-02-03,34.92
2021-02-04,34.18
2021-02-05,34.54
2021-02-08,34.9
2021-02-09,34.98
2021-02-10,35.14
2021-02-11,34.82
2021-02-12,34.72
2021-02-16,34.2
2021-02-17,33.84
2021-02-18,33.82
2021-02-19,33.96
2021-02-22,34.46
2021-02-23,34.4
2021-02-24,34.36
2021-02-25,33.72
2021-02-26,32.88
2021-03-01,32.84
2021-03-02,33.02
2021-03-03,32.68
2021-03-04,32.34
2021-03-05,32.36
2021-03-08,32.04
2021-03-09,32.72
2021-03-10,32.86
2021-03-11,32.86
2021-03-12,32.88
2021-03-15,32.98
2021-03-16,33.02
2021-03-17,33.24
2021-03-18,33.06
2021-03-19,33.22
2021-03-22,33.14
2021-03-23,32.88
2021-03-24,33.0
2021-03-25,32.88
2021-03-26,33.0
2021-03-29,32.6
2021-03-30,32.04
2021-03-31,32.52
2021-04-01,32.92
2021-04-05,32.9
2021-04-06,33.22
2021-04-07,33.1
2021-04-08,33.46
2021-04-09,33.22
2021-04-12,33.0
2021-04-13,33.22
2021-04-14,33.1
2021-04-15,33.64
2021-04-16,33.82
2021-04-19,33.74
2021-04-20,33.86
2021-04-21,34.2
2021-04-22,34.0
2021-04-23,33.82
2021-04-26,33.94
2021-04-27,33.84
2021-04-28,33.94
2021-04-29,33.8
2021-04-30,33.7
2021-05-03,34.14
2021-05-04,33.88
2021-05-05,34.04
2021-05-06,34.6
2021-05-07,34.9
2021-05-10,35.04
2021-05-11,35.04
2021-05-12,34.68
