DATETIME,PRICE
2020-10-08,18.34
2020-10-09,18.36
2020-10-12,18.41
2020-10-13,18.34
2020-10-14,18.35
2020-10-15,18.32
2020-10-16,18.31
2020-10-19,18.26
2020-10-20,18.33
2020-10-21,18.32
2020-10-22,18.41
2020-10-23,18.35
2020-10-26,18.26
2020-10-27,18.27
2020-10-28,18.15
2020-10-29,18.16
2020-10-30,18.22
2020-11-02,18.22
2020-11-03,18.32
2020-11-04,18.51
2020-11-05,18.61
2020-11-06,18.56
2020-11-09,18.7
2020-11-10,18.71
2020-11-11,18.69
2020-11-12,18.65
2020-11-13,18.65
2020-11-16,18.74
2020-11-17,18.79
2020-11-18,18.79
2020-11-19,18.8
2020-11-20,18.79
2020-11-23,18.82
2020-11-24,18.89
2020-11-25,18.88
2020-11-27,18.9
2020-11-30,18.9
2020-12-01,18.99
2020-12-02,18.99
2020-12-03,19.04
2020-12-04,19.08
2020-12-07,19.12
2020-12-08,19.12
2020-12-09,19.09
2020-12-10,19.11
2020-12-11,19.09
2020-12-14,19.09
2020-12-15,19.15
2020-12-16,19.13
2020-12-17,19.19
2020-12-18,19.17
2020-12-21,19.14
2020-12-22,19.13
2020-12-23,19.2
2020-12-24,19.24
2020-12-28,19.3
2020-12-29,19.29
2020-12-30,19.31
2020-12-31,19.31
2021-01-04,19.28
2021-01-05,19.3
2021-01-06,19.28
2021-01-07,19.32
2021-01-08,19.36
2021-01-11,19.27
2021-01-12,19.26
2021-01-13,19.33
2021-01-14,19.32
2021-01-15,19.32
2021-01-19,19.36
2021-01-20,19.4
2021-01-21,19.41
2021-01-22,19.4
2021-01-25,19.38
2021-01-26,19.37
2021-01-27,19.33
2021-01-28,19.38
2021-01-29,19.33
2021-02-01,19.39
2021-02-02,19.43
2021-02-03,19.44
2021-02-04,19.49
2021-02-05,19.52
2021-02-08,19.58
2021-02-09,19.56
2021-02-10,19.54
2021-02-11,19.54
2021-02-12,19.59
2021-02-16,19.56
2021-02-17,19.56
2021-02-18,19.56
2021-02-19,19.56
2021-02-22,19.53
2021-02-23,19.56
2021-02-24,19.54
2021-02-25,19.46
2021-02-26,19.4
2021-03-01,19.57
2021-03-02,19.52
2021-03-03,19.47
2021-03-04,19.41
2021-03-05,19.44
2021-03-08,19.3
2021-03-09,19.35
2021-03-10,19.42
2021-03-11,19.46
2021-03-12,19.43
2021-03-15,19.43
2021-03-16,19.38
2021-03-17,19.42
2021-03-18,19.27
2021-03-19,19.3
2021-03-22,19.38
2021-03-23,19.38
2021-03-24,19.38
2021-03-25,19.43
2021-03-26,19.49
2021-03-29,19.52
2021-03-30,19.48
2021-03-31,19.54
2021-04-01,19.57
2021-04-05,19.61
2021-04-06,19.64
2021-04-07,19.64
2021-04-08,19.65
2021-04-09,19.65
2021-04-12,19.63
2021-04-13,19.65
2021-04-14,19.65
2021-04-15,19.72
2021-04-16,19.68
2021-04-19,19.67
2021-04-20,19.63
2021-04-21,19.67
2021-04-22,19.65
2021-04-23,19.68
2021-04-26,19.69
2021-04-27,19.68
2021-04-28,19.71
2021-04-29,19.72
2021-04-30,19.72
2021-05-03,19.73
2021-05-04,19.73
2021-05-05,19.76
2021-05-06,19.73
2021-05-07,19.78
2021-05-10,19.74
2021-05-11,19.73
2021-05-12,19.64
2021-05-13,19.68
2021-05-14,19.73
2021-05-17,19.73
2021-05-18,19.69
2021-05-19,19.64
2021-05-20,19.71
2021-05-21,19.71
2021-05-24,19.76
2021-05-25,19.75
2021-05-26,19.76
2021-05-27,19.77
2021-05-28,19.76
2021-06-01,19.82
2021-06-02,19.86
2021-06-03,19.82
2021-06-04,19.86
2021-06-07,19.88
2021-06-08,19.89
2021-06-09,19.91
2021-06-10,19.93
2021-06-11,19.95
2021-06-14,19.94
2021-06-15,19.9
2021-06-16,19.91
2021-06-17,19.93
2021-06-18,19.91
2021-06-21,19.95
2021-06-22,19.96
2021-06-23,19.96
2021-06-24,20.01
2021-06-25,20.02
2021-06-28,20.04
2021-06-29,20.05
2021-06-30,20.05
2021-07-01,20.08
2021-07-02,20.14
2021-07-06,20.15
2021-07-07,20.15
2021-07-08,20.11
2021-07-09,20.14
2021-07-12,20.14
2021-07-13,20.09
2021-07-14,20.1
2021-07-15,20.09
2021-07-16,20.08
2021-07-19,19.96
2021-07-20,20.04
2021-07-21,20.08
2021-07-22,20.1
2021-07-23,20.14
2021-07-26,20.1
2021-07-27,20.1
2021-07-28,20.1
2021-07-29,20.14
2021-07-30,20.11
2021-08-02,20.09
2021-08-03,20.09
2021-08-04,20.06
2021-08-05,20.1
2021-08-06,20.06
2021-08-09,20.03
2021-08-10,20.0
2021-08-11,20.01
2021-08-12,20.04
2021-08-13,20.08
2021-08-16,20.08
2021-08-17,20.05
2021-08-18,20.0
2021-08-19,20.01
2021-08-20,20.04
2021-08-23,20.1
2021-08-24,20.13
2021-08-25,20.19
2021-08-26,20.14
2021-08-27,20.2
2021-08-30,20.23
2021-08-31,20.21
2021-09-01,20.25
2021-09-02,20.27
2021-09-03,20.28
2021-09-07,20.23
2021-09-08,20.26
2021-09-09,20.26
2021-09-10,20.23
2021-09-13,20.28
2021-09-14,20.29
2021-09-15,20.34
2021-09-16,20.34
2021-09-17,20.31
2021-09-20,20.24
2021-09-21,20.27
2021-09-22,20.27
2021-09-23,20.31
2021-09-24,20.28
2021-09-27,20.27
2021-09-28,20.19
2021-09-29,20.22
2021-09-30,20.21
2021-10-01,20.25
2021-10-04,20.19
2021-10-05,20.18
2021-10-06,20.19
2021-10-07,20.2
2021-10-08,20.12
2021-10-11,20.06
2021-10-12,20.1
2021-10-13,20.12
2021-10-14,20.23
2021-10-15,20.21
2021-10-18,20.19
2021-10-19,20.19
2021-10-20,20.22
2021-10-21,20.18
2021-10-22,20.15
2021-10-25,20.18
2021-10-26,20.17
2021-10-27,20.15
2021-10-28,20.21
2021-10-29,20.2
2021-11-01,20.15
2021-11-02,20.16
2021-11-03,20.25
2021-11-04,20.27
2021-11-05,20.35
2021-11-08,20.33
2021-11-09,20.36
2021-11-10,20.24
2021-11-11,20.25
2021-11-12,20.22
