DATETIME,PRICE
2023-10-09,26.76
2023-10-10,26.76
2023-10-11,26.73
2023-10-12,26.7
2023-10-13,26.71
2023-10-16,26.69
2023-10-17,26.63
2023-10-18,26.61
2023-10-19,26.64
2023-10-20,26.69
2023-10-23,26.72
2023-10-24,26.71
2023-10-25,26.7
2023-10-26,26.74
2023-10-27,26.76
2023-10-30,26.74
2023-10-31,26.73
2023-11-01,26.81
2023-11-02,26.82
2023-11-03,26.89
2023-11-06,26.84
2023-11-07,26.86
2023-11-08,26.85
2023-11-09,26.81
2023-11-10,26.84
2023-11-13,26.85
2023-11-14,26.97
2023-11-15,26.91
2023-11-16,26.98
2023-11-17,26.98
2023-11-20,26.98
2023-11-21,27.02
2023-11-22,27.02
2023-11-24,27.02
2023-11-27,27.04
2023-11-28,27.11
2023-11-29,27.16
2023-11-30,27.15
2023-12-01,27.23
2023-12-04,27.18
2023-12-05,27.22
2023-12-06,27.2
2023-12-07,27.24
2023-12-08,27.18
2023-12-11,27.17
2023-12-12,27.2
2023-12-13,27.35
2023-12-14,27.39
2023-12-15,27.36
2023-12-18,27.37
2023-12-19,27.37
2023-12-20,27.41
2023-12-21,27.45
2023-12-22,27.46
2023-12-26,27.47
2023-12-27,27.49
2023-12-28,27.5
2023-12-29,27.51
2024-01-02,27.48
2024-01-03,27.46
2024-01-04,27.45
2024-01-05,27.45
2024-01-08,27.48
2024-01-09,27.49
2024-01-10,27.49
2024-01-11,27.56
2024-01-12,27.61
2024-01-16,27.58
2024-01-17,27.53
2024-01-18,27.53
2024-01-19,27.53
2024-01-22,27.54
2024-01-23,27.55
2024-01-24,27.55
2024-01-25,27.6
2024-01-26,27.57
2024-01-29,27.6
2024-01-30,27.59
2024-01-31,27.64
2024-02-01,27.66
2024-02-02,27.61
2024-02-05,27.57
2024-02-06,27.61
2024-02-07,27.59
2024-02-08,27.59
2024-02-09,27.58
2024-02-12,27.61
2024-02-13,27.51
2024-02-14,27.56
2024-02-15,27.59
2024-02-16,27.55
2024-02-20,27.6
2024-02-21,27.58
2024-02-22,27.56
2024-02-23,27.55
2024-02-26,27.54
2024-02-27,27.55
2024-02-28,27.56
2024-02-29,27.56
2024-03-01,27.63
2024-03-04,27.6
2024-03-05,27.63
2024-03-06,27.63
