date,open,high,low,close
2020-10-07,37.31,37.44,37.25,37.36
2020-10-08,37.45,37.71,37.45,37.71
2020-10-09,37.77,37.89,37.68,37.79
2020-10-12,37.98,38.16,37.93,38.06
2020-10-13,38.06,38.06,37.77,37.81
2020-10-14,38.01,38.05,37.73,37.73
2020-10-15,37.29,37.57,37.18,37.47
2020-10-16,37.36,37.55,37.36,37.44
2020-10-19,37.69,37.71,37.23,37.28
2020-10-20,37.37,37.55,37.31,37.33
2020-10-21,37.28,37.57,37.28,37.37
2020-10-22,37.55,37.76,37.47,37.73
2020-10-23,37.76,37.9,37.68,37.87
2020-10-26,37.49,37.65,37.18,37.44
2020-10-27,37.26,37.26,37.04,37.1
2020-10-28,36.64,36.73,36.25,36.28
2020-10-29,36.24,36.52,36.04,36.41
2020-10-30,36.11,36.25,35.82,36.11
2020-11-02,36.3,36.41,36.16,36.35
2020-11-03,37.12,37.45,37.01,37.37
2020-11-04,37.44,38.08,37.41,37.76
2020-11-05,38.62,38.85,38.48,38.73
2020-11-06,38.72,38.89,38.65,38.77
2020-11-09,40.69,40.7,40.0,40.1
2020-11-10,40.06,40.46,40.06,40.27
2020-11-11,40.51,40.64,40.45,40.61
2020-11-12,40.11,40.27,39.82,39.92
2020-11-13,40.19,40.45,40.13,40.42
2020-11-16,40.82,41.02,40.78,41.02
2020-11-17,41.04,41.3,40.96,41.2
2020-11-18,41.38,41.58,41.15,41.15
2020-11-19,41.2,41.39,41.09,41.39
2020-11-20,41.39,41.58,41.39,41.54
2020-11-23,41.52,41.54,41.2,41.39
2020-11-24,42.13,42.39,42.0,42.35
2020-11-25,42.19,42.45,42.07,42.37
2020-11-27,42.24,42.26,42.07,42.26
2020-11-30,41.62,41.66,41.12,41.18
2020-12-01,41.81,42.0,41.74,41.95
2020-12-02,41.68,42.05,41.68,42.03
2020-12-03,42.1,42.35,42.08,42.18
2020-12-04,42.4,42.58,42.37,42.58
2020-12-07,42.39,42.43,42.19,42.27
2020-12-08,42.34,42.47,42.27,42.45
2020-12-09,42.75,42.75,42.29,42.48
2020-12-10,42.56,42.91,42.53,42.85
2020-12-11,42.48,42.64,42.42,42.64
2020-12-14,43.12,43.12,42.72,42.72
2020-12-15,42.74,43.11,42.74,43.11
2020-12-16,43.07,43.3,43.07,43.27
2020-12-17,43.62,43.73,43.62,43.68
2020-12-18,43.38,43.46,43.11,43.23
2020-12-21,42.56,42.96,42.38,42.83
2020-12-22,42.56,42.62,42.42,42.59
2020-12-23,43.06,43.16,42.95,43.07
2020-12-24,43.11,43.3,43.09,43.3
2020-12-28,43.35,43.49,43.35,43.46
2020-12-29,43.52,43.62,43.35,43.43
2020-12-30,43.89,44.12,43.83,43.83
2020-12-31,43.72,43.73,43.41,43.49
2021-01-04,44.41,44.41,43.62,43.81
2021-01-05,44.07,44.63,44.07,44.49
2021-01-06,44.23,44.97,44.23,44.81
2021-01-07,44.79,44.99,44.68,44.99
2021-01-08,45.21,45.32,44.84,45.29
2021-01-11,44.55,44.79,44.52,44.65
2021-01-12,44.76,45.07,44.62,45.07
2021-01-13,44.86,45.0,44.81,44.92
2021-01-14,45.15,45.29,45.08,45.15
2021-01-15,44.91,45.08,44.67,44.94
2021-01-19,45.63,45.63,45.32,45.32
2021-01-20,45.65,45.97,45.58,45.95
2021-01-21,45.98,46.1,45.81,46.1
2021-01-22,45.5,45.66,45.37,45.65
2021-01-25,45.76,46.06,45.36,46.06
2021-01-26,45.94,45.94,45.66,45.9
2021-01-27,45.12,45.16,44.67,44.78
2021-01-28,44.63,45.08,44.57,44.92
2021-01-29,44.1,44.3,43.56,43.8
2021-02-01,44.49,44.49,44.17,44.42
2021-02-02,44.87,45.0,44.68,44.99
2021-02-03,44.99,45.08,44.81,45.08
2021-02-04,44.96,45.12,44.81,45.12
2021-02-05,45.34,45.6,45.28,45.6
2021-02-08,45.66,45.84,45.61,45.84
2021-02-09,45.61,45.84,45.57,45.84
2021-02-10,46.16,46.16,45.63,45.81
2021-02-11,46.26,46.29,46.05,46.27
2021-02-12,45.89,46.31,45.89,46.31
2021-02-16,46.82,46.82,46.56,46.69
2021-02-17,46.55,46.76,46.4,46.71
2021-02-18,46.58,46.63,46.29,46.61
2021-02-19,46.53,46.79,46.53,46.66
2021-02-22,46.43,46.82,46.43,46.59
2021-02-23,47.14,47.43,46.85,47.33
2021-02-24,46.69,47.33,46.67,47.3
2021-02-25,47.06,47.3,46.24,46.35
2021-02-26,45.81,45.97,45.2,45.23
2021-03-01,45.97,46.61,45.97,46.53
2021-03-02,46.1,46.31,45.94,46.24
2021-03-03,46.39,46.47,46.13,46.18
2021-03-04,46.47,46.64,45.69,45.92
2021-03-05,45.98,46.24,45.47,46.18
2021-03-08,45.74,46.05,45.68,45.74
2021-03-09,46.1,46.39,46.08,46.26
2021-03-10,46.1,46.21,45.94,46.16
2021-03-11,46.4,46.55,46.24,46.51
2021-03-12,46.0,46.27,45.82,46.26
2021-03-15,46.34,46.55,46.08,46.53
2021-03-16,46.42,46.53,46.35,46.47
2021-03-17,46.37,46.71,46.14,46.63
2021-03-18,46.11,46.5,46.03,46.11
2021-03-19,45.98,46.06,45.69,46.0
2021-03-22,46.06,46.23,46.02,46.08
2021-03-23,45.84,45.93,45.36,45.46
2021-03-24,45.47,45.57,45.15,45.2
2021-03-25,45.34,45.67,45.24,45.63
2021-03-26,45.8,46.41,45.75,46.39
2021-03-29,46.15,46.3,45.96,46.25
2021-03-30,45.96,46.1,45.83,46.02
2021-03-31,45.96,46.1,45.88,45.99
2021-04-01,46.14,46.56,46.14,46.54
2021-04-05,46.51,47.04,46.51,47.03
2021-04-06,46.51,46.78,46.51,46.7
2021-04-07,46.54,46.59,46.36,46.51
2021-04-08,46.96,47.12,46.95,47.04
2021-04-09,46.8,47.11,46.8,47.11
2021-04-12,46.72,46.79,46.63,46.79
2021-04-13,46.85,47.08,46.84,47.08
2021-04-14,47.33,47.6,47.29,47.39
2021-04-15,48.03,48.04,47.91,48.03
2021-04-16,47.91,48.1,47.89,48.09
2021-04-19,48.11,48.11,47.84,47.98
2021-04-20,47.74,47.74,47.2,47.3
2021-04-21,47.34,47.81,47.24,47.81
2021-04-22,47.81,47.88,47.43,47.56
2021-04-23,47.92,48.23,47.84,48.18
2021-04-26,48.21,48.39,48.14,48.39
2021-04-27,48.12,48.22,48.06,48.2
2021-04-28,48.19,48.54,48.19,48.48
2021-04-29,48.58,48.65,48.2,48.5
2021-04-30,47.96,47.98,47.54,47.65
2021-05-03,47.82,47.95,47.67,47.93
2021-05-04,47.62,47.76,47.29,47.61
2021-05-05,47.95,48.15,47.83,48.08
2021-05-06,47.96,48.31,47.9,48.31
2021-05-07,48.4,48.86,48.4,48.78
2021-05-10,49.13,49.21,48.78,48.84
2021-05-11,48.04,48.31,47.85,48.27
2021-05-12,47.93,48.12,47.34,47.49
2021-05-13,47.34,47.7,47.3,47.64
2021-05-14,47.76,48.11,47.76,48.05
2021-05-17,47.76,47.99,47.67,47.98
2021-05-18,48.37,48.37,48.0,48.01
2021-05-19,47.33,47.58,46.99,47.51
2021-05-20,47.93,48.19,47.82,48.16
2021-05-21,47.97,48.06,47.8,47.91
2021-05-24,48.1,48.2,48.04,48.14
2021-05-25,48.48,48.61,48.35,48.44
2021-05-26,48.57,48.65,48.48,48.64
2021-05-27,48.79,48.9,48.7,48.83
2021-05-28,48.83,49.0,48.81,48.87
2021-06-01,48.99,48.99,48.8,48.87
2021-06-02,48.91,49.07,48.86,49.07
2021-06-03,48.57,48.68,48.51,48.57
2021-06-04,49.08,49.2,48.99,49.18
2021-06-07,49.06,49.09,48.93,49.08
2021-06-08,49.19,49.19,48.94,49.11
2021-06-09,48.92,48.92,48.76,48.78
2021-06-10,48.99,49.12,48.91,49.05
2021-06-11,49.1,49.1,48.86,49.05
2021-06-14,49.08,49.12,48.94,49.12
2021-06-15,48.98,48.98,48.79,48.9
2021-06-16,49.1,49.1,48.53,48.65
2021-06-17,48.53,48.55,48.14,48.38
2021-06-18,47.75,47.8,47.52,47.59
2021-06-21,47.6,48.08,47.53,48.08
2021-06-22,47.63,48.06,47.6,47.99
2021-06-23,47.93,48.01,47.74,47.83
2021-06-24,48.13,48.16,47.98,48.16
2021-06-25,48.25,48.25,48.09,48.25
2021-06-28,48.16,48.16,47.83,47.94
2021-06-29,47.98,47.98,47.77,47.89
2021-06-30,47.54,47.72,47.54,47.69
2021-07-01,47.54,47.58,47.34,47.58
2021-07-02,47.58,47.87,47.5,47.87
2021-07-06,47.71,47.74,47.27,47.49
2021-07-07,47.94,47.96,47.68,47.89
2021-07-08,46.97,47.23,46.83,47.18
2021-07-09,47.32,47.76,47.26,47.72
2021-07-12,47.59,47.88,47.55,47.88
2021-07-13,47.78,47.84,47.62,47.68
2021-07-14,47.89,47.9,47.67,47.72
2021-07-15,47.39,47.51,47.26,47.42
2021-07-16,47.64,47.64,47.14,47.24
2021-07-19,46.43,46.47,46.02,46.3
2021-07-20,46.23,46.74,46.05,46.69
2021-07-21,46.81,47.28,46.81,47.28
2021-07-22,47.47,47.54,47.24,47.44
2021-07-23,47.49,47.49,47.31,47.46
2021-07-26,47.08,47.39,47.08,47.39
2021-07-27,46.83,46.94,46.62,46.92
2021-07-28,46.69,47.01,46.65,46.91
2021-07-29,47.38,47.45,47.31,47.32
2021-07-30,47.18,47.32,47.01,47.18
2021-08-02,47.47,47.62,47.25,47.32
