date,open,high,low,close
2020-10-08,27.55,27.71,27.55,27.71
2020-10-09,27.76,27.85,27.74,27.84
2020-10-12,27.93,27.93,27.79,27.82
2020-10-13,27.83,27.85,27.77,27.78
2020-10-14,27.86,27.91,27.84,27.9
2020-10-15,27.81,27.84,27.77,27.77
2020-10-16,27.83,27.89,27.81,27.81
2020-10-19,27.87,27.94,27.83,27.85
2020-10-20,27.89,27.96,27.89,27.93
2020-10-21,27.97,28.1,27.97,28.07
2020-10-22,28.02,28.03,27.89,27.94
2020-10-23,27.93,28.04,27.91,28.03
2020-10-26,27.97,27.98,27.86,27.95
2020-10-27,28.0,28.11,27.99,28.06
2020-10-28,27.93,27.94,27.84,27.93
2020-10-29,27.79,27.85,27.75,27.78
2020-10-30,27.74,27.82,27.7,27.79
2020-11-02,27.78,27.8,27.68,27.68
2020-11-03,27.86,27.91,27.82,27.83
2020-11-04,27.91,28.03,27.89,28.02
2020-11-05,28.23,28.28,28.19,28.28
2020-11-06,28.29,28.37,28.23,28.35
2020-11-09,28.28,28.28,27.94,27.99
2020-11-10,27.97,27.99,27.91,27.98
2020-11-11,27.88,27.97,27.88,27.94
2020-11-12,27.92,28.07,27.92,27.99
2020-11-13,28.05,28.14,28.04,28.08
2020-11-16,28.1,28.22,28.1,28.21
2020-11-17,28.24,28.31,28.18,28.31
2020-11-18,28.27,28.36,28.26,28.28
2020-11-19,28.19,28.35,28.19,28.3
2020-11-20,28.31,28.38,28.26,28.36
2020-11-23,28.38,28.38,28.18,28.26
2020-11-24,28.29,28.35,28.23,28.35
2020-11-25,28.34,28.43,28.33,28.43
2020-11-27,28.4,28.52,28.4,28.48
2020-11-30,28.52,28.52,28.36,28.36
2020-12-01,28.41,28.51,28.39,28.41
2020-12-02,28.44,28.53,28.42,28.48
2020-12-03,28.67,28.75,28.64,28.74
2020-12-04,28.69,28.74,28.64,28.7
2020-12-07,28.75,28.79,28.65,28.66
2020-12-08,28.68,28.74,28.68,28.73
2020-12-09,28.75,28.76,28.65,28.74
2020-12-10,28.75,28.88,28.74,28.82
2020-12-11,28.86,28.86,28.79,28.84
2020-12-14,28.9,28.91,28.8,28.81
2020-12-15,28.92,28.93,28.85,28.89
2020-12-16,28.85,28.94,28.8,28.87
2020-12-17,29.1,29.1,29.0,29.06
2020-12-18,29.02,29.04,28.94,28.98
2020-12-21,28.92,29.0,28.83,28.97
2020-12-22,28.9,28.94,28.79,28.84
2020-12-23,28.87,28.88,28.8,28.82
2020-12-24,28.89,28.92,28.86,28.87
2020-12-28,28.89,28.96,28.85,28.86
2020-12-29,29.0,29.01,28.87,28.96
2020-12-30,29.1,29.11,28.99,29.11
2020-12-31,29.11,29.11,29.02,29.04
2021-01-04,29.2,29.25,29.11,29.2
2021-01-05,29.18,29.26,29.15,29.24
2021-01-06,29.21,29.24,29.09,29.24
2021-01-07,29.1,29.1,28.99,29.0
2021-01-08,29.08,29.08,28.88,28.93
2021-01-11,28.79,28.84,28.71,28.81
2021-01-12,28.81,28.9,28.73,28.87
2021-01-13,28.85,28.94,28.83,28.91
2021-01-14,28.86,28.99,28.84,28.93
2021-01-15,28.85,28.86,28.77,28.81
2021-01-19,28.84,28.85,28.78,28.78
2021-01-20,28.79,28.89,28.79,28.87
2021-01-21,28.84,28.91,28.84,28.86
2021-01-22,28.8,28.82,28.72,28.78
2021-01-25,28.82,28.89,28.78,28.79
2021-01-26,28.82,28.89,28.82,28.84
2021-01-27,28.75,28.75,28.64,28.68
2021-01-28,28.7,28.78,28.7,28.75
2021-01-29,28.71,28.73,28.63,28.68
2021-02-01,28.61,28.62,28.47,28.49
2021-02-02,28.47,28.5,28.42,28.47
2021-02-03,28.49,28.5,28.39,28.43
2021-02-04,28.4,28.41,28.28,28.34
2021-02-05,28.37,28.43,28.32,28.39
2021-02-08,28.38,28.5,28.38,28.5
2021-02-09,28.54,28.6,28.51,28.57
2021-02-10,28.64,28.65,28.56,28.56
2021-02-11,28.6,28.67,28.6,28.65
2021-02-12,28.55,28.55,28.46,28.52
2021-02-16,28.4,28.41,28.26,28.29
2021-02-17,28.21,28.22,28.18,28.21
2021-02-18,28.22,28.28,28.18,28.28
2021-02-19,28.24,28.31,28.2,28.27
2021-02-22,28.26,28.33,28.21,28.26
2021-02-23,28.23,28.28,28.18,28.26
2021-02-24,28.15,28.25,28.07,28.24
2021-02-25,28.14,28.17,27.86,27.93
2021-02-26,27.88,28.01,27.82,27.91
2021-03-01,27.97,28.03,27.94,28.0
2021-03-02,27.96,28.08,27.9,28.08
2021-03-03,27.99,27.99,27.85,27.86
2021-03-04,27.84,27.88,27.62,27.67
2021-03-05,27.63,27.63,27.53,27.57
2021-03-08,27.5,27.5,27.34,27.36
2021-03-09,27.57,27.59,27.52,27.54
2021-03-10,27.62,27.66,27.55,27.65
2021-03-11,27.71,27.82,27.69,27.79
2021-03-12,27.59,27.63,27.52,27.61
2021-03-15,27.59,27.64,27.52,27.6
2021-03-16,27.65,27.66,27.58,27.59
2021-03-17,27.46,27.7,27.45,27.67
2021-03-18,27.47,27.55,27.44,27.47
2021-03-19,27.47,27.55,27.45,27.54
2021-03-22,27.59,27.68,27.54,27.66
2021-03-23,27.59,27.63,27.53,27.58
2021-03-24,27.53,27.55,27.45,27.46
2021-03-25,27.41,27.55,27.4,27.44
2021-03-26,27.39,27.43,27.36,27.43
2021-03-29,27.42,27.51,27.29,27.29
2021-03-30,27.18,27.21,27.11,27.2
2021-03-31,27.18,27.26,27.13,27.13
2021-04-01,27.27,27.35,27.04,27.29
2021-04-05,27.26,27.36,27.26,27.33
2021-04-06,27.34,27.57,27.34,27.56
2021-04-07,27.58,27.58,27.47,27.5
2021-04-08,27.58,27.66,27.58,27.62
2021-04-09,27.48,27.54,27.46,27.54
2021-04-12,27.53,27.56,27.43,27.5
2021-04-13,27.54,27.63,27.5,27.62
2021-04-14,27.66,27.68,27.61,27.64
2021-04-15,27.71,27.79,27.7,27.76
2021-04-16,27.7,27.76,27.69,27.69
2021-04-19,27.76,27.83,27.75,27.81
2021-04-20,27.8,27.84,27.79,27.81
2021-04-21,27.78,27.86,27.78,27.84
2021-04-22,27.83,27.84,27.77,27.82
2021-04-23,27.91,27.93,27.84,27.93
2021-04-26,27.92,27.93,27.84,27.89
2021-04-27,27.85,27.88,27.77,27.78
2021-04-28,27.78,27.91,27.75,27.89
2021-04-29,27.84,27.84,27.72,27.81
2021-04-30,27.77,27.77,27.59,27.6
2021-05-03,27.72,27.78,27.68,27.76
2021-05-04,27.7,27.71,27.61,27.65
2021-05-05,27.66,27.7,27.61,27.62
2021-05-06,27.61,27.74,27.61,27.73
2021-05-07,27.82,27.93,27.81,27.9
2021-05-10,27.9,27.95,27.84,27.84
2021-05-11,27.86,27.89,27.82,27.85
2021-05-12,27.66,27.72,27.53,27.54
2021-05-13,27.58,27.86,27.51,27.58
2021-05-14,27.7,27.72,27.67,27.69
2021-05-17,27.66,27.73,27.62,27.73
2021-05-18,27.79,27.83,27.75,27.79
2021-05-19,27.74,27.8,27.64,27.71
2021-05-20,27.75,27.86,27.75,27.83
2021-05-21,27.88,27.88,27.74,27.81
2021-05-24,27.84,27.88,27.82,27.83
2021-05-25,27.93,27.98,27.9,27.94
2021-05-26,27.96,28.01,27.91,27.95
2021-05-27,27.88,27.92,27.86,27.91
2021-05-28,27.84,27.9,27.81,27.87
2021-06-01,27.95,28.0,27.92,27.94
2021-06-02,27.9,27.97,27.89,27.96
2021-06-03,27.84,27.84,27.71,27.78
2021-06-04,27.9,27.96,27.9,27.96
2021-06-07,27.97,27.97,27.92,27.94
2021-06-08,28.0,28.0,27.93,27.93
2021-06-09,28.09,28.09,27.98,28.02
2021-06-10,27.99,28.08,27.93,28.05
2021-06-11,28.01,28.03,27.91,27.97
2021-06-14,27.97,27.97,27.89,27.93
2021-06-15,27.86,27.9,27.83,27.85
2021-06-16,27.89,27.91,27.59,27.62
2021-06-17,27.52,27.58,27.31,27.46
2021-06-18,27.54,27.54,27.39,27.46
2021-06-21,27.53,27.56,27.45,27.56
2021-06-22,27.46,27.6,27.44,27.52
2021-06-23,27.54,27.61,27.47,27.48
2021-06-24,27.51,27.57,27.49,27.5
2021-06-25,27.58,27.58,27.44,27.48
2021-06-28,27.48,27.55,27.47,27.49
2021-06-29,27.44,27.48,27.41,27.45
2021-06-30,27.44,27.48,27.39,27.39
2021-07-01,27.4,27.45,27.32,27.36
2021-07-02,27.39,27.51,27.37,27.46
2021-07-06,27.48,27.53,27.4,27.41
2021-07-07,27.5,27.52,27.43,27.48
2021-07-08,27.58,27.61,27.52,27.56
2021-07-09,27.56,27.58,27.51,27.55
2021-07-12,27.54,27.58,27.51,27.54
2021-07-13,27.48,27.53,27.38,27.38
2021-07-14,27.54,27.61,27.54,27.6
2021-07-15,27.59,27.68,27.51,27.51
2021-07-16,27.52,27.59,27.5,27.56
2021-07-19,27.59,27.66,27.56,27.57
2021-07-20,27.64,27.64,27.54,27.59
2021-07-21,27.5,27.6,27.46,27.55
2021-07-22,27.69,27.69,27.58,27.6
2021-07-23,27.59,27.6,27.53,27.57
2021-07-26,27.57,27.65,27.57,27.58
2021-07-27,27.72,27.72,27.63,27.69
2021-07-28,27.61,27.76,27.59,27.73
2021-07-29,27.78,27.85,27.76,27.82
2021-07-30,27.81,27.82,27.74,27.78
2021-08-02,27.86,27.87,27.76,27.76
2021-08-03,27.86,27.89,27.79,27.86
2021-08-04,27.99,28.01,27.8,27.86
2021-08-05,27.86,27.89,27.79,27.84
2021-08-06,27.73,27.75,27.58,27.61
2021-08-09,27.67,27.67,27.57,27.61
2021-08-10,27.62,27.62,27.51,27.51
2021-08-11,27.6,27.63,27.5,27.63
2021-08-12,27.57,27.57,27.48,27.57
2021-08-13,27.63,27.74,27.53,27.67
2021-08-16,27.74,27.74,27.59,27.59
2021-08-17,27.6,27.6,27.53,27.55
2021-08-18,27.61,27.61,27.51,27.57
2021-08-19,27.56,27.56,27.45,27.48
2021-08-20,27.48,27.51,27.42,27.49
2021-08-23,27.57,27.66,27.51,27.62
2021-08-24,27.64,27.64,27.55,27.58
2021-08-25,27.54,27.55,27.49,27.55
2021-08-26,27.5,27.51,27.44,27.51
2021-08-27,27.5,27.65,27.41,27.65
2021-08-30,27.61,27.66,27.55,27.57
2021-08-31,27.66,27.68,27.52,27.52
2021-09-01,27.67,27.68,27.56,27.66
2021-09-02,27.73,27.73,27.67,27.68
2021-09-03,27.74,27.74,27.57,27.7
2021-09-07,27.57,27.59,27.5,27.53
2021-09-08,27.54,27.54,27.45,27.51
2021-09-09,27.58,27.64,27.54,27.62
2021-09-10,27.61,27.61,27.51,27.53
2021-09-13,27.56,27.59,27.45,27.58
2021-09-14,27.58,27.6,27.52,27.56
2021-09-15,27.6,27.6,27.52,27.55
2021-09-16,27.49,27.49,27.38,27.41
2021-09-17,27.36,27.37,27.28,27.28
2021-09-20,27.27,27.37,27.27,27.37
2021-09-21,27.39,27.39,27.31,27.32
2021-09-22,27.36,27.43,27.28,27.33
2021-09-23,27.38,27.44,27.13,27.26
2021-09-24,27.15,27.17,27.11,27.12
2021-09-27,27.12,27.13,26.91,27.11
2021-09-28,26.97,26.99,26.85,26.95
2021-09-29,26.93,26.95,26.75,26.75
2021-09-30,26.82,26.87,26.79,26.87
2021-10-01,26.97,26.98,26.91,26.96
2021-10-04,26.99,27.0,26.94,26.95
2021-10-05,26.91,26.92,26.69,26.84
2021-10-06,26.83,26.83,26.75,26.82
2021-10-07,26.81,26.85,26.74,26.79
