date,open,high,low,close
2020-10-08,47.73,47.79,47.55,47.56
2020-10-09,47.68,47.73,47.5,47.5
2020-10-12,47.41,47.76,47.41,47.61
2020-10-13,47.66,47.71,47.52,47.62
2020-10-14,47.71,47.85,47.6,47.7
2020-10-15,47.84,47.84,47.51,47.65
2020-10-16,47.48,47.83,47.48,47.69
2020-10-19,47.58,47.92,47.58,47.92
2020-10-20,47.59,47.84,47.59,47.84
2020-10-21,47.07,47.89,47.07,47.66
2020-10-22,47.5,47.55,47.35,47.51
2020-10-23,47.49,47.55,47.2,47.52
2020-10-26,47.53,47.58,47.46,47.53
2020-10-27,47.55,47.74,47.52,47.52
2020-10-28,47.42,47.69,47.42,47.64
2020-10-29,47.61,47.61,47.46,47.51
2020-10-30,47.46,47.5,47.42,47.45
2020-11-02,47.45,47.61,47.31,47.31
2020-11-03,47.42,47.45,47.25,47.43
2020-11-04,47.42,47.52,47.03,47.36
2020-11-05,47.48,47.64,47.1,47.4
2020-11-06,47.57,47.58,47.45,47.48
2020-11-09,47.32,47.37,47.17,47.19
2020-11-10,47.3,47.38,47.24,47.32
2020-11-11,47.31,47.45,47.28,47.37
2020-11-12,47.33,47.53,47.33,47.37
2020-11-13,47.5,47.58,47.44,47.54
2020-11-16,47.48,47.53,47.43,47.45
2020-11-17,47.46,47.55,47.28,47.53
2020-11-18,47.52,47.56,47.46,47.49
2020-11-19,47.64,47.64,47.51,47.55
2020-11-20,47.66,47.66,47.52,47.57
2020-11-23,47.62,47.64,47.57,47.64
2020-11-24,47.61,47.61,47.26,47.42
2020-11-25,47.43,47.59,47.4,47.55
2020-11-27,47.56,47.59,47.55,47.57
2020-11-30,47.67,47.72,47.54,47.71
2020-12-01,47.7,47.7,47.47,47.66
2020-12-02,47.6,47.61,47.48,47.6
2020-12-03,47.65,47.67,47.59,47.61
2020-12-04,47.64,47.68,47.59,47.67
2020-12-07,47.66,47.69,47.63,47.67
2020-12-08,47.74,47.81,47.68,47.75
2020-12-09,47.75,47.77,47.45,47.7
2020-12-10,47.8,47.91,47.64,47.91
2020-12-11,47.91,48.07,47.86,47.95
2020-12-14,47.9,48.01,47.9,47.93
2020-12-15,47.96,48.04,47.92,48.04
2020-12-16,47.99,48.14,47.93,48.07
2020-12-17,48.07,48.29,47.96,48.07
2020-12-18,48.07,48.11,48.04,48.06
2020-12-21,48.15,48.15,48.0,48.07
2020-12-22,48.11,48.22,48.02,48.06
2020-12-23,48.09,48.14,48.06,48.09
2020-12-24,48.1,48.2,48.05,48.08
2020-12-28,47.91,48.29,47.91,48.16
2020-12-29,47.88,48.27,47.88,48.1
2020-12-30,48.08,48.14,48.03,48.09
2020-12-31,48.11,48.26,48.07,48.16
2021-01-04,47.93,48.24,47.93,48.16
2021-01-05,48.31,48.31,48.17,48.21
2021-01-06,47.88,48.29,47.88,48.09
2021-01-07,47.8,48.08,47.8,47.9
2021-01-08,47.76,48.09,47.76,47.83
2021-01-11,47.83,48.03,47.73,47.82
2021-01-12,47.71,47.91,47.61,47.8
2021-01-13,47.78,47.87,47.7,47.74
2021-01-14,47.82,47.9,47.53,47.88
2021-01-15,47.82,48.02,47.67,47.88
2021-01-19,47.83,48.14,47.79,47.8
2021-01-20,47.83,48.06,47.83,48.05
2021-01-21,48.14,48.65,47.99,48.09
2021-01-22,48.13,48.14,47.93,48.06
2021-01-25,48.02,48.12,47.86,48.11
2021-01-26,48.15,48.31,48.1,48.2
2021-01-27,48.17,48.46,48.09,48.19
2021-01-28,48.17,48.21,48.09,48.16
2021-01-29,48.11,48.31,48.09,48.27
2021-02-01,48.71,48.71,48.11,48.12
2021-02-02,48.13,48.16,48.06,48.1
2021-02-03,48.11,48.16,48.02,48.06
2021-02-04,48.14,48.16,47.99,48.06
2021-02-05,48.06,48.15,47.89,47.95
2021-02-08,47.92,48.28,47.89,47.94
2021-02-09,47.95,48.08,47.91,47.98
2021-02-10,47.97,48.03,47.87,48.0
2021-02-11,48.05,48.22,48.01,48.02
2021-02-12,47.98,48.05,47.91,47.94
2021-02-16,47.85,48.04,47.78,47.91
2021-02-17,47.89,47.89,47.69,47.76
2021-02-18,47.78,47.88,47.78,47.84
2021-02-19,47.7,47.87,47.7,47.75
2021-02-22,47.77,47.89,47.62,47.72
2021-02-23,47.66,47.84,47.62,47.65
2021-02-24,47.64,47.69,47.54,47.57
2021-02-25,47.64,47.76,47.37,47.5
2021-02-26,47.59,47.82,47.31,47.39
2021-03-01,47.58,47.75,47.12,47.64
2021-03-02,47.5,47.7,47.5,47.52
2021-03-03,47.49,47.83,47.46,47.48
2021-03-04,47.46,47.91,47.11,47.32
2021-03-05,47.26,47.37,47.03,47.34
2021-03-08,47.3,47.65,47.22,47.25
2021-03-09,47.11,47.36,47.11,47.29
2021-03-10,47.37,47.39,47.3,47.32
2021-03-11,47.41,47.52,47.34,47.49
2021-03-12,47.62,47.62,47.21,47.32
2021-03-15,47.25,47.27,47.19,47.2
2021-03-16,47.25,47.32,47.21,47.23
2021-03-17,47.2,47.39,47.2,47.28
2021-03-18,47.16,47.18,46.76,47.13
2021-03-19,46.97,47.31,46.95,47.17
2021-03-22,46.97,47.16,46.97,47.16
2021-03-23,47.12,47.62,47.05,47.16
2021-03-24,47.17,47.53,47.13,47.18
2021-03-25,47.15,47.29,46.86,47.18
2021-03-26,47.13,47.28,47.12,47.13
2021-03-29,47.03,47.18,47.02,47.07
2021-03-30,46.95,47.2,46.95,47.07
2021-03-31,47.15,47.2,47.01,47.06
2021-04-01,47.02,47.23,46.97,47.04
2021-04-05,46.97,47.23,46.97,47.16
2021-04-06,47.11,47.61,47.11,47.22
2021-04-07,47.2,47.4,47.19,47.23
2021-04-08,47.28,47.42,47.19,47.21
2021-04-09,47.32,47.32,46.8,47.23
2021-04-12,47.22,47.49,47.14,47.22
2021-04-13,47.21,47.29,47.17,47.26
2021-04-14,47.25,47.38,47.06,47.35
2021-04-15,47.33,47.76,47.33,47.41
2021-04-16,47.47,47.54,46.99,47.46
2021-04-19,47.66,47.66,47.39,47.44
2021-04-20,47.27,47.56,47.27,47.31
2021-04-21,47.43,47.56,47.41,47.54
2021-04-22,47.54,47.59,47.44,47.47
2021-04-23,47.54,47.55,47.45,47.53
2021-04-26,47.54,47.54,47.37,47.54
2021-04-27,47.51,47.51,47.42,47.42
2021-04-28,47.61,47.61,47.33,47.4
2021-04-29,47.42,47.48,47.33,47.47
2021-04-30,47.46,47.47,47.36,47.42
2021-05-03,47.49,47.5,47.41,47.5
2021-05-04,47.5,47.59,47.5,47.57
2021-05-05,47.61,47.62,47.55,47.58
2021-05-06,47.57,47.64,47.57,47.6
2021-05-07,47.63,47.71,47.57,47.59
2021-05-10,47.71,47.73,47.63,47.66
2021-05-11,47.7,47.75,47.57,47.65
2021-05-12,47.59,47.67,47.43,47.44
2021-05-13,47.47,47.53,47.29,47.33
2021-05-14,47.43,47.51,47.34,47.41
2021-05-17,47.46,47.53,47.35,47.44
2021-05-18,47.44,47.53,47.42,47.53
2021-05-19,47.5,47.56,47.43,47.51
2021-05-20,47.48,47.68,47.38,47.62
2021-05-21,47.75,47.75,47.54,47.64
2021-05-24,47.71,47.71,47.53,47.62
2021-05-25,47.7,47.71,47.58,47.66
2021-05-26,47.79,47.79,47.74,47.76
2021-05-27,47.81,47.81,47.67,47.75
2021-05-28,47.71,47.75,47.69,47.71
2021-06-01,47.8,47.8,47.65,47.71
2021-06-02,47.71,47.72,47.66,47.67
2021-06-03,47.69,47.72,47.68,47.69
2021-06-04,47.87,47.87,47.65,47.69
2021-06-07,47.81,47.84,47.71,47.81
2021-06-08,47.87,47.87,47.76,47.8
2021-06-09,47.85,47.89,47.78,47.78
2021-06-10,47.88,47.95,47.84,47.93
2021-06-11,48.22,48.22,47.93,47.93
2021-06-14,47.88,47.95,47.86,47.91
2021-06-15,47.91,47.93,47.85,47.88
2021-06-16,47.93,47.96,47.78,47.78
2021-06-17,47.78,47.78,47.64,47.74
2021-06-18,47.72,47.86,47.71,47.8
2021-06-21,47.86,47.93,47.8,47.93
2021-06-22,47.57,47.99,47.57,47.86
2021-06-23,47.89,47.91,47.77,47.84
2021-06-24,47.8,47.86,47.77,47.8
2021-06-25,47.77,47.9,47.74,47.8
2021-06-28,47.71,47.75,47.58,47.69
2021-06-29,47.68,47.79,47.66,47.77
2021-06-30,47.78,47.86,47.75,47.78
2021-07-01,47.82,47.86,47.69,47.81
2021-07-02,47.76,47.97,47.72,47.89
