date,open,high,low,close
2020-10-08,87.82,88.39,87.75,88.26
2020-10-09,88.47,88.56,88.37,88.47
2020-10-12,88.68,88.76,88.49,88.7
2020-10-13,88.71,88.71,88.44,88.48
2020-10-14,88.49,88.56,88.34,88.45
2020-10-15,87.99,88.17,87.97,88.09
2020-10-16,88.3,88.49,88.19,88.23
2020-10-19,88.34,88.4,87.71,87.71
2020-10-20,87.83,87.92,87.7,87.76
2020-10-21,87.5,87.66,87.31,87.31
2020-10-22,87.16,87.29,86.89,86.9
2020-10-23,87.12,87.34,86.94,87.31
2020-10-26,87.17,87.25,86.94,87.0
2020-10-27,87.34,87.53,87.01,87.52
2020-10-28,87.08,87.29,86.75,86.77
2020-10-29,86.67,86.87,86.54,86.8
2020-10-30,86.71,86.75,86.41,86.57
2020-11-02,86.74,86.95,86.66,86.7
2020-11-03,87.26,87.45,87.18,87.41
2020-11-04,87.9,89.2,87.9,89.1
2020-11-05,89.55,89.68,89.07,89.44
2020-11-06,89.15,89.25,88.84,89.04
2020-11-09,90.21,90.3,89.33,89.47
2020-11-10,89.19,89.58,89.03,89.37
2020-11-11,89.76,89.89,89.63,89.71
2020-11-12,89.93,89.96,89.48,89.54
2020-11-13,89.82,89.9,89.7,89.89
2020-11-16,90.07,90.12,89.93,90.08
2020-11-17,89.93,90.01,89.64,89.93
2020-11-18,90.03,90.1,89.81,89.85
2020-11-19,90.0,90.11,89.87,90.05
2020-11-20,90.12,90.2,89.97,90.12
2020-11-23,90.38,90.38,89.98,90.04
2020-11-24,90.23,90.24,90.13,90.17
2020-11-25,90.18,90.29,89.99,90.1
2020-11-27,90.42,90.48,90.15,90.39
2020-11-30,90.22,90.47,89.81,90.22
2020-12-01,90.33,90.47,90.21,90.44
2020-12-02,90.57,90.6,90.4,90.49
2020-12-03,90.86,90.87,90.74,90.87
2020-12-04,91.03,91.05,90.88,90.95
2020-12-07,90.87,90.96,90.82,90.94
2020-12-08,90.79,90.88,90.71,90.79
2020-12-09,90.68,91.08,90.45,90.56
2020-12-10,90.68,91.09,90.56,91.02
2020-12-11,91.0,91.11,90.9,91.06
2020-12-14,91.14,91.18,91.05,91.06
2020-12-15,91.22,91.4,91.12,91.37
2020-12-16,91.43,91.55,90.69,91.43
2020-12-17,91.69,91.83,91.57,91.73
2020-12-18,91.73,91.75,91.5,91.61
2020-12-21,91.26,91.37,91.07,91.35
2020-12-22,91.45,91.51,91.38,91.46
2020-12-23,91.61,91.68,91.46,91.6
2020-12-24,91.69,91.84,91.64,91.83
2020-12-28,91.71,91.94,91.65,91.85
2020-12-29,91.84,92.07,91.84,91.99
2020-12-30,92.07,92.15,91.94,92.11
2020-12-31,92.13,92.2,92.04,92.16
2021-01-04,92.25,92.31,91.61,91.65
2021-01-05,91.76,91.76,91.54,91.72
2021-01-06,91.17,91.18,90.95,91.06
2021-01-07,91.08,91.08,90.83,91.03
2021-01-08,91.09,91.11,90.87,91.07
2021-01-11,90.71,90.73,90.29,90.36
2021-01-12,89.95,90.09,89.7,89.93
2021-01-13,90.21,90.51,90.17,90.35
2021-01-14,90.59,90.59,90.08,90.09
2021-01-15,90.21,90.31,90.01,90.19
2021-01-19,90.37,90.42,90.22,90.32
2021-01-20,90.4,90.5,90.33,90.42
2021-01-21,90.43,90.51,90.27,90.48
2021-01-22,90.37,90.55,90.35,90.52
2021-01-25,90.73,90.88,90.6,90.88
2021-01-26,90.76,90.81,90.73,90.76
2021-01-27,90.6,90.61,90.33,90.34
2021-01-28,90.47,90.68,90.42,90.53
2021-01-29,90.44,90.7,90.4,90.52
2021-02-01,90.71,91.09,90.62,90.97
2021-02-02,90.91,91.04,90.86,90.97
2021-02-03,90.98,90.98,90.74,90.74
2021-02-04,90.78,91.07,90.64,91.0
2021-02-05,91.28,91.3,91.04,91.11
2021-02-08,90.97,91.12,90.82,91.11
2021-02-09,91.05,91.05,90.77,90.78
2021-02-10,90.98,91.0,90.87,90.96
2021-02-11,91.09,91.2,90.92,91.02
2021-02-12,90.82,90.82,90.46,90.52
2021-02-16,90.29,90.29,89.39,89.41
2021-02-17,89.42,89.94,89.42,89.9
2021-02-18,89.83,89.87,89.59,89.81
2021-02-19,89.72,89.76,89.32,89.33
