date,open,high,low,close
2020-10-08,31.67,31.93,31.67,31.93
2020-10-09,31.9,32.01,31.83,32.01
2020-10-12,32.09,32.14,31.93,32.06
2020-10-13,31.92,32.01,31.91,31.91
2020-10-14,31.71,31.85,31.67,31.72
2020-10-15,31.65,31.65,31.43,31.61
2020-10-16,31.62,31.8,31.61,31.67
2020-10-19,31.8,31.8,31.48,31.48
2020-10-20,31.47,31.62,31.47,31.59
2020-10-21,31.47,31.56,31.47,31.48
2020-10-22,31.51,31.54,31.36,31.36
2020-10-23,31.56,31.56,31.42,31.55
2020-10-26,31.49,31.49,31.33,31.37
2020-10-27,31.4,31.57,31.38,31.51
2020-10-28,31.31,31.35,31.28,31.3
2020-10-29,31.24,31.34,31.18,31.29
2020-10-30,31.16,31.3,31.14,31.3
2020-11-02,31.23,31.38,31.23,31.37
2020-11-03,31.6,31.65,31.48,31.63
2020-11-04,31.77,32.21,31.67,32.2
2020-11-05,32.4,32.4,32.12,32.25
2020-11-06,32.2,32.21,32.09,32.12
2020-11-09,32.85,32.86,32.49,32.54
2020-11-10,32.52,32.59,32.42,32.58
2020-11-11,32.65,32.82,32.65,32.73
2020-11-12,32.65,32.78,32.54,32.54
2020-11-13,32.54,32.69,32.54,32.64
2020-11-16,32.74,32.86,32.74,32.77
2020-11-17,32.75,32.82,32.67,32.72
2020-11-18,32.75,32.9,32.75,32.78
2020-11-19,32.75,32.83,32.73,32.79
2020-11-20,32.89,32.93,32.79,32.84
2020-11-23,32.95,32.98,32.82,32.93
2020-11-24,32.93,33.09,32.92,32.99
2020-11-25,32.96,33.08,32.93,32.95
2020-11-27,33.07,33.2,33.02,33.12
2020-11-30,32.99,33.13,32.97,33.07
2020-12-01,33.25,33.3,33.06,33.08
2020-12-02,33.17,33.35,33.14,33.28
2020-12-03,33.3,33.48,33.29,33.37
2020-12-04,33.54,33.58,33.41,33.46
2020-12-07,33.49,33.49,33.4,33.49
2020-12-08,33.45,33.5,33.34,33.43
2020-12-09,33.41,33.51,33.32,33.38
2020-12-10,33.36,33.6,33.36,33.5
2020-12-11,33.59,33.61,33.52,33.59
2020-12-14,33.65,33.77,33.61,33.67
2020-12-15,33.67,33.8,33.67,33.73
2020-12-16,33.84,33.9,33.75,33.87
2020-12-17,33.84,34.01,33.84,34.01
2020-12-18,34.03,34.03,33.89,33.97
2020-12-21,33.57,33.78,33.57,33.71
2020-12-22,33.76,33.88,33.76,33.86
2020-12-23,33.94,33.96,33.85,33.9
2020-12-24,33.98,33.99,33.82,33.89
2020-12-28,34.01,34.04,33.92,34.01
2020-12-29,33.99,34.13,33.99,34.04
2020-12-30,34.15,34.18,34.09,34.18
2020-12-31,34.12,34.18,34.01,34.07
2021-01-04,34.18,34.35,33.99,34.04
2021-01-05,34.05,34.05,33.94,34.03
2021-01-06,33.93,34.01,33.82,33.96
2021-01-07,33.98,34.03,33.85,34.01
2021-01-08,34.01,34.01,33.88,34.01
2021-01-11,33.87,33.87,33.62,33.76
2021-01-12,33.6,33.63,33.43,33.55
2021-01-13,33.5,33.66,33.5,33.6
2021-01-14,33.69,33.69,33.54,33.54
2021-01-15,33.51,33.54,33.4,33.49
2021-01-19,33.57,33.69,33.53,33.57
2021-01-20,33.63,33.68,33.62,33.67
2021-01-21,33.68,33.81,33.58,33.63
2021-01-22,33.56,33.69,33.55,33.65
