date,open,high,low,close
2023-10-09,20.59,20.67,20.56,20.66
2023-10-10,20.74,20.82,20.72,20.81
2023-10-11,20.91,20.99,20.9,20.98
2023-10-12,20.95,20.97,20.82,20.85
2023-10-13,20.93,20.93,20.83,20.87
2023-10-16,20.92,20.97,20.9,20.96
2023-10-17,20.82,20.93,20.81,20.88
2023-10-18,20.82,20.83,20.68,20.74
2023-10-19,20.72,20.82,20.7,20.74
2023-10-20,20.71,20.76,20.69,20.72
2023-10-23,20.71,20.82,20.67,20.8
2023-10-24,20.81,20.85,20.78,20.84
2023-10-25,20.77,20.79,20.69,20.72
2023-10-26,20.77,20.84,20.75,20.83
2023-10-27,20.92,20.97,20.89,20.91
2023-10-30,20.99,21.01,20.89,20.95
2023-10-31,20.96,20.97,20.89,20.94
2023-11-01,20.98,21.14,20.93,21.13
2023-11-02,21.32,21.36,21.26,21.36
2023-11-03,21.6,21.68,21.57,21.65
2023-11-06,21.68,21.69,21.64,21.66
2023-11-07,21.66,21.71,21.59,21.68
2023-11-08,21.65,21.69,21.61,21.65
2023-11-09,21.64,21.69,21.47,21.48
2023-11-10,21.57,21.57,21.49,21.54
2023-11-13,21.47,21.55,21.44,21.55
2023-11-14,21.81,21.99,21.8,21.99
2023-11-15,21.96,21.99,21.89,21.97
2023-11-16,22.05,22.1,22.0,22.05
2023-11-17,22.09,22.1,22.03,22.09
2023-11-20,22.11,22.33,22.11,22.29
2023-11-21,22.28,22.29,22.13,22.14
2023-11-22,22.11,22.12,22.05,22.08
2023-11-24,22.1,22.15,22.05,22.14
2023-11-27,22.15,22.21,22.14,22.16
2023-11-28,22.25,22.32,22.21,22.26
2023-11-29,22.31,22.35,22.21,22.22
2023-11-30,22.17,22.17,22.04,22.11
2023-12-01,22.15,22.35,22.14,22.3
2023-12-04,22.18,22.3,22.06,22.12
2023-12-05,22.14,22.19,22.07,22.11
2023-12-06,22.18,22.21,22.14,22.14
2023-12-07,22.22,22.22,22.15,22.17
2023-12-08,22.1,22.14,22.02,22.04
2023-12-11,22.01,22.07,21.98,22.06
2023-12-12,22.06,22.11,22.02,22.1
2023-12-13,22.1,22.4,22.06,22.4
2023-12-14,22.48,22.69,22.45,22.66
2023-12-15,22.56,22.61,22.54,22.56
2023-12-18,22.59,22.63,22.54,22.61
2023-12-19,22.7,22.77,22.66,22.76
2023-12-20,22.73,22.76,22.67,22.68
2023-12-21,22.81,22.82,22.72,22.78
2023-12-22,22.81,22.84,22.74,22.77
2023-12-26,22.79,22.81,22.72,22.72
2023-12-27,22.74,22.82,22.71,22.8
2023-12-28,22.81,22.86,22.7,22.74
2023-12-29,22.78,22.8,22.74,22.74
2024-01-02,22.64,22.72,22.56,22.56
2024-01-03,22.47,22.53,22.42,22.49
2024-01-04,22.44,22.5,22.44,22.47
2024-01-05,22.47,22.65,22.47,22.51
2024-01-08,22.52,22.61,22.5,22.57
2024-01-09,22.54,22.57,22.5,22.5
2024-01-10,22.49,22.56,22.49,22.54
2024-01-11,22.61,22.67,22.56,22.65
2024-01-12,22.74,22.8,22.68,22.7
2024-01-16,22.53,22.54,22.31,22.34
2024-01-17,22.23,22.36,22.22,22.34
2024-01-18,22.39,22.39,22.32,22.38
2024-01-19,22.45,22.47,22.37,22.46
2024-01-22,22.45,22.46,22.39,22.4
2024-01-23,22.4,22.4,22.29,22.34
2024-01-24,22.52,22.52,22.42,22.44
2024-01-25,22.47,22.47,22.39,22.44
2024-01-26,22.47,22.48,22.42,22.43
2024-01-29,22.43,22.44,22.38,22.43
2024-01-30,22.46,22.5,22.25,22.5
2024-01-31,22.57,22.57,22.38,22.4
2024-02-01,22.53,22.63,22.5,22.6
2024-02-02,22.44,22.45,22.35,22.44
2024-02-05,22.25,22.26,22.17,22.26
2024-02-06,22.29,22.37,22.26,22.35
2024-02-07,22.35,22.39,22.28,22.34
2024-02-08,22.31,22.31,22.26,22.31
2024-02-09,22.33,22.35,22.3,22.34
2024-02-12,22.35,22.37,22.34,22.35
2024-02-13,22.23,22.23,22.1,22.13
2024-02-14,22.22,22.25,22.18,22.23
2024-02-15,22.29,22.4,22.26,22.37
2024-02-16,22.28,22.35,22.26,22.31
2024-02-20,22.4,22.43,22.32,22.33
2024-02-21,22.41,22.41,22.34,22.36
2024-02-22,22.36,22.38,22.33,22.35
2024-02-23,22.34,22.34,22.27,22.32
2024-02-26,22.3,22.38,22.28,22.36
2024-02-27,22.4,22.43,22.38,22.41
2024-02-28,22.36,22.38,22.29,22.35
2024-02-29,22.38,22.41,22.33,22.35
2024-03-01,22.39,22.43,22.32,22.4
2024-03-04,22.4,22.41,22.38,22.41
2024-03-05,22.42,22.46,22.39,22.4
2024-03-06,22.42,22.45,22.36,22.36
2024-03-07,22.41,22.45,22.4,22.44
2024-03-08,22.53,22.65,22.52,22.58
2024-03-11,22.57,22.6,22.54,22.56
2024-03-12,22.5,22.52,22.45,22.51
2024-03-13,22.51,22.63,22.51,22.59
2024-03-14,22.59,22.59,22.45,22.46
2024-03-15,22.47,22.5,22.44,22.48
2024-03-18,22.39,22.4,22.23,22.25
2024-03-19,22.23,22.25,22.2,22.22
2024-03-20,22.24,22.36,22.23,22.35
2024-03-21,22.39,22.39,22.28,22.31
2024-03-22,22.26,22.28,22.17,22.2
2024-03-25,22.27,22.29,22.23,22.29
2024-03-26,22.29,22.29,22.21,22.23
2024-03-27,22.25,22.28,22.21,22.25
2024-03-28,22.22,22.25,22.2,22.21
2024-04-01,22.25,22.26,22.09,22.09
2024-04-02,22.13,22.18,22.1,22.18
2024-04-03,22.16,22.27,22.14,22.26
2024-04-04,22.36,22.4,22.3,22.31
2024-04-05,22.31,22.35,22.3,22.35
2024-04-08,22.37,22.37,22.31,22.32
2024-04-09,22.43,22.43,22.34,22.37
2024-04-10,22.19,22.21,22.06,22.07
2024-04-11,22.13,22.15,22.0,22.1
2024-04-12,21.86,22.0,21.86,21.91
2024-04-15,21.86,21.86,21.75,21.77
2024-04-16,21.61,21.61,21.5,21.55
2024-04-17,21.66,21.71,21.6,21.68
2024-04-18,21.71,21.72,21.61,21.66
2024-04-19,21.68,21.72,21.64,21.7
2024-04-22,21.7,21.76,21.67,21.75
2024-04-23,21.77,21.88,21.76,21.87
2024-04-24,21.82,21.82,21.72,21.76
2024-04-25,21.69,21.77,21.68,21.77
2024-04-26,21.79,21.83,21.77,21.82
2024-04-29,21.86,21.93,21.84,21.93
2024-04-30,21.83,21.86,21.71,21.71
2024-05-01,21.82,21.94,21.79,21.83
2024-05-02,21.93,22.05,21.91,22.05
2024-05-03,22.23,22.29,22.15,22.2
2024-05-06,22.27,22.27,22.19,22.21
2024-05-07,22.27,22.29,22.21,22.23
2024-05-08,22.15,22.2,22.15,22.18
2024-05-09,22.17,22.26,22.15,22.25
2024-05-10,22.25,22.28,22.19,22.19
2024-05-13,22.27,22.28,22.2,22.23
2024-05-14,22.27,22.32,22.25,22.32
2024-05-15,22.42,22.49,22.37,22.48
2024-05-16,22.5,22.52,22.47,22.5
2024-05-17,22.49,22.55,22.47,22.54
2024-05-20,22.5,22.56,22.48,22.54
2024-05-21,22.56,22.58,22.51,22.51
2024-05-22,22.43,22.45,22.38,22.41
2024-05-23,22.46,22.47,22.31,22.33
2024-05-24,22.35,22.38,22.34,22.36
2024-05-28,22.45,22.47,22.37,22.4
2024-05-29,22.27,22.27,22.16,22.16
2024-05-30,22.25,22.25,22.18,22.18
2024-05-31,22.23,22.24,22.15,22.2
2024-06-03,22.21,22.25,22.15,22.22
2024-06-04,22.15,22.2,22.12,22.16
2024-06-05,22.17,22.17,22.1,22.13
2024-06-06,22.16,22.23,22.15,22.18
2024-06-07,22.1,22.1,21.93,21.94
2024-06-10,21.87,21.94,21.83,21.93
2024-06-11,21.91,21.95,21.9,21.91
2024-06-12,22.06,22.08,21.93,21.93
2024-06-13,21.95,21.97,21.86,21.91
2024-06-14,21.79,21.82,21.74,21.77
2024-06-17,21.78,21.84,21.76,21.8
2024-06-18,21.92,21.99,21.91,21.93
2024-06-20,21.87,21.91,21.84,21.88
2024-06-21,21.95,21.96,21.88,21.94
2024-06-24,22.02,22.07,22.01,22.05
2024-06-25,22.02,22.04,21.96,21.99
2024-06-26,21.87,21.92,21.87,21.87
2024-06-27,21.86,21.88,21.82,21.83
2024-06-28,21.9,21.91,21.87,21.88
2024-07-01,21.93,21.94,21.81,21.81
2024-07-02,21.83,21.89,21.81,21.86
2024-07-03,21.98,22.09,21.87,22.07
2024-07-05,22.14,22.22,22.09,22.21
2024-07-08,22.21,22.25,22.2,22.23
2024-07-09,22.23,22.29,22.23,22.28
2024-07-10,22.35,22.37,22.33,22.33
2024-07-11,22.49,22.52,22.45,22.48
2024-07-12,22.53,22.62,22.5,22.61
2024-07-15,22.52,22.56,22.49,22.54
2024-07-16,22.56,22.59,22.53,22.59
2024-07-17,22.57,22.58,22.51,22.57
2024-07-18,22.48,22.49,22.37,22.38
2024-07-19,22.39,22.4,22.31,22.33
2024-07-22,22.34,22.42,22.34,22.39
2024-07-23,22.33,22.38,22.33,22.34
2024-07-24,22.29,22.31,22.21,22.22
2024-07-25,22.27,22.3,22.23,22.25
2024-07-26,22.35,22.36,22.33,22.33
2024-07-29,22.32,22.32,22.2,22.26
2024-07-30,22.28,22.31,22.22,22.28
2024-07-31,22.41,22.43,22.35,22.39
2024-08-01,22.46,22.51,22.34,22.35
2024-08-02,22.56,22.6,22.53,22.6
2024-08-05,22.52,22.56,22.44,22.51
2024-08-06,22.5,22.56,22.48,22.48
