date,open,high,low,close
2020-10-08,14.56,14.56,14.46,14.55
2020-10-09,14.43,14.52,14.36,14.48
2020-10-12,14.28,14.36,14.24,14.33
2020-10-13,14.07,14.11,13.96,14.1
2020-10-14,14.1,14.23,14.03,14.03
2020-10-15,13.47,13.52,13.38,13.45
2020-10-16,13.55,13.66,13.49,13.59
2020-10-19,13.56,13.56,13.4,13.41
2020-10-20,13.48,13.67,13.48,13.63
2020-10-21,13.43,13.53,13.4,13.44
2020-10-22,13.48,13.51,13.4,13.42
2020-10-23,13.42,13.5,13.33,13.5
2020-10-26,13.21,13.27,13.12,13.19
2020-10-27,13.18,13.18,13.02,13.09
2020-10-28,12.51,12.51,12.22,12.24
2020-10-29,12.18,12.3,12.11,12.26
2020-10-30,12.01,12.06,11.86,12.03
2020-11-02,12.34,12.37,12.25,12.34
2020-11-03,12.99,13.32,12.95,13.27
2020-11-04,12.98,13.41,12.94,13.33
2020-11-05,13.78,13.83,13.64,13.77
2020-11-06,13.76,14.06,13.76,14.01
2020-11-09,14.81,14.85,14.49,14.54
2020-11-10,14.76,14.87,14.65,14.67
2020-11-11,14.75,14.83,14.66,14.8
2020-11-12,14.67,14.74,14.5,14.53
2020-11-13,14.55,14.57,14.48,14.56
2020-11-16,14.91,14.96,14.83,14.92
2020-11-17,14.85,14.96,14.8,14.93
2020-11-18,15.02,15.16,14.99,15.04
2020-11-19,14.89,14.96,14.84,14.93
2020-11-20,15.05,15.19,15.05,15.16
2020-11-23,15.29,15.29,15.1,15.1
2020-11-24,15.25,15.48,15.24,15.46
2020-11-25,15.52,15.56,15.48,15.56
2020-11-27,15.45,15.49,15.37,15.43
2020-11-30,15.38,15.44,15.1,15.12
2020-12-01,15.47,15.68,15.44,15.66
2020-12-02,15.64,15.99,15.64,15.96
2020-12-03,15.98,16.1,15.92,15.95
2020-12-04,16.26,16.54,16.26,16.49
2020-12-07,16.48,16.58,16.46,16.57
2020-12-08,16.59,16.82,16.55,16.78
2020-12-09,17.22,17.26,16.74,16.86
2020-12-10,16.81,17.04,16.81,17.01
2020-12-11,16.46,16.64,16.42,16.58
2020-12-14,16.51,16.54,16.39,16.48
2020-12-15,16.54,16.67,16.5,16.61
2020-12-16,16.94,17.03,16.85,16.97
2020-12-17,16.86,16.97,16.75,16.96
2020-12-18,16.61,16.67,16.51,16.6
2020-12-21,16.03,16.17,15.94,16.08
2020-12-22,16.18,16.24,16.09,16.19
2020-12-23,16.39,16.48,16.39,16.44
2020-12-24,16.5,16.51,16.41,16.48
2020-12-28,16.89,17.02,16.88,16.96
2020-12-29,16.99,17.11,16.84,17.04
2020-12-30,16.69,16.8,16.63,16.66
2020-12-31,16.63,16.64,16.42,16.52
2021-01-04,17.07,17.12,16.79,16.8
2021-01-05,17.05,17.2,17.01,17.18
2021-01-06,17.16,17.61,17.16,17.49
2021-01-07,17.6,17.7,17.57,17.65
2021-01-08,17.84,17.9,17.63,17.78
2021-01-11,17.39,17.54,17.34,17.48
2021-01-12,17.19,17.32,17.06,17.27
2021-01-13,17.06,17.15,16.95,16.97
2021-01-14,17.03,17.17,17.03,17.1
2021-01-15,16.85,16.91,16.59,16.68
2021-01-19,17.0,17.04,16.71,16.73
2021-01-20,16.77,16.88,16.66,16.81
2021-01-21,16.71,16.76,16.46,16.61
2021-01-22,16.54,16.71,16.51,16.64
2021-01-25,16.44,16.55,16.31,16.51
2021-01-26,16.56,16.78,16.56,16.73
2021-01-27,16.28,16.34,16.04,16.13
2021-01-28,16.52,16.77,16.46,16.65
2021-01-29,16.59,16.59,16.3,16.31
2021-02-01,16.65,16.73,16.58,16.64
2021-02-02,16.68,16.69,16.55,16.63
2021-02-03,16.49,16.55,16.4,16.44
2021-02-04,16.39,16.42,16.2,16.31
2021-02-05,16.57,16.72,16.49,16.64
2021-02-08,16.68,16.77,16.58,16.64
2021-02-09,16.68,16.77,16.61,16.73
2021-02-10,16.74,16.75,16.48,16.51
2021-02-11,16.77,16.85,16.7,16.72
2021-02-12,16.51,16.68,16.45,16.64
2021-02-16,17.17,17.33,17.17,17.23
2021-02-17,17.04,17.16,16.96,17.13
2021-02-18,17.13,17.24,16.96,17.08
2021-02-19,17.13,17.23,17.08,17.14
2021-02-22,16.93,17.0,16.87,16.87
2021-02-23,16.44,16.7,16.32,16.61
2021-02-24,16.62,16.81,16.56,16.81
2021-02-25,16.84,16.93,16.39,16.44
2021-02-26,16.4,16.42,16.19,16.22
2021-03-01,16.44,16.61,16.42,16.58
2021-03-02,16.68,16.74,16.57,16.62
2021-03-03,16.51,16.58,16.38,16.43
2021-03-04,16.37,16.53,16.08,16.17
2021-03-05,16.14,16.17,15.96,16.09
2021-03-08,16.11,16.23,16.03,16.12
2021-03-09,16.45,16.58,16.4,16.52
2021-03-10,16.68,16.7,16.49,16.59
2021-03-11,16.55,16.59,16.44,16.57
2021-03-12,16.51,16.71,16.51,16.7
2021-03-15,16.6,16.67,16.55,16.66
2021-03-16,16.55,16.55,16.25,16.3
2021-03-17,15.81,16.29,15.73,16.18
2021-03-18,16.02,16.14,15.92,15.93
2021-03-19,15.91,15.99,15.85,15.97
2021-03-22,15.98,16.05,15.91,15.98
2021-03-23,15.72,15.85,15.58,15.59
2021-03-24,15.43,15.51,15.34,15.37
2021-03-25,15.2,15.33,15.12,15.32
2021-03-26,15.45,15.85,15.41,15.83
2021-03-29,15.72,15.79,15.66,15.76
2021-03-30,15.63,15.72,15.54,15.61
2021-03-31,15.64,15.77,15.6,15.72
