date,open,high,low,close
2023-10-09,33.46,33.83,33.31,33.8
2023-10-10,34.79,35.33,34.69,35.27
2023-10-11,35.77,36.01,35.64,35.86
2023-10-12,35.79,35.79,34.86,35.03
2023-10-13,35.56,35.56,35.11,35.15
2023-10-16,35.64,35.87,35.47,35.78
2023-10-17,35.26,35.88,35.26,35.64
2023-10-18,35.18,35.18,34.63,34.72
2023-10-19,34.43,34.77,34.29,34.45
2023-10-20,34.12,34.31,33.9,33.93
2023-10-23,34.25,34.44,33.95,34.16
2023-10-24,33.79,34.22,33.79,34.09
2023-10-25,33.89,34.01,33.59,33.62
2023-10-26,33.73,34.04,33.7,33.84
2023-10-27,34.19,34.29,33.7,33.84
2023-10-30,34.39,34.4,34.0,34.05
2023-10-31,34.19,34.31,33.8,34.16
2023-11-01,34.22,34.58,34.14,34.57
2023-11-02,35.34,35.71,35.06,35.69
2023-11-03,36.5,37.24,36.5,37.03
2023-11-06,36.97,37.02,36.64,36.75
2023-11-07,35.95,36.06,35.65,35.96
2023-11-08,35.8,36.15,35.79,35.91
2023-11-09,35.71,35.85,35.22,35.25
2023-11-10,35.15,35.37,35.0,35.35
2023-11-13,35.15,35.42,35.01,35.24
2023-11-14,36.5,37.38,36.5,37.26
2023-11-15,37.86,38.0,37.67,37.82
2023-11-16,36.61,37.17,36.61,36.77
2023-11-17,36.82,36.93,36.74,36.85
2023-11-20,36.67,37.21,36.67,37.13
2023-11-21,36.78,36.88,36.38,36.48
2023-11-22,36.31,36.31,36.0,36.11
2023-11-24,36.42,36.81,36.32,36.78
2023-11-27,36.92,37.13,36.8,37.07
2023-11-28,37.06,37.58,36.96,37.51
2023-11-29,37.29,37.47,36.92,37.0
2023-11-30,36.87,36.97,36.66,36.95
2023-12-01,36.79,37.32,36.68,37.27
2023-12-04,36.87,37.05,36.56,36.77
2023-12-05,36.21,36.37,35.99,36.27
2023-12-06,36.62,36.72,36.24,36.28
2023-12-07,36.27,36.49,36.09,36.42
2023-12-08,35.89,36.09,35.59,35.83
2023-12-11,35.53,35.95,35.5,35.94
2023-12-12,35.56,35.69,35.37,35.66
2023-12-13,35.36,36.65,35.02,36.59
2023-12-14,38.02,38.56,38.02,38.42
2023-12-15,38.43,38.57,38.12,38.22
2023-12-18,37.27,37.51,36.89,37.07
2023-12-19,37.51,38.03,37.5,37.93
2023-12-20,38.08,38.28,37.38,37.5
2023-12-21,38.14,38.3,37.92,38.21
2023-12-22,37.67,37.88,37.49,37.69
2023-12-26,37.86,37.91,37.57,37.89
2023-12-27,38.47,38.92,38.47,38.82
2023-12-28,38.37,38.38,37.79,37.86
2023-12-29,38.52,38.84,38.52,38.65
2024-01-02,37.95,38.1,37.69,37.76
2024-01-03,36.76,37.0,36.56,36.78
2024-01-04,36.6,36.78,36.5,36.57
2024-01-05,36.54,37.09,36.44,36.69
2024-01-08,36.37,36.94,36.36,36.87
2024-01-09,36.66,36.67,36.33,36.39
2024-01-10,36.16,36.18,36.03,36.11
2024-01-11,36.49,36.5,35.98,36.37
2024-01-12,36.7,36.99,36.53,36.62
2024-01-16,35.79,35.79,35.07,35.15
2024-01-17,34.55,34.55,34.21,34.52
2024-01-18,34.91,35.05,34.83,35.03
2024-01-19,35.01,35.3,34.77,35.25
2024-01-22,34.44,34.71,34.35,34.56
2024-01-23,35.19,35.52,35.13,35.48
2024-01-24,36.38,36.43,35.86,35.97
2024-01-25,36.19,36.19,35.76,36.03
2024-01-26,36.67,36.79,36.49,36.65
2024-01-29,36.43,36.43,36.05,36.38
2024-01-30,36.27,36.36,36.04,36.35
2024-01-31,36.59,36.83,36.11,36.27
2024-02-01,36.5,37.02,36.47,36.94
2024-02-02,36.35,36.35,35.94,36.08
2024-02-05,35.76,35.76,35.38,35.65
2024-02-06,36.13,36.64,36.06,36.62
2024-02-07,36.2,36.27,35.98,36.17
2024-02-08,35.79,35.79,35.48,35.56
2024-02-09,35.5,35.51,35.21,35.47
2024-02-12,35.37,35.87,35.37,35.7
2024-02-13,35.14,35.14,34.41,34.68
2024-02-14,34.91,35.07,34.82,35.04
2024-02-15,35.17,35.38,35.12,35.3
2024-02-16,35.47,35.93,35.46,35.76
2024-02-20,35.38,35.44,35.23,35.39
2024-02-21,35.47,35.59,35.2,35.39
2024-02-22,35.46,35.53,35.19,35.46
2024-02-23,34.99,35.31,34.89,35.23
2024-02-26,34.79,34.97,34.74,34.9
2024-02-27,34.94,35.04,34.85,34.89
2024-02-28,34.37,34.41,33.95,34.13
2024-02-29,34.54,34.6,34.23,34.36
2024-03-01,34.79,35.27,34.55,35.19
2024-03-04,35.15,35.18,34.96,35.13
2024-03-05,35.21,35.23,34.78,34.9
2024-03-06,35.78,36.24,35.78,36.09
2024-03-07,35.85,36.22,35.72,36.2
2024-03-08,36.09,36.16,35.9,36.01
2024-03-11,36.09,36.41,36.09,36.23
2024-03-12,36.03,36.14,35.81,36.06
2024-03-13,36.28,36.94,36.28,36.67
2024-03-14,36.23,36.23,35.74,35.85
2024-03-15,35.94,35.97,35.34,35.44
2024-03-18,35.1,35.1,34.65,34.72
2024-03-19,34.66,34.84,34.54,34.76
2024-03-20,34.98,35.95,34.96,35.89
2024-03-21,36.07,36.15,35.7,35.81
2024-03-22,35.37,35.52,35.16,35.36
2024-03-25,35.34,35.79,35.34,35.45
2024-03-26,35.9,35.91,35.45,35.53
2024-03-27,35.95,36.13,35.82,36.07
2024-03-28,36.07,36.26,36.07,36.23
2024-04-01,36.47,36.66,35.96,36.1
2024-04-02,36.49,36.74,36.4,36.48
2024-04-03,36.34,36.77,36.31,36.64
2024-04-04,37.31,37.45,36.6,36.7
2024-04-05,36.97,37.38,36.77,37.24
2024-04-08,37.6,37.67,37.36,37.36
2024-04-09,38.16,38.27,37.82,38.08
2024-04-10,37.23,37.51,36.99,37.12
2024-04-11,37.36,37.73,36.95,37.64
2024-04-12,37.25,37.26,36.48,36.63
2024-04-15,36.76,36.76,36.0,36.04
2024-04-16,35.71,35.77,35.39,35.45
2024-04-17,35.75,35.84,35.28,35.43
2024-04-18,35.7,35.73,35.33,35.39
2024-04-19,35.27,35.61,35.27,35.52
2024-04-22,35.39,35.63,35.33,35.44
