date,open,high,low,close
2020-10-08,22.58,22.6,22.57,22.57
2020-10-09,22.67,22.76,22.67,22.69
2020-10-12,22.78,22.97,22.72,22.72
2020-10-13,22.56,22.62,22.56,22.62
2020-10-14,22.7,22.71,22.53,22.53
2020-10-15,21.99,22.43,21.99,22.43
2020-10-16,22.43,22.43,22.43,22.43
2020-10-19,22.48,22.48,22.16,22.16
2020-10-20,22.21,22.21,22.21,22.21
2020-10-21,22.18,22.18,22.16,22.16
2020-10-22,22.17,22.23,22.16,22.23
2020-10-23,22.08,22.18,22.08,22.18
2020-10-26,21.99,21.99,21.79,21.82
2020-10-27,21.82,21.86,21.82,21.82
2020-10-28,21.42,21.42,21.02,21.02
2020-10-29,21.21,21.21,21.08,21.08
2020-10-30,20.92,20.99,20.89,20.99
2020-11-02,21.24,21.26,21.23,21.24
2020-11-03,21.32,21.77,21.32,21.74
2020-11-04,21.7,21.99,21.7,21.84
2020-11-05,22.0,22.35,22.0,22.35
2020-11-06,22.29,22.33,22.29,22.33
2020-11-09,22.88,22.96,22.79,22.79
2020-11-10,22.84,22.97,22.84,22.92
2020-11-11,23.1,23.1,23.1,23.1
2020-11-12,22.67,22.72,22.67,22.67
2020-11-13,22.79,22.86,22.79,22.8
2020-11-16,23.18,23.18,23.18,23.18
2020-11-17,23.3,23.3,23.3,23.3
2020-11-18,23.47,23.47,23.35,23.35
2020-11-19,23.34,23.34,23.34,23.34
2020-11-20,23.46,23.46,23.46,23.46
2020-11-23,23.47,23.68,23.47,23.63
2020-11-24,23.93,24.05,23.93,24.05
2020-11-25,24.08,24.08,24.03,24.05
2020-11-27,24.08,24.14,24.03,24.14
2020-11-30,23.96,24.04,23.96,23.97
2020-12-01,24.06,24.09,24.06,24.09
2020-12-02,24.09,24.23,24.09,24.21
2020-12-03,24.35,24.4,24.35,24.39
2020-12-04,24.57,24.69,24.57,24.69
2020-12-07,24.66,24.73,24.66,24.73
2020-12-08,24.83,24.87,24.83,24.84
2020-12-09,24.87,24.87,24.72,24.79
2020-12-10,24.83,24.95,24.83,24.95
2020-12-11,24.8,24.86,24.71,24.82
2020-12-14,24.76,24.76,24.61,24.61
2020-12-15,24.73,24.91,24.72,24.83
2020-12-16,24.91,24.91,24.91,24.91
2020-12-17,25.08,25.08,25.08,25.08
2020-12-18,24.95,24.95,24.81,24.81
2020-12-21,24.81,24.81,24.45,24.56
2020-12-22,24.55,24.56,24.55,24.56
2020-12-23,24.68,24.68,24.68,24.68
2020-12-24,24.67,24.82,24.67,24.8
2020-12-28,24.86,24.87,24.68,24.68
2020-12-29,24.7,24.8,24.67,24.7
2020-12-30,25.28,25.28,24.72,24.72
2020-12-31,24.82,24.83,24.69,24.69
2021-01-04,24.82,24.82,24.58,24.58
2021-01-05,24.91,25.08,24.91,25.05
2021-01-06,25.04,25.33,25.04,25.32
2021-01-07,25.39,25.59,25.39,25.59
2021-01-08,25.64,25.64,25.52,25.6
2021-01-11,25.29,25.48,25.29,25.38
2021-01-12,25.47,25.63,25.4,25.56
2021-01-13,25.48,25.56,25.47,25.56
2021-01-14,25.63,25.63,25.63,25.63
2021-01-15,25.45,25.52,25.42,25.43
