date,open,high,low,close
2023-10-09,24.12,24.37,24.11,24.31
2023-10-10,24.57,24.71,24.52,24.64
2023-10-11,24.62,24.65,24.46,24.57
2023-10-12,24.79,24.79,24.52,24.62
2023-10-13,24.45,24.49,24.25,24.31
2023-10-16,24.22,24.38,24.17,24.37
2023-10-17,24.22,24.5,24.22,24.4
2023-10-18,24.3,24.3,24.0,24.04
2023-10-19,24.04,24.16,23.84,23.88
2023-10-20,23.86,23.91,23.72,23.72
2023-10-23,23.6,23.82,23.52,23.66
2023-10-24,23.71,23.83,23.67,23.8
2023-10-25,23.87,23.88,23.7,23.74
2023-10-26,23.54,23.6,23.38,23.41
2023-10-27,23.81,23.81,23.57,23.64
2023-10-30,23.7,23.8,23.6,23.8
2023-10-31,24.02,24.12,23.94,24.11
2023-11-01,24.26,24.49,24.25,24.46
2023-11-02,24.72,24.91,24.65,24.88
2023-11-03,25.19,25.42,25.16,25.32
2023-11-06,25.08,25.08,24.93,24.98
2023-11-07,24.65,24.78,24.6,24.73
2023-11-08,24.4,24.46,24.27,24.33
2023-11-09,24.65,24.72,24.43,24.45
2023-11-10,24.51,24.68,24.43,24.68
2023-11-13,24.57,24.71,24.51,24.68
2023-11-14,24.92,25.17,24.92,25.16
2023-11-15,25.0,25.08,24.9,24.93
2023-11-16,25.0,25.06,24.95,25.03
2023-11-17,25.32,25.44,25.29,25.4
2023-11-20,25.31,25.44,25.31,25.4
2023-11-21,25.44,25.48,25.27,25.3
2023-11-22,25.46,25.48,25.34,25.47
2023-11-24,25.48,25.53,25.46,25.53
2023-11-27,25.49,25.55,25.46,25.51
2023-11-28,25.4,25.6,25.36,25.52
2023-11-29,25.51,25.58,25.43,25.51
2023-11-30,25.59,25.59,25.46,25.57
2023-12-01,25.48,25.79,25.46,25.77
2023-12-04,25.46,25.53,25.35,25.42
2023-12-05,25.33,25.42,25.3,25.32
2023-12-06,25.74,25.77,25.57,25.58
2023-12-07,25.62,25.98,25.55,25.81
2023-12-08,25.54,25.64,25.48,25.64
2023-12-11,25.72,25.8,25.69,25.76
2023-12-12,25.64,25.75,25.58,25.74
2023-12-13,25.7,26.13,25.61,26.1
2023-12-14,25.88,26.05,25.87,25.98
2023-12-15,25.99,26.0,25.73,25.75
2023-12-18,25.76,25.78,25.64,25.7
2023-12-19,25.83,25.91,25.69,25.75
2023-12-20,25.93,25.93,25.59,25.63
2023-12-21,25.92,26.09,25.91,26.08
2023-12-22,26.24,26.29,26.11,26.2
2023-12-26,26.12,26.21,26.06,26.16
2023-12-27,26.23,26.34,26.2,26.31
2023-12-28,26.53,26.58,26.47,26.51
2023-12-29,26.56,26.59,26.48,26.52
2024-01-02,26.31,26.47,26.26,26.32
2024-01-03,26.22,26.26,26.07,26.17
2024-01-04,26.14,26.26,26.09,26.12
2024-01-05,26.33,26.56,26.26,26.31
2024-01-08,26.39,26.67,26.35,26.66
2024-01-09,26.52,26.58,26.46,26.52
2024-01-10,26.99,27.04,26.92,26.96
2024-01-11,27.18,27.22,26.95,27.18
2024-01-12,27.47,27.55,27.37,27.42
2024-01-16,27.43,27.43,27.13,27.18
2024-01-17,26.79,26.84,26.7,26.84
2024-01-18,26.96,27.07,26.92,27.07
2024-01-19,27.02,27.12,26.89,27.12
2024-01-22,27.43,27.52,27.39,27.46
2024-01-23,27.16,27.24,27.09,27.22
2024-01-24,27.27,27.4,27.23,27.23
2024-01-25,27.29,27.29,27.08,27.16
2024-01-26,26.98,27.05,26.92,26.97
2024-01-29,27.14,27.33,27.1,27.29
2024-01-30,27.24,27.24,27.12,27.18
2024-01-31,27.43,27.56,27.23,27.3
2024-02-01,27.43,27.6,27.36,27.6
2024-02-02,27.37,27.44,27.25,27.43
2024-02-05,27.3,27.38,27.19,27.3
2024-02-06,27.14,27.3,27.14,27.3
2024-02-07,27.46,27.48,27.39,27.44
2024-02-08,27.31,27.34,27.15,27.32
2024-02-09,27.35,27.43,27.27,27.43
2024-02-12,27.46,27.64,27.46,27.57
