date,open,high,low,close
2020-10-08,48.71,48.77,48.67,48.69
2020-10-09,48.71,48.85,48.7,48.77
2020-10-12,48.82,48.83,48.73,48.77
2020-10-13,48.77,48.9,48.76,48.86
2020-10-14,48.83,48.89,48.81,48.87
2020-10-15,48.84,48.91,48.84,48.86
2020-10-16,48.83,48.91,48.83,48.86
2020-10-19,48.79,48.9,48.79,48.81
2020-10-20,48.85,48.9,48.82,48.86
2020-10-21,48.84,48.93,48.82,48.88
2020-10-22,48.94,48.94,48.86,48.88
2020-10-23,48.87,48.95,48.82,48.82
2020-10-26,48.95,48.96,48.82,48.89
2020-10-27,48.88,48.89,48.84,48.86
2020-10-28,48.86,48.87,48.71,48.79
2020-10-29,48.73,48.78,48.73,48.75
2020-10-30,48.73,48.76,48.5,48.71
2020-11-02,48.64,48.76,48.5,48.76
2020-11-03,48.69,48.85,48.59,48.85
2020-11-04,48.95,49.3,48.95,49.26
2020-11-05,49.17,49.22,49.04,49.05
2020-11-06,49.17,49.24,49.06,49.07
2020-11-09,49.04,49.27,49.0,49.22
2020-11-10,49.28,49.28,49.2,49.26
2020-11-11,49.2,49.32,49.19,49.32
2020-11-12,49.37,49.37,49.22,49.32
2020-11-13,49.34,49.41,49.26,49.37
2020-11-16,49.4,49.41,49.35,49.36
2020-11-17,49.36,49.62,49.36,49.5
2020-11-18,49.51,49.57,49.49,49.57
2020-11-19,49.69,49.82,49.65,49.81
2020-11-20,49.86,49.87,49.78,49.82
2020-11-23,49.88,49.9,49.84,49.89
2020-11-24,49.92,49.93,49.87,49.92
2020-11-25,49.96,50.01,49.92,49.98
2020-11-27,49.95,50.05,49.95,50.03
2020-11-30,50.04,50.07,49.98,50.06
2020-12-01,50.1,50.14,49.97,49.99
2020-12-02,49.97,50.11,49.97,50.04
2020-12-03,50.14,50.23,50.08,50.23
2020-12-04,50.29,50.37,50.22,50.37
2020-12-07,50.38,50.49,50.38,50.49
2020-12-08,50.47,50.55,50.43,50.55
2020-12-09,50.51,50.59,50.48,50.56
2020-12-10,50.45,50.63,50.45,50.61
2020-12-11,50.63,50.68,50.59,50.67
2020-12-14,50.71,50.71,50.67,50.71
2020-12-15,50.74,50.79,50.69,50.79
2020-12-16,50.83,50.84,50.7,50.75
2020-12-17,50.81,50.81,50.7,50.73
2020-12-18,50.84,50.89,50.79,50.84
2020-12-21,50.91,50.95,50.81,50.87
2020-12-22,50.91,50.91,50.79,50.82
2020-12-23,50.84,50.89,50.74,50.77
2020-12-24,50.75,50.85,50.75,50.75
2020-12-28,50.82,50.94,50.75,50.83
2020-12-29,50.88,50.92,50.81,50.85
2020-12-30,50.87,50.88,50.81,50.81
