date,open,high,low,close
2020-10-08,29.34,29.34,29.28,29.34
2020-10-09,29.37,29.4,29.31,29.38
2020-10-12,29.46,29.57,29.44,29.53
2020-10-13,29.5,29.51,29.38,29.43
2020-10-14,29.4,29.41,29.29,29.35
2020-10-15,29.23,29.34,29.17,29.32
2020-10-16,29.37,29.4,29.26,29.28
2020-10-19,29.34,29.35,29.18,29.21
2020-10-20,29.26,29.36,29.24,29.31
2020-10-21,29.32,29.37,29.27,29.31
2020-10-22,29.3,29.37,29.24,29.36
2020-10-23,29.36,29.39,29.32,29.38
2020-10-26,29.28,29.3,29.13,29.15
2020-10-27,29.15,29.21,29.13,29.16
2020-10-28,28.99,29.0,28.86,28.9
2020-10-29,28.88,29.0,28.85,28.98
2020-10-30,28.94,29.05,28.88,29.04
2020-11-02,29.1,29.17,29.05,29.13
2020-11-03,29.17,29.37,29.17,29.34
2020-11-04,29.42,29.71,29.42,29.65
2020-11-05,29.77,29.86,29.71,29.77
2020-11-06,29.74,29.77,29.61,29.66
2020-11-09,30.18,30.21,29.86,29.87
2020-11-10,29.85,29.92,29.74,29.85
2020-11-11,29.87,29.87,29.78,29.83
2020-11-12,29.8,29.81,29.62,29.62
2020-11-13,29.65,29.75,29.65,29.73
2020-11-16,29.85,29.9,29.81,29.9
2020-11-17,29.86,29.95,29.83,29.91
2020-11-18,29.94,29.97,29.85,29.86
2020-11-19,29.84,29.97,29.8,29.96
2020-11-20,29.93,29.93,29.87,29.89
2020-11-23,29.98,29.99,29.92,29.96
2020-11-24,30.05,30.11,30.0,30.03
2020-11-25,29.99,30.08,29.99,30.03
2020-11-27,30.09,30.1,30.06,30.08
2020-11-30,30.06,30.07,29.97,30.04
2020-12-01,30.12,30.2,30.12,30.15
2020-12-02,30.15,30.26,30.11,30.24
2020-12-03,30.23,30.31,30.23,30.25
2020-12-04,30.29,30.38,30.28,30.36
2020-12-07,30.35,30.35,30.3,30.35
2020-12-08,30.34,30.35,30.3,30.34
2020-12-09,30.34,30.34,30.24,30.29
2020-12-10,30.27,30.37,30.23,30.34
2020-12-11,30.32,30.35,30.25,30.29
2020-12-14,30.35,30.37,30.26,30.3
2020-12-15,30.34,30.39,30.29,30.39
2020-12-16,30.39,30.39,30.27,30.35
2020-12-17,30.39,30.42,30.29,30.4
2020-12-18,30.45,30.45,30.37,30.42
2020-12-21,30.34,30.37,30.25,30.33
2020-12-22,30.34,30.36,30.3,30.36
2020-12-23,30.41,30.51,30.41,30.48
2020-12-24,30.53,30.56,30.51,30.55
2020-12-28,30.6,30.62,30.55,30.58
2020-12-29,30.63,30.66,30.55,30.57
2020-12-30,30.59,30.66,30.59,30.63
2020-12-31,30.64,30.67,30.61,30.64
2021-01-04,30.7,30.7,30.51,30.59
2021-01-05,30.56,30.64,30.55,30.59
2021-01-06,30.56,30.67,30.54,30.55
2021-01-07,30.61,30.67,30.59,30.64
2021-01-08,30.65,30.67,30.58,30.67
2021-01-11,30.56,30.6,30.5,30.51
2021-01-12,30.51,30.58,30.47,30.57
2021-01-13,30.54,30.66,30.54,30.64
2021-01-14,30.65,30.67,30.62,30.64
2021-01-15,30.59,30.64,30.56,30.58
2021-01-19,30.66,30.67,30.6,30.67
2021-01-20,30.73,30.76,30.67,30.73
2021-01-21,30.72,30.74,30.67,30.72
2021-01-22,30.66,30.69,30.62,30.66
2021-01-25,30.66,30.67,30.56,30.67
2021-01-26,30.61,30.69,30.61,30.65
2021-01-27,30.59,30.63,30.48,30.56
2021-01-28,30.61,30.72,30.6,30.62
2021-01-29,30.58,30.68,30.49,30.53
2021-02-01,30.57,30.65,30.52,30.63
2021-02-02,30.71,30.75,30.69,30.73
2021-02-03,30.75,30.79,30.72,30.74
2021-02-04,30.79,30.83,30.77,30.8
2021-02-05,30.87,30.89,30.84,30.86
2021-02-08,30.89,30.93,30.86,30.93
2021-02-09,30.91,30.92,30.86,30.87
2021-02-10,30.9,30.9,30.82,30.89
2021-02-11,30.88,30.9,30.85,30.9
2021-02-12,30.89,30.95,30.87,30.95
2021-02-16,30.92,30.93,30.86,30.87
2021-02-17,30.84,30.89,30.81,30.89
2021-02-18,30.81,30.87,30.8,30.84
2021-02-19,30.89,30.89,30.82,30.84
2021-02-22,30.8,30.83,30.74,30.74
2021-02-23,30.74,30.85,30.66,30.82
2021-02-24,30.78,30.83,30.74,30.82
2021-02-25,30.76,30.81,30.52,30.57
2021-02-26,30.6,30.65,30.47,30.5
2021-03-01,30.65,30.83,30.63,30.81
2021-03-02,30.84,30.84,30.74,30.74
2021-03-03,30.75,30.75,30.65,30.69
2021-03-04,30.71,30.77,30.48,30.56
2021-03-05,30.62,30.69,30.48,30.65
2021-03-08,30.64,30.67,30.43,30.44
2021-03-09,30.52,30.59,30.46,30.47
2021-03-10,30.52,30.61,30.5,30.58
2021-03-11,30.67,30.73,30.64,30.69
2021-03-12,30.62,30.64,30.56,30.61
2021-03-15,30.59,30.62,30.54,30.62
2021-03-16,30.59,30.6,30.5,30.53
2021-03-17,30.49,30.66,30.46,30.57
2021-03-18,30.47,30.49,30.32,30.35
2021-03-19,30.39,30.49,30.32,30.48
2021-03-22,30.52,30.61,30.5,30.57
2021-03-23,30.56,30.61,30.52,30.59
2021-03-24,30.62,30.71,30.59,30.6
2021-03-25,30.6,30.65,30.55,30.64
2021-03-26,30.67,30.75,30.62,30.75
2021-03-29,30.7,30.78,30.67,30.78
2021-03-30,30.71,30.74,30.7,30.72
2021-03-31,30.72,30.86,30.72,30.82
2021-04-01,30.85,30.87,30.8,30.85
2021-04-05,30.89,30.93,30.87,30.92
2021-04-06,30.91,30.99,30.91,30.98
2021-04-07,30.99,31.0,30.94,30.98
2021-04-08,31.01,31.01,30.97,30.98
2021-04-09,30.97,30.98,30.93,30.98
2021-04-12,30.94,30.94,30.89,30.93
2021-04-13,30.88,30.96,30.85,30.95
2021-04-14,30.94,31.0,30.91,30.95
2021-04-15,30.97,31.06,30.97,31.05
2021-04-16,31.09,31.09,30.98,30.99
2021-04-19,30.98,30.98,30.94,30.96
2021-04-20,30.89,30.94,30.87,30.9
2021-04-21,30.91,30.99,30.88,30.99
2021-04-22,30.98,30.99,30.93,30.94
2021-04-23,30.96,31.04,30.95,31.0
2021-04-26,31.04,31.05,30.98,30.98
2021-04-27,30.99,31.01,30.98,30.99
2021-04-28,30.98,31.05,30.95,31.04
2021-04-29,31.05,31.08,31.01,31.05
2021-04-30,31.01,31.06,31.01,31.05
2021-05-03,31.07,31.1,31.05,31.06
2021-05-04,31.04,31.04,30.97,31.01
2021-05-05,31.04,31.11,31.01,31.11
2021-05-06,31.11,31.12,31.04,31.09
2021-05-07,31.11,31.13,31.08,31.11
2021-05-10,31.11,31.12,31.04,31.06
2021-05-11,30.96,31.03,30.94,31.03
2021-05-12,30.96,30.98,30.87,30.89
2021-05-13,30.9,31.01,30.9,30.97
2021-05-14,31.01,31.05,30.99,31.04
2021-05-17,31.06,31.08,30.98,31.01
2021-05-18,31.03,31.04,30.93,30.94
2021-05-19,30.87,30.93,30.83,30.86
2021-05-20,30.87,30.99,30.87,30.98
2021-05-21,31.03,31.05,30.97,31.01
2021-05-24,31.06,31.11,31.02,31.07
2021-05-25,31.07,31.09,31.04,31.08
2021-05-26,31.08,31.08,31.04,31.08
2021-05-27,31.09,31.11,31.06,31.07
2021-05-28,31.08,31.12,31.05,31.05
2021-06-01,31.12,31.16,31.1,31.16
2021-06-02,31.17,31.2,31.15,31.18
2021-06-03,31.11,31.17,31.1,31.13
2021-06-04,31.16,31.2,31.15,31.18
2021-06-07,31.2,31.22,31.18,31.2
2021-06-08,31.23,31.25,31.2,31.22
2021-06-09,31.24,31.28,31.24,31.25
2021-06-10,31.27,31.33,31.27,31.31
2021-06-11,31.33,31.34,31.28,31.31
2021-06-14,31.32,31.32,31.28,31.31
2021-06-15,31.28,31.31,31.27,31.28
2021-06-16,31.29,31.31,31.2,31.26
2021-06-17,31.25,31.28,31.24,31.27
2021-06-18,31.23,31.26,31.2,31.24
2021-06-21,31.26,31.31,31.26,31.31
2021-06-22,31.27,31.33,31.27,31.31
2021-06-23,31.31,31.36,31.31,31.32
2021-06-24,31.36,31.39,31.34,31.38
2021-06-25,31.4,31.42,31.38,31.41
2021-06-28,31.42,31.44,31.39,31.41
2021-06-29,31.44,31.45,31.41,31.45
2021-06-30,31.45,31.46,31.42,31.43
2021-07-01,31.47,31.51,31.47,31.51
2021-07-02,31.53,31.56,31.51,31.56
2021-07-06,31.57,31.58,31.53,31.58
2021-07-07,31.59,31.59,31.52,31.56
2021-07-08,31.49,31.54,31.45,31.51
2021-07-09,31.53,31.56,31.51,31.55
2021-07-12,31.55,31.57,31.51,31.54
2021-07-13,31.54,31.55,31.47,31.48
2021-07-14,31.48,31.52,31.48,31.5
2021-07-15,31.47,31.5,31.45,31.49
2021-07-16,31.51,31.51,31.43,31.43
2021-07-19,31.37,31.38,31.19,31.23
2021-07-20,31.23,31.38,31.23,31.38
2021-07-21,31.42,31.46,31.4,31.44
2021-07-22,31.47,31.51,31.44,31.48
2021-07-23,31.49,31.55,31.49,31.55
2021-07-26,31.52,31.55,31.49,31.5
2021-07-27,31.47,31.49,31.42,31.46
2021-07-28,31.48,31.51,31.44,31.49
2021-07-29,31.52,31.55,31.51,31.55
2021-07-30,31.53,31.55,31.5,31.52
2021-08-02,31.53,31.56,31.44,31.47
2021-08-03,31.47,31.48,31.42,31.47
2021-08-04,31.45,31.45,31.41,31.41
2021-08-05,31.41,31.47,31.41,31.46
2021-08-06,31.48,31.49,31.43,31.44
2021-08-09,31.47,31.47,31.35,31.37
2021-08-10,31.36,31.38,31.31,31.33
2021-08-11,31.35,31.37,31.32,31.37
2021-08-12,31.36,31.42,31.35,31.42
2021-08-13,31.43,31.46,31.41,31.46
2021-08-16,31.44,31.47,31.43,31.46
2021-08-17,31.44,31.44,31.36,31.41
2021-08-18,31.4,31.44,31.36,31.37
2021-08-19,31.3,31.37,31.3,31.34
2021-08-20,31.34,31.42,31.34,31.42
2021-08-23,31.44,31.52,31.44,31.52
2021-08-24,31.51,31.55,31.49,31.55
2021-08-25,31.54,31.59,31.53,31.57
2021-08-26,31.59,31.59,31.51,31.57
2021-08-27,31.56,31.65,31.56,31.65
2021-08-30,31.65,31.7,31.64,31.69
2021-08-31,31.7,31.72,31.66,31.7
2021-09-01,31.74,31.78,31.69,31.72
2021-09-02,31.77,31.79,31.74,31.74
2021-09-03,31.76,31.78,31.73,31.77
2021-09-07,31.77,31.79,31.7,31.72
2021-09-08,31.7,31.73,31.66,31.73
2021-09-09,31.75,31.77,31.71,31.77
2021-09-10,31.79,31.82,31.73,31.74
2021-09-13,31.77,31.79,31.74,31.77
2021-09-14,31.78,31.82,31.77,31.77
2021-09-15,31.8,31.84,31.78,31.84
2021-09-16,31.84,31.84,31.78,31.84
2021-09-17,31.83,31.83,31.77,31.8
2021-09-20,31.66,31.72,31.62,31.68
2021-09-21,31.74,31.74,31.66,31.72
2021-09-22,31.79,31.8,31.72,31.76
2021-09-23,31.79,31.83,31.76,31.79
2021-09-24,31.74,31.78,31.73,31.75
2021-09-27,31.71,31.74,31.69,31.73
2021-09-28,31.68,31.68,31.58,31.58
2021-09-29,31.62,31.67,31.62,31.64
2021-09-30,31.65,31.69,31.58,31.62
2021-10-01,31.63,31.71,31.58,31.66
2021-10-04,31.66,31.69,31.57,31.61
2021-10-05,31.63,31.63,31.55,31.56
2021-10-06,31.5,31.56,31.46,31.55
2021-10-07,31.58,31.63,31.53,31.54
2021-10-08,31.52,31.56,31.45,31.47
2021-10-11,31.44,31.48,31.37,31.37
2021-10-12,31.4,31.47,31.39,31.42
2021-10-13,31.46,31.5,31.4,31.5
2021-10-14,31.58,31.66,31.56,31.66
2021-10-15,31.69,31.69,31.6,31.6
2021-10-18,31.56,31.6,31.53,31.59
2021-10-19,31.58,31.62,31.58,31.61
2021-10-20,31.6,31.63,31.6,31.63
2021-10-21,31.62,31.64,31.54,31.55
