date,open,high,low,close
2020-10-07,35.98,36.06,35.84,35.98
2020-10-08,36.22,36.28,35.9,36.16
2020-10-09,36.6,36.82,36.56,36.82
2020-10-12,36.72,36.76,36.62,36.72
2020-10-13,36.3,36.3,36.0,36.1
2020-10-14,36.42,36.5,36.22,36.22
2020-10-15,36.12,36.42,36.08,36.36
2020-10-16,36.4,36.44,36.2,36.22
2020-10-19,36.48,36.48,36.26,36.26
2020-10-20,36.28,36.52,36.18,36.44
2020-10-21,36.7,36.86,36.62,36.74
2020-10-22,36.38,36.4,36.12,36.34
2020-10-23,36.42,36.42,36.12,36.32
2020-10-26,36.34,36.42,36.22,36.3
2020-10-27,36.34,36.48,36.28,36.4
2020-10-28,35.88,35.94,35.66,35.78
2020-10-29,35.58,35.82,35.54,35.64
2020-10-30,36.0,36.06,35.76,35.78
2020-11-02,36.08,36.16,36.0,36.14
2020-11-03,36.38,36.46,36.24,36.34
2020-11-04,36.38,36.44,36.1,36.36
2020-11-05,36.8,37.26,36.78,37.16
2020-11-06,37.28,37.3,37.02,37.22
2020-11-09,35.86,35.88,35.3,35.6
2020-11-10,35.9,35.96,35.7,35.7
2020-11-11,35.52,35.62,35.46,35.54
2020-11-12,35.78,35.94,35.74,35.78
2020-11-13,36.12,36.14,35.94,36.0
2020-11-16,36.04,36.16,35.94,36.0
2020-11-17,36.04,36.08,35.8,35.88
2020-11-18,35.82,35.96,35.64,35.68
2020-11-19,35.42,35.62,35.4,35.62
2020-11-20,35.82,35.86,35.68,35.74
2020-11-23,35.58,35.62,34.92,35.0
2020-11-24,34.42,34.5,34.32,34.48
2020-11-25,34.56,34.66,34.4,34.46
2020-11-27,33.94,34.12,33.9,34.08
2020-11-30,33.9,34.04,33.74,33.9
2020-12-01,34.5,34.66,34.4,34.58
2020-12-02,34.7,34.92,34.58,34.84
2020-12-03,35.08,35.14,34.76,35.12
2020-12-04,35.14,35.24,34.88,35.04
2020-12-07,35.06,35.64,35.06,35.54
2020-12-08,35.7,35.76,35.52,35.66
2020-12-09,35.36,35.38,34.8,35.1
2020-12-10,35.16,35.3,34.9,35.0
2020-12-11,35.0,35.24,34.98,35.08
2020-12-14,34.96,35.08,34.74,34.88
2020-12-15,35.28,35.38,35.18,35.38
2020-12-16,35.38,35.58,35.16,35.56
2020-12-17,36.02,36.16,35.9,35.94
2020-12-18,35.92,35.98,35.8,35.86
2020-12-21,35.84,35.96,35.72,35.78
2020-12-22,35.84,35.86,35.44,35.52
2020-12-23,35.6,35.82,35.58,35.72
2020-12-24,35.72,35.86,35.68,35.84
2020-12-28,36.02,36.16,35.7,35.74
2020-12-29,35.82,35.98,35.7,35.82
2020-12-30,35.88,36.12,35.86,36.1
2020-12-31,36.2,36.26,36.04,36.26
2021-01-04,36.96,37.1,36.78,37.1
2021-01-05,37.18,37.26,36.96,37.18
2021-01-06,36.92,36.92,36.24,36.6
2021-01-07,36.54,36.58,36.36,36.48
2021-01-08,35.96,36.0,34.86,35.26
2021-01-11,35.02,35.32,34.96,35.16
2021-01-12,35.2,35.42,35.04,35.36
2021-01-13,35.32,35.48,35.18,35.24
2021-01-14,35.26,35.42,35.1,35.22
2021-01-15,35.14,35.2,34.76,34.8
2021-01-19,35.1,35.14,34.94,35.1
2021-01-20,35.48,35.68,35.34,35.66
2021-01-21,35.6,35.68,35.48,35.64
2021-01-22,35.16,35.44,35.04,35.38
2021-01-25,35.56,35.58,35.2,35.38
2021-01-26,35.38,35.44,35.26,35.3
2021-01-27,35.18,35.28,34.9,35.1
2021-01-28,35.44,35.54,34.98,35.1
2021-01-29,35.56,35.62,35.1,35.1
2021-02-01,35.58,35.64,35.4,35.42
2021-02-02,35.1,35.1,34.86,34.98
2021-02-03,35.04,35.1,34.88,34.92
2021-02-04,34.22,34.24,34.02,34.18
2021-02-05,34.36,34.6,34.3,34.54
2021-02-08,34.98,35.06,34.88,34.9
2021-02-09,35.1,35.18,34.92,34.98
2021-02-10,35.22,35.22,34.98,35.14
2021-02-11,35.14,35.16,34.7,34.82
2021-02-12,34.64,34.9,34.54,34.72
2021-02-16,34.2,34.58,34.1,34.2
2021-02-17,33.96,34.04,33.72,33.84
2021-02-18,33.94,34.02,33.7,33.82
2021-02-19,33.9,34.16,33.88,33.96
2021-02-22,34.26,34.56,34.2,34.46
2021-02-23,34.46,34.52,34.22,34.4
2021-02-24,34.08,34.4,33.98,34.36
2021-02-25,33.96,34.1,33.64,33.72
2021-02-26,33.56,33.58,32.72,32.88
2021-03-01,33.16,33.22,32.76,32.84
2021-03-02,32.92,33.14,32.78,33.02
2021-03-03,32.66,32.88,32.44,32.68
2021-03-04,32.66,32.84,32.2,32.34
2021-03-05,32.48,32.5,32.24,32.36
2021-03-08,32.26,32.28,31.94,32.04
2021-03-09,32.7,32.8,32.62,32.72
2021-03-10,32.74,32.9,32.66,32.86
2021-03-11,32.82,32.94,32.76,32.86
2021-03-12,32.42,32.88,32.4,32.88
2021-03-15,32.98,33.06,32.82,32.98
2021-03-16,33.02,33.18,32.9,33.02
2021-03-17,33.0,33.38,32.84,33.24
2021-03-18,32.78,33.12,32.76,33.06
2021-03-19,33.06,33.24,33.04,33.22
2021-03-22,33.02,33.18,32.98,33.14
2021-03-23,33.02,33.06,32.86,32.88
2021-03-24,32.98,33.14,32.92,33.0
2021-03-25,33.14,33.26,32.8,32.88
2021-03-26,32.88,33.1,32.86,33.0
2021-03-29,32.86,32.86,32.5,32.6
2021-03-30,32.14,32.18,32.02,32.04
2021-03-31,32.14,32.68,32.14,32.52
2021-04-01,32.84,32.98,32.8,32.92
2021-04-05,32.86,33.04,32.8,32.9
2021-04-06,33.1,33.26,33.1,33.22
2021-04-07,33.12,33.22,33.04,33.1
2021-04-08,33.38,33.52,33.38,33.46
2021-04-09,33.12,33.28,33.04,33.22
2021-04-12,33.08,33.12,32.9,33.0
2021-04-13,33.18,33.32,33.16,33.22
2021-04-14,33.12,33.16,33.0,33.1
2021-04-15,33.38,33.72,33.36,33.64
2021-04-16,33.8,33.94,33.76,33.82
2021-04-19,33.74,33.86,33.7,33.74
2021-04-20,33.68,33.92,33.68,33.86
2021-04-21,33.98,34.26,33.98,34.2
2021-04-22,33.98,34.08,33.86,34.0
2021-04-23,34.06,34.08,33.72,33.82
2021-04-26,33.9,33.94,33.76,33.94
2021-04-27,33.96,34.0,33.82,33.84
2021-04-28,33.72,33.96,33.66,33.94
2021-04-29,33.68,33.82,33.44,33.8
2021-04-30,33.74,33.76,33.6,33.7
2021-05-03,34.08,34.26,34.04,34.14
2021-05-04,34.12,34.28,33.72,33.88
2021-05-05,33.9,34.04,33.88,34.04
2021-05-06,34.16,34.64,34.16,34.6
2021-05-07,34.88,35.1,34.78,34.9
2021-05-10,35.16,35.16,34.94,35.04
2021-05-11,34.72,35.04,34.64,35.04
2021-05-12,34.86,34.96,34.64,34.68
2021-05-13,34.64,34.84,34.62,34.84
2021-05-14,35.0,35.14,34.94,35.12
2021-05-17,35.24,35.6,35.24,35.56
2021-05-18,35.62,35.64,35.48,35.6
2021-05-19,35.64,36.0,35.46,35.64
2021-05-20,35.68,35.9,35.62,35.8
2021-05-21,35.92,35.98,35.62,35.84
2021-05-24,35.82,35.93,35.77,35.88
2021-05-25,35.84,36.2,35.81,36.2
2021-05-26,36.29,36.33,36.02,36.14
2021-05-27,36.08,36.18,35.96,36.16
2021-05-28,36.11,36.29,36.06,36.26
2021-06-01,36.37,36.38,36.04,36.2
2021-06-02,36.27,36.37,36.2,36.37
2021-06-03,35.78,35.78,35.52,35.64
2021-06-04,35.92,36.12,35.92,36.04
2021-06-07,36.0,36.19,35.93,36.19
2021-06-08,36.06,36.12,35.89,36.07
2021-06-09,36.09,36.17,35.96,36.01
2021-06-10,35.95,36.18,35.9,36.16
2021-06-11,35.86,35.92,35.7,35.76
2021-06-14,35.23,35.61,35.19,35.55
2021-06-15,35.56,35.58,35.26,35.41
2021-06-16,35.37,35.47,34.8,34.82
2021-06-17,33.98,34.1,33.66,33.75
2021-06-18,33.79,33.92,33.55,33.56
2021-06-21,33.89,34.03,33.77,33.97
2021-06-22,33.85,33.96,33.77,33.83
2021-06-23,33.96,34.19,33.77,33.8
2021-06-24,33.99,34.02,33.77,33.77
2021-06-25,34.08,34.08,33.83,33.88
2021-06-28,33.91,33.96,33.84,33.88
2021-06-29,33.44,33.63,33.37,33.53
2021-06-30,33.49,33.79,33.43,33.71
2021-07-01,33.91,33.95,33.67,33.81
2021-07-02,34.06,34.13,33.85,34.04
2021-07-06,34.43,34.52,34.08,34.22
2021-07-07,34.33,34.43,34.22,34.34
2021-07-08,34.55,34.56,34.16,34.33
2021-07-09,34.35,34.51,34.31,34.43
2021-07-12,34.33,34.42,34.11,34.4
2021-07-13,34.48,34.57,34.37,34.45
2021-07-14,34.78,34.8,34.64,34.8
2021-07-15,34.78,34.86,34.66,34.81
2021-07-16,34.71,34.78,34.44,34.48
2021-07-19,34.49,34.57,34.36,34.5
2021-07-20,34.7,34.75,34.37,34.47
2021-07-21,34.26,34.39,34.21,34.34
2021-07-22,34.28,34.43,34.2,34.41
2021-07-23,34.28,34.36,34.18,34.29
2021-07-26,34.29,34.36,34.2,34.23
2021-07-27,34.34,34.36,34.17,34.29
2021-07-28,34.22,34.47,34.13,34.44
2021-07-29,34.73,34.9,34.73,34.83
2021-07-30,34.75,34.79,34.46,34.56
2021-08-02,34.46,34.64,34.41,34.53
2021-08-03,34.48,34.56,34.43,34.49
2021-08-04,34.84,34.88,34.39,34.51
2021-08-05,34.47,34.48,34.23,34.35
2021-08-06,33.75,33.76,33.48,33.52
2021-08-09,33.17,33.23,32.81,32.91
2021-08-10,32.85,32.99,32.7,32.93
2021-08-11,33.19,33.41,33.1,33.38
2021-08-12,33.29,33.4,33.15,33.39
2021-08-13,33.57,33.87,33.55,33.87
