date,open,high,low,close
2023-10-09,69.73,70.0,69.6,69.9
2023-10-10,70.0,70.47,69.98,70.25
2023-10-11,70.44,70.52,70.23,70.42
2023-10-12,70.43,70.44,69.96,70.05
2023-10-13,70.07,70.1,69.66,69.71
2023-10-16,69.78,70.12,69.5,70.0
2023-10-17,69.85,70.42,69.85,70.25
2023-10-18,70.08,70.12,69.65,69.67
2023-10-19,69.63,69.75,69.19,69.25
2023-10-20,69.15,69.18,68.74,68.74
2023-10-23,68.64,68.91,68.47,68.53
2023-10-24,68.72,68.97,68.67,68.72
2023-10-25,68.72,68.72,68.08,68.08
2023-10-26,68.14,68.29,67.9,68.02
2023-10-27,68.08,68.13,67.65,67.73
2023-10-30,67.69,67.79,67.48,67.55
2023-10-31,67.52,67.78,67.42,67.73
2023-11-01,67.72,67.83,67.58,67.79
2023-11-02,68.09,68.6,68.09,68.58
2023-11-03,68.86,69.43,68.85,69.37
2023-11-06,69.53,69.6,68.79,68.85
2023-11-07,68.94,69.5,68.86,69.38
2023-11-08,69.44,69.44,69.06,69.13
2023-11-09,69.25,69.26,68.48,68.56
2023-11-10,68.67,68.89,68.62,68.83
2023-11-13,68.85,69.03,68.72,68.96
2023-11-14,69.61,70.12,69.59,69.97
2023-11-15,70.2,70.58,70.04,70.31
2023-11-16,70.11,70.13,69.86,70.01
2023-11-17,70.09,70.33,70.04,70.25
2023-11-20,70.32,70.68,70.32,70.6
2023-11-21,70.48,70.51,70.26,70.32
2023-11-22,70.38,70.57,70.32,70.46
2023-11-24,70.51,70.59,70.48,70.56
2023-11-27,70.53,70.69,70.46,70.64
2023-11-28,70.62,70.8,70.44,70.79
2023-11-29,70.99,71.42,70.99,71.19
2023-11-30,71.18,71.25,71.04,71.19
2023-12-01,71.2,72.08,71.1,72.08
2023-12-04,71.88,72.25,71.87,72.03
2023-12-05,71.96,72.08,71.74,71.92
2023-12-06,72.07,72.26,71.88,71.93
2023-12-07,72.14,72.36,72.01,72.32
2023-12-08,72.19,72.53,72.19,72.49
2023-12-11,72.52,72.78,72.43,72.74
2023-12-12,72.77,72.97,72.55,72.75
2023-12-13,72.81,73.55,72.64,73.52
2023-12-14,73.91,74.82,73.91,74.73
2023-12-15,74.74,74.89,74.63,74.73
2023-12-18,74.87,74.96,74.73,74.82
2023-12-19,74.99,75.35,74.91,75.35
2023-12-20,75.28,75.4,74.62,74.63
2023-12-21,74.97,75.3,74.95,75.3
2023-12-22,75.38,75.61,75.34,75.51
2023-12-26,75.57,75.77,75.52,75.66
2023-12-27,75.81,76.04,75.72,76.01
2023-12-28,75.87,76.07,75.84,75.97
2023-12-29,76.05,76.05,75.67,75.75
2024-01-02,75.49,75.49,74.9,75.01
2024-01-03,74.71,74.71,74.23,74.29
2024-01-04,74.12,74.33,74.1,74.1
2024-01-05,74.0,74.16,73.78,73.94
2024-01-08,74.01,74.54,73.9,74.48
2024-01-09,74.22,74.64,74.22,74.5
2024-01-10,74.57,74.8,74.37,74.75
2024-01-11,74.86,74.86,74.35,74.74
2024-01-12,74.69,74.95,74.52,74.57
