date,open,high,low,close
2023-10-09,43.96,44.32,43.85,44.31
2023-10-10,44.59,45.01,44.57,44.95
2023-10-11,45.27,45.35,45.01,45.18
2023-10-12,45.27,45.3,44.59,44.72
2023-10-13,44.76,44.89,44.44,44.53
2023-10-16,44.56,44.95,44.49,44.88
2023-10-17,44.52,44.96,44.5,44.77
2023-10-18,44.32,44.37,43.98,44.04
2023-10-19,43.95,44.16,43.78,43.83
2023-10-20,43.45,43.58,43.26,43.27
2023-10-23,42.97,43.42,42.8,43.24
2023-10-24,43.43,43.86,43.41,43.8
2023-10-25,43.37,43.52,43.18,43.23
2023-10-26,42.94,43.11,42.82,43.0
2023-10-27,43.39,43.45,42.9,42.96
2023-10-30,43.64,43.7,43.28,43.43
2023-10-31,43.05,43.18,42.83,43.15
2023-11-01,43.13,43.59,43.1,43.58
2023-11-02,44.22,44.37,44.09,44.35
2023-11-03,44.91,45.32,44.89,45.22
2023-11-06,45.81,45.84,45.54,45.63
2023-11-07,45.33,45.56,45.14,45.53
2023-11-08,45.31,45.44,45.14,45.22
2023-11-09,45.22,45.35,44.76,44.79
2023-11-10,44.82,45.13,44.75,45.1
2023-11-13,44.96,45.26,44.87,45.12
2023-11-14,45.79,46.33,45.79,46.29
2023-11-15,46.62,46.86,46.51,46.64
2023-11-16,46.17,46.46,46.06,46.25
2023-11-17,46.29,46.41,46.21,46.33
2023-11-20,46.52,46.97,46.52,46.91
2023-11-21,46.78,46.88,46.55,46.62
2023-11-22,46.57,46.68,46.37,46.53
2023-11-24,46.34,46.61,46.33,46.57
2023-11-27,46.39,46.47,46.3,46.44
2023-11-28,46.63,46.9,46.57,46.83
2023-11-29,46.61,46.85,46.53,46.56
2023-11-30,46.61,46.69,46.32,46.63
2023-12-01,46.35,46.9,46.27,46.89
2023-12-04,46.52,46.64,46.29,46.37
2023-12-05,45.99,46.22,45.91,46.17
2023-12-06,46.46,46.46,46.09,46.09
2023-12-07,46.26,46.36,46.13,46.33
2023-12-08,46.04,46.29,45.96,46.16
2023-12-11,46.14,46.41,46.09,46.38
2023-12-12,46.23,46.43,46.04,46.42
2023-12-13,46.14,46.91,45.95,46.9
2023-12-14,47.1,47.58,47.1,47.53
