date,open,high,low,close
2023-10-09,17.32,17.4,17.3,17.37
2023-10-10,17.41,17.47,17.37,17.42
2023-10-11,17.46,17.52,17.39,17.43
2023-10-12,17.42,17.42,17.31,17.33
2023-10-13,17.35,17.43,17.33,17.34
2023-10-16,17.36,17.42,17.36,17.39
2023-10-17,17.34,17.35,17.28,17.34
2023-10-18,17.28,17.29,17.26,17.27
2023-10-19,17.26,17.33,17.22,17.25
2023-10-20,17.24,17.26,17.22,17.26
2023-10-23,17.26,17.42,17.26,17.33
2023-10-24,17.37,17.41,17.33,17.39
2023-10-25,17.37,17.38,17.3,17.3
2023-10-26,17.29,17.36,17.21,17.24
2023-10-27,17.31,17.33,17.25,17.26
2023-10-30,17.36,17.42,17.33,17.4
2023-10-31,17.39,17.4,17.35,17.38
2023-11-01,17.32,17.45,17.27,17.45
2023-11-02,17.56,17.64,17.56,17.61
2023-11-03,17.72,17.8,17.72,17.79
2023-11-06,17.81,17.89,17.69,17.75
2023-11-07,17.73,17.76,17.67,17.72
2023-11-08,17.7,17.75,17.7,17.73
2023-11-09,17.74,17.74,17.53,17.53
2023-11-10,17.65,17.73,17.63,17.73
2023-11-13,17.65,17.77,17.65,17.71
2023-11-14,17.86,17.99,17.86,17.97
2023-11-15,17.94,17.97,17.89,17.94
2023-11-16,17.98,18.01,17.91,17.96
2023-11-17,17.96,18.04,17.95,18.04
2023-11-20,18.04,18.13,18.04,18.13
2023-11-21,18.07,18.13,18.05,18.12
2023-11-22,18.06,18.12,18.06,18.1
2023-11-24,18.09,18.18,18.09,18.12
2023-11-27,18.13,18.22,18.13,18.19
2023-11-28,18.15,18.27,18.15,18.24
2023-11-29,18.26,18.32,18.25,18.32
2023-11-30,18.24,18.31,18.19,18.21
2023-12-01,18.27,18.36,18.14,18.26
2023-12-04,18.2,18.35,18.2,18.26
2023-12-05,18.32,18.36,18.27,18.31
2023-12-06,18.3,18.34,18.25,18.27
2023-12-07,18.34,18.36,18.27,18.35
2023-12-08,18.23,18.36,18.23,18.36
2023-12-11,18.37,18.37,18.32,18.35
2023-12-12,18.31,18.38,18.27,18.36
2023-12-13,18.35,18.61,18.35,18.61
2023-12-14,18.67,18.83,18.67,18.83
2023-12-15,18.75,18.75,18.63,18.64
2023-12-18,18.71,18.75,18.69,18.73
2023-12-19,18.79,18.84,18.77,18.83
2023-12-20,18.76,18.85,18.76,18.78
2023-12-21,18.84,18.9,18.8,18.87
2023-12-22,18.89,18.97,18.89,18.92
2023-12-26,18.91,18.94,18.85,18.94
2023-12-27,18.98,19.06,18.98,19.06
2023-12-28,18.99,19.04,18.94,18.96
2023-12-29,18.97,19.03,18.95,19.02
2024-01-02,18.89,18.9,18.75,18.75
2024-01-03,18.67,18.76,18.66,18.74
2024-01-04,18.69,18.78,18.69,18.76
2024-01-05,18.7,18.79,18.67,18.72
2024-01-08,18.78,18.85,18.78,18.85
2024-01-09,18.75,18.79,18.75,18.79
2024-01-10,18.79,18.88,18.79,18.85
2024-01-11,18.87,18.95,18.84,18.95
2024-01-12,18.97,18.99,18.93,18.99
2024-01-16,18.91,18.91,18.75,18.75
2024-01-17,18.78,18.83,18.74,18.82
2024-01-18,18.82,18.82,18.78,18.8
2024-01-19,18.8,18.84,18.76,18.84
2024-01-22,18.91,18.93,18.85,18.93
2024-01-23,18.88,18.88,18.76,18.78
2024-01-24,18.97,18.97,18.79,18.8
2024-01-25,18.92,18.92,18.84,18.88
2024-01-26,18.91,18.97,18.89,18.89
2024-01-29,18.95,18.97,18.87,18.95
2024-01-30,18.99,18.99,18.92,18.93
2024-01-31,18.98,18.98,18.84,18.85
2024-02-01,18.86,18.95,18.86,18.93
2024-02-02,18.83,18.85,18.82,18.85
2024-02-05,18.83,18.83,18.74,18.74
2024-02-06,18.73,18.84,18.73,18.84
2024-02-07,18.86,18.89,18.81,18.86
2024-02-08,18.88,18.88,18.75,18.81
2024-02-09,18.8,18.89,18.74,18.89
2024-02-12,18.82,18.87,18.8,18.8
2024-02-13,18.68,18.69,18.65,18.65
2024-02-14,18.7,18.75,18.7,18.75
2024-02-15,18.86,18.86,18.8,18.85
2024-02-16,18.84,18.87,18.79,18.8
2024-02-20,18.85,18.87,18.84,18.86
2024-02-21,18.87,18.9,18.86,18.87
2024-02-22,18.93,18.98,18.89,18.98
2024-02-23,18.98,18.98,18.93,18.96
2024-02-26,18.96,19.0,18.92,18.97
2024-02-27,18.95,18.97,18.9,18.93
2024-02-28,18.91,18.96,18.9,18.96
2024-02-29,18.88,18.95,18.88,18.9
2024-03-01,18.99,19.01,18.96,18.98
2024-03-04,19.02,19.06,18.98,19.01
2024-03-05,19.07,19.07,18.97,19.06
2024-03-06,19.12,19.12,19.01,19.03
2024-03-07,19.09,19.17,19.09,19.13
2024-03-08,19.15,19.19,19.1,19.11
2024-03-11,19.09,19.13,19.08,19.11
2024-03-12,19.14,19.18,19.1,19.12
2024-03-13,19.14,19.2,19.13,19.15
2024-03-14,19.15,19.15,19.03,19.05
2024-03-15,19.08,19.1,19.03,19.1
2024-03-18,19.04,19.08,19.04,19.08
