date,open,high,low,close
2023-10-09,21.55,21.81,21.46,21.77
2023-10-10,22.02,22.39,21.99,22.36
2023-10-11,22.44,22.52,22.31,22.5
2023-10-12,22.65,22.65,21.97,22.14
2023-10-13,22.4,22.48,22.12,22.15
2023-10-16,22.3,22.55,22.24,22.53
2023-10-17,22.28,22.69,22.28,22.48
2023-10-18,22.36,22.36,22.04,22.06
2023-10-19,22.01,22.33,21.99,22.08
2023-10-20,21.98,22.03,21.75,21.88
2023-10-23,21.7,21.97,21.57,21.74
2023-10-24,21.87,22.12,21.8,21.98
2023-10-25,21.95,22.05,21.8,21.85
2023-10-26,21.88,22.3,21.85,22.23
2023-10-27,22.52,22.55,22.03,22.07
2023-10-30,22.36,22.41,21.88,21.99
2023-10-31,21.96,22.05,21.82,22.02
2023-11-01,22.15,22.66,22.13,22.61
2023-11-02,22.83,23.31,22.83,23.25
2023-11-03,23.36,23.74,23.36,23.58
2023-11-06,23.63,23.71,23.47,23.55
2023-11-07,23.69,23.71,23.44,23.58
2023-11-08,23.58,23.61,23.29,23.34
2023-11-09,23.45,23.61,23.15,23.2
2023-11-10,23.35,23.6,23.3,23.6
2023-11-13,23.4,23.59,23.36,23.5
2023-11-14,24.14,24.46,24.1,24.41
2023-11-15,24.48,24.59,24.31,24.48
2023-11-16,24.45,24.52,24.18,24.4
2023-11-17,24.37,24.63,24.34,24.49
2023-11-20,24.73,24.97,24.64,24.88
2023-11-21,24.81,24.81,24.57,24.63
2023-11-22,24.78,24.78,24.53,24.64
2023-11-24,24.71,24.81,24.6,24.62
2023-11-27,24.62,24.69,24.4,24.47
2023-11-28,24.49,24.85,24.49,24.75
2023-11-29,24.71,24.77,24.58,24.58
2023-11-30,24.65,24.86,24.43,24.85
2023-12-01,24.88,25.28,24.76,25.21
2023-12-04,24.99,25.04,24.59,24.66
2023-12-05,24.63,24.83,24.47,24.75
2023-12-06,24.98,25.0,24.65,24.65
2023-12-07,24.78,24.84,24.62,24.72
2023-12-08,24.67,24.99,24.65,24.92
2023-12-11,24.77,24.83,24.69,24.81
2023-12-12,24.77,24.77,24.55,24.7
2023-12-13,24.79,25.47,24.65,25.4
2023-12-14,25.69,26.0,25.64,25.94
2023-12-15,25.97,25.97,25.68,25.75
2023-12-18,25.87,26.15,25.8,26.12
2023-12-19,26.36,26.5,26.28,26.36
2023-12-20,26.26,26.33,25.82,25.84
2023-12-21,26.23,26.35,26.09,26.28
2023-12-22,26.45,26.53,26.36,26.41
2023-12-26,26.64,26.83,26.58,26.75
2023-12-27,26.81,26.85,26.73,26.82
2023-12-28,26.74,26.85,26.65,26.68
2023-12-29,26.75,26.75,26.51,26.57
2024-01-02,26.35,26.52,26.1,26.2
2024-01-03,26.15,26.28,26.06,26.09
2024-01-04,25.9,26.07,25.85,25.89
2024-01-05,26.04,26.31,26.02,26.23
2024-01-08,26.12,26.31,26.09,26.28
2024-01-09,26.08,26.08,25.8,25.81
2024-01-10,25.81,25.86,25.71,25.79
2024-01-11,25.94,25.99,25.65,25.95
2024-01-12,26.18,26.28,26.04,26.06
2024-01-16,25.77,25.84,25.45,25.47
2024-01-17,25.21,25.34,25.16,25.25
2024-01-18,25.23,25.27,25.08,25.24
2024-01-19,25.21,25.41,25.12,25.37
2024-01-22,25.24,25.35,24.82,24.93
2024-01-23,24.97,25.29,24.97,25.27
2024-01-24,25.7,25.7,25.28,25.29
2024-01-25,25.45,25.56,25.3,25.55
2024-01-26,25.55,25.87,25.55,25.77
2024-01-29,25.77,25.77,25.48,25.66
2024-01-30,25.41,25.59,25.3,25.56
2024-01-31,25.62,25.88,25.43,25.45
2024-02-01,25.66,25.94,25.63,25.91
2024-02-02,25.59,25.7,25.51,25.66
2024-02-05,25.54,25.67,25.25,25.53
2024-02-06,25.86,26.17,25.81,26.13
2024-02-07,25.99,26.1,25.89,26.06
2024-02-08,25.99,25.99,25.55,25.58
2024-02-09,25.67,25.76,25.56,25.66
2024-02-12,25.58,25.97,25.58,25.83
2024-02-13,25.58,25.6,25.14,25.28
2024-02-14,25.54,25.73,25.5,25.58
2024-02-15,25.61,25.83,25.6,25.8
2024-02-16,25.82,26.02,25.76,25.94
2024-02-20,26.2,26.2,26.01,26.12
2024-02-21,26.15,26.17,25.98,26.1
2024-02-22,26.21,26.21,25.99,26.02
2024-02-23,25.86,25.96,25.67,25.75
2024-02-26,25.77,25.85,25.68,25.8
2024-02-27,26.09,26.31,26.0,26.26
2024-02-28,25.99,26.16,25.71,25.77
2024-02-29,25.69,25.8,25.64,25.68
2024-03-01,25.84,25.99,25.65,25.86
2024-03-04,25.83,25.83,25.67,25.72
2024-03-05,25.68,25.73,25.55,25.58
2024-03-06,25.85,25.93,25.75,25.83
2024-03-07,25.85,25.92,25.78,25.86
2024-03-08,25.37,25.54,25.3,25.32
2024-03-11,25.16,25.46,25.16,25.34
2024-03-12,25.51,25.56,25.34,25.5
2024-03-13,25.5,25.88,25.5,25.77
2024-03-14,25.78,25.83,25.57,25.68
2024-03-15,25.6,25.68,25.46,25.54
2024-03-18,25.7,25.75,25.35,25.53
2024-03-19,25.45,25.54,25.33,25.35
2024-03-20,25.45,26.07,25.35,26.04
2024-03-21,26.11,26.11,25.86,25.88
2024-03-22,25.8,25.81,25.6,25.66
2024-03-25,25.66,25.8,25.64,25.68
2024-03-26,25.73,25.82,25.61,25.77
2024-03-27,25.78,25.95,25.66,25.91
2024-03-28,25.86,26.08,25.86,26.0
2024-04-01,26.04,26.08,25.56,25.67
2024-04-02,25.77,25.92,25.69,25.86
2024-04-03,25.71,26.04,25.59,25.88
2024-04-04,26.11,26.41,25.79,25.81
2024-04-05,25.9,25.9,25.69,25.85
2024-04-08,25.97,26.31,25.97,26.26
2024-04-09,26.39,26.56,26.26,26.41
2024-04-10,26.05,26.13,25.77,25.84
2024-04-11,25.86,25.89,25.68,25.79
2024-04-12,25.6,25.69,25.19,25.28
2024-04-15,25.23,25.25,24.86,24.91
2024-04-16,24.47,24.64,24.32,24.41
2024-04-17,24.6,24.77,24.33,24.51
2024-04-18,24.6,24.74,24.3,24.46
2024-04-19,24.49,24.81,24.46,24.75
2024-04-22,24.68,24.98,24.6,24.96
2024-04-23,24.8,25.25,24.8,25.13
2024-04-24,25.12,25.12,24.8,24.97
2024-04-25,24.58,24.97,24.57,24.92
2024-04-26,25.14,25.47,25.14,25.38
2024-04-29,25.51,25.65,25.49,25.62
2024-04-30,25.43,25.45,25.03,25.03
2024-05-01,25.16,25.42,24.92,25.1
2024-05-02,25.52,25.56,25.36,25.45
2024-05-03,25.91,25.92,25.69,25.84
2024-05-06,25.82,26.06,25.82,26.02
2024-05-07,26.05,26.23,26.05,26.16
2024-05-08,25.88,26.17,25.88,26.15
2024-05-09,25.82,26.15,25.73,26.09
2024-05-10,26.24,26.33,25.99,25.99
2024-05-13,26.18,26.32,25.97,26.02
2024-05-14,26.0,26.11,25.99,26.05
2024-05-15,25.91,26.12,25.74,26.0
