date,open,high,low,close
2023-10-09,418.08,423.28,417.57,422.72
2023-10-10,423.42,427.53,422.97,424.93
2023-10-11,425.99,426.89,423.58,426.73
2023-10-12,427.31,427.65,421.71,424.17
2023-10-13,425.53,426.78,420.36,421.94
2023-10-16,424.21,427.46,424.0,426.33
2023-10-17,423.22,428.4,422.9,426.46
2023-10-18,424.6,425.52,419.57,420.87
2023-10-19,421.39,423.24,416.3,417.05
2023-10-20,416.56,417.04,411.75,411.92
2023-10-23,410.3,415.05,408.54,411.2
2023-10-24,413.25,415.36,411.41,414.3
2023-10-25,412.55,412.63,407.77,408.41
2023-10-26,407.23,408.06,402.48,403.48
2023-10-27,405.0,405.39,400.14,401.63
2023-10-30,404.37,407.43,403.08,406.4
2023-10-31,406.96,409.23,405.06,408.83
2023-11-01,409.94,414.11,409.35,413.29
2023-11-02,417.15,421.38,417.14,421.26
2023-11-03,423.55,426.64,423.44,425.03
2023-11-06,425.85,426.45,424.1,426.06
2023-11-07,426.07,427.91,424.92,427.19
2023-11-08,427.87,428.39,425.26,427.54
2023-11-09,428.79,428.79,423.85,424.31
2023-11-10,426.38,431.2,424.85,430.95
2023-11-13,429.53,431.6,428.75,430.46
2023-11-14,436.46,440.13,436.25,438.9
2023-11-15,440.18,441.42,438.92,439.78
2023-11-16,439.36,440.57,438.27,440.33
2023-11-17,440.49,441.48,439.41,440.8
2023-11-20,440.63,445.11,440.6,444.34
2023-11-21,443.18,443.65,442.04,443.32
2023-11-22,444.98,446.35,443.9,445.0
2023-11-24,445.08,445.48,444.72,445.33
2023-11-27,444.69,445.48,444.1,444.51
2023-11-28,444.11,446.24,443.53,444.89
2023-11-29,447.1,448.21,444.21,444.68
2023-11-30,445.46,446.7,443.36,446.29
2023-12-01,445.74,449.54,445.19,448.93
2023-12-04,445.57,446.9,444.37,446.71
2023-12-05,445.29,447.52,444.89,446.61
2023-12-06,448.75,448.78,444.37,444.76
2023-12-07,446.85,448.8,446.33,448.18
2023-12-08,447.45,450.62,447.19,450.11
2023-12-11,449.6,452.04,449.4,451.87
2023-12-12,451.51,454.1,450.5,454.1
2023-12-13,454.29,460.47,453.96,460.33
2023-12-14,462.17,463.37,459.0,461.77
2023-12-15,461.07,462.18,460.05,460.99
2023-12-18,462.54,464.51,462.42,463.55
2023-12-19,464.1,466.4,464.02,466.22
2023-12-20,465.52,467.38,459.45,459.54
2023-12-21,462.87,464.49,460.43,464.21
2023-12-22,465.37,466.87,463.26,465.1
2023-12-26,465.58,468.02,465.5,467.1
2023-12-27,467.01,468.11,466.41,467.99
2023-12-28,468.35,468.98,467.74,468.2
2023-12-29,467.94,468.46,464.82,466.87
2024-01-02,463.71,465.15,462.05,464.19
2024-01-03,462.01,462.74,459.78,460.39
2024-01-04,459.91,462.53,458.69,458.98
2024-01-05,459.11,462.01,458.09,459.52
2024-01-08,460.01,466.23,459.94,465.85
2024-01-09,463.45,466.42,462.93,465.41
2024-01-10,465.65,468.88,465.41,468.02
2024-01-11,469.03,469.52,463.81,467.76
2024-01-12,469.33,470.01,466.74,468.17
2024-01-16,466.75,468.07,464.61,466.54
2024-01-17,463.38,464.33,461.47,463.92
2024-01-18,465.5,468.5,463.98,467.9
2024-01-19,469.11,474.09,468.44,473.76
2024-01-22,475.41,476.55,474.19,474.78
2024-01-23,475.33,476.42,474.25,476.26
2024-01-24,479.12,480.03,476.36,476.62
2024-01-25,478.9,479.56,476.74,479.28
2024-01-26,478.88,480.37,477.86,478.78
2024-01-29,479.01,482.64,478.47,482.54
2024-01-30,481.77,482.85,481.35,482.18
2024-01-31,479.89,480.36,474.25,474.26
2024-02-01,475.97,480.56,475.2,480.56
2024-02-02,480.97,487.2,480.57,485.52
2024-02-05,484.88,485.36,481.49,483.89
2024-02-06,484.68,485.49,483.27,485.2
2024-02-07,487.47,489.65,486.58,489.14
2024-02-08,489.24,489.8,488.39,489.46
2024-02-09,489.91,492.71,489.62,492.3
2024-02-12,492.21,494.52,491.32,492.04
2024-02-13,485.72,486.99,481.96,485.43
2024-02-14,487.98,490.2,485.59,489.76
2024-02-15,490.42,493.26,489.91,492.98
2024-02-16,492.78,493.9,489.89,490.64
2024-02-20,488.83,489.56,485.65,487.91
2024-02-21,486.58,488.52,484.76,488.35
2024-02-22,495.04,499.42,494.08,498.55
2024-02-23,500.21,501.08,498.09,498.84
2024-02-26,499.25,499.7,496.88,496.96
2024-02-27,497.68,498.14,495.78,497.84
2024-02-28,496.37,497.82,495.98,497.22
2024-02-29,499.03,500.67,496.37,498.95
2024-03-01,499.92,504.18,499.55,503.77
2024-03-04,502.92,505.07,502.91,503.18
2024-03-05,501.19,501.6,495.92,498.1
2024-03-06,501.52,502.98,499.41,500.79
2024-03-07,504.01,506.75,503.1,505.77
2024-03-08,506.32,509.04,502.07,502.7
2024-03-11,501.42,502.77,499.49,502.45
2024-03-12,504.38,508.2,501.8,507.69
2024-03-13,507.93,508.12,505.39,506.88
2024-03-14,507.8,507.97,502.73,505.78
2024-03-15,502.74,504.18,500.88,501.66
2024-03-18,506.48,507.94,504.69,505.2
2024-03-19,504.62,508.42,503.66,508.12
2024-03-20,508.21,512.99,507.52,512.85
2024-03-21,515.74,516.43,514.27,514.43
2024-03-22,514.47,514.97,513.35,513.74
2024-03-25,512.16,513.31,512.01,512.13
2024-03-26,513.57,513.95,510.83,511.06
2024-03-27,514.07,515.56,511.88,515.51
2024-03-28,515.56,516.92,515.14,515.52
2024-04-01,516.13,516.72,513.37,514.68
2024-04-02,510.66,511.39,508.96,511.32
2024-04-03,510.15,513.34,510.1,511.89
2024-04-04,515.91,516.21,505.26,505.59
2024-04-05,506.95,512.84,506.52,510.87
2024-04-08,511.57,512.59,510.32,511.01
2024-04-09,512.88,513.12,506.84,511.64
2024-04-10,506.0,508.61,504.61,506.68
2024-04-11,508.13,511.88,504.6,510.48
2024-04-12,506.89,508.28,501.66,503.34
2024-04-15,507.64,507.75,496.22,497.1
2024-04-16,497.5,499.1,494.88,496.15
2024-04-17,498.69,498.79,491.84,493.27
2024-04-18,494.64,496.74,491.27,492.13
2024-04-19,492.11,493.12,486.66,487.87
2024-04-22,490.61,495.02,488.18,492.37
2024-04-23,494.42,498.67,493.9,498.3
2024-04-24,499.14,499.95,495.82,498.1
2024-04-25,491.87,496.91,490.24,495.99
2024-04-26,498.97,502.44,498.34,500.85
2024-04-29,502.63,503.3,499.86,502.63
2024-04-30,501.08,502.11,494.64,494.64
2024-05-01,494.04,500.77,492.59,493.09
2024-05-02,496.77,498.49,492.22,497.6
2024-05-03,503.68,505.03,501.14,503.86
2024-05-06,506.26,509.1,505.83,509.1
2024-05-07,510.02,511.0,508.93,509.76
2024-05-08,507.74,510.17,507.67,509.71
2024-05-09,509.84,512.63,509.19,512.51
2024-05-10,514.22,515.05,512.04,513.22
2024-05-13,514.95,515.07,512.23,513.4
2024-05-14,513.53,516.2,513.01,515.74
2024-05-15,518.2,522.39,517.57,522.14
2024-05-16,522.18,523.8,520.85,520.91
2024-05-17,521.14,521.83,519.65,521.79
2024-05-20,521.9,523.86,521.49,522.4
2024-05-21,521.59,523.8,521.43,523.68
2024-05-22,522.94,523.65,519.99,522.19
2024-05-23,525.22,525.33,517.13,518.37
2024-05-24,520.19,522.58,519.25,521.81
2024-05-28,522.55,522.8,519.5,522.21
2024-05-29,518.02,519.66,517.75,518.48
2024-05-30,516.87,517.58,513.75,515.12
2024-05-31,516.0,519.89,510.84,519.67
2024-06-03,521.38,521.5,515.05,519.99
2024-06-04,518.84,521.49,517.36,520.75
2024-06-05,523.05,526.99,521.1,526.99
2024-06-06,527.29,527.64,524.98,526.97
2024-06-07,525.9,529.14,524.84,526.3
2024-06-10,525.46,528.23,524.88,527.87
2024-06-11,526.34,529.27,524.32,529.18
2024-06-12,533.83,536.24,532.54,533.59
2024-06-13,535.31,535.5,531.84,534.71
2024-06-14,533.13,534.99,532.09,534.9
2024-06-17,534.26,540.53,533.81,539.27
2024-06-18,539.32,540.71,538.88,540.58
2024-06-20,541.56,542.2,537.4,538.91
2024-06-21,538.32,539.53,537.0,537.99
2024-06-24,538.24,540.82,536.58,536.62
2024-06-25,537.89,539.11,536.46,538.65
2024-06-26,537.62,540.12,537.01,539.48
2024-06-27,539.22,540.8,538.55,540.27
2024-06-28,541.07,544.13,536.87,538.21
2024-07-01,539.54,539.78,536.57,539.37
2024-07-02,537.66,542.84,537.59,542.81
2024-07-03,542.52,545.67,542.52,545.19
2024-07-05,545.61,548.86,545.07,548.57
2024-07-08,549.25,550.04,548.02,549.21
2024-07-09,550.03,550.9,549.33,549.72
2024-07-10,550.82,555.4,550.56,554.95
2024-07-11,555.16,556.04,549.62,550.24
2024-07-12,551.39,557.39,551.07,553.76
2024-07-15,555.78,558.52,553.42,555.3
2024-07-16,556.57,558.87,555.85,558.6
2024-07-17,552.54,554.22,550.42,550.8
2024-07-18,552.27,553.29,544.36,546.44
2024-07-19,546.26,547.83,541.83,542.88
2024-07-22,546.87,549.08,544.91,548.52
2024-07-23,548.37,550.5,547.11,547.6
2024-07-24,542.73,543.04,534.31,535.24
2024-07-25,535.35,541.36,531.47,532.42
2024-07-26,536.21,541.08,535.47,538.37
2024-07-29,539.9,540.95,536.7,538.74
2024-07-30,540.18,541.2,532.54,535.84
2024-07-31,542.79,547.23,541.49,544.2
2024-08-01,546.41,548.63,533.41,537.05
2024-08-02,529.78,530.96,522.7,526.94
2024-08-05,505.95,517.71,504.56,511.61
2024-08-06,513.34,523.81,512.18,516.47
2024-08-07,522.56,525.65,512.28,512.89
2024-08-08,518.04,525.34,516.05,524.78
2024-08-09,523.86,528.49,522.68,527.02
2024-08-12,528.29,529.75,525.1,527.27
2024-08-13,530.63,536.26,530.42,536.05
2024-08-14,536.82,538.89,534.21,537.8
2024-08-15,543.45,547.22,542.82,547.0
2024-08-16,545.31,548.85,545.14,548.24
2024-08-19,548.6,553.37,547.76,553.34
2024-08-20,552.95,554.64,551.15,552.51
2024-08-21,553.55,555.86,551.81,554.66
2024-08-22,556.35,556.96,548.85,549.97
2024-08-23,553.37,556.87,551.12,555.91
2024-08-26,556.94,557.67,552.88,554.34
2024-08-27,553.3,555.83,552.22,555.35
2024-08-28,554.98,555.45,548.88,552.11
2024-08-29,554.14,557.45,551.04,552.2
2024-08-30,554.59,557.98,550.99,557.41
2024-09-03,554.24,554.58,543.44,546.11
2024-09-04,544.15,548.24,543.38,544.97
2024-09-05,544.83,547.59,541.04,543.45
2024-09-06,543.82,545.42,533.47,534.41
2024-09-09,538.62,541.62,536.69,540.41
2024-09-10,542.3,543.06,537.41,542.41
2024-09-11,542.61,549.21,533.96,548.26
2024-09-12,548.83,553.17,546.69,552.9
2024-09-13,553.5,556.83,553.29,555.74
2024-09-16,555.56,556.93,553.75,556.66
2024-09-17,558.89,560.3,554.67,556.87
2024-09-18,557.61,562.42,554.66,555.21
2024-09-19,564.76,566.6,561.9,564.73
2024-09-20,563.34,564.75,560.71,563.55
2024-09-23,564.84,565.8,563.61,565.11
2024-09-24,565.96,566.85,563.16,566.75
2024-09-25,566.62,567.38,564.46,565.41
2024-09-26,569.86,570.16,565.38,567.83
2024-09-27,568.86,569.62,565.9,566.81
2024-09-30,565.89,569.89,563.66,569.52
2024-10-01,568.82,568.92,561.56,564.14
2024-10-02,563.22,565.37,560.78,564.37
2024-10-03,562.91,565.28,561.04,563.29
2024-10-04,567.78,568.83,563.7,568.41
2024-10-07,566.77,567.31,562.13,563.31
2024-10-08,565.86,569.21,565.02,568.65
2024-10-09,568.65,573.13,568.05,572.51
2024-10-10,571.21,572.99,569.97,571.51
2024-10-11,571.45,575.71,571.4,574.98
2024-10-14,576.61,580.61,576.29,579.72
2024-10-15,579.98,580.23,574.04,575.12
2024-10-16,575.2,578.23,574.41,577.68
2024-10-17,581.34,581.48,577.58,577.84
2024-10-18,579.47,580.78,578.04,580.03
2024-10-21,579.25,580.24,576.06,579.17
2024-10-22,576.47,579.86,575.91,578.71
2024-10-23,576.64,577.08,569.93,573.44
2024-10-24,575.41,575.46,572.08,574.67
2024-10-25,576.99,579.87,573.56,574.54
2024-10-28,577.96,578.03,575.98,576.27
2024-10-29,575.27,578.3,573.92,577.15
2024-10-30,576.75,578.72,574.79,575.3
2024-10-31,571.02,571.1,563.95,564.01
2024-11-01,566.81,570.99,566.13,566.46
2024-11-04,566.68,567.98,563.42,565.33
2024-11-05,566.3,572.18,566.11,572.16
2024-11-06,584.58,587.27,580.86,586.37
2024-11-07,588.4,591.95,588.38,590.94
