date,open,high,low,close
2023-10-09,35.12,35.16,34.85,35.16
2023-10-10,35.36,35.53,35.36,35.47
2023-10-11,35.14,35.17,34.79,34.87
2023-10-12,35.07,35.1,34.8,34.85
2023-10-13,34.96,34.96,34.37,34.42
2023-10-16,35.09,35.42,35.07,35.37
2023-10-17,35.53,35.87,35.51,35.74
2023-10-18,35.52,35.54,35.24,35.33
2023-10-19,35.34,35.46,35.16,35.19
2023-10-20,35.07,35.16,34.8,34.87
2023-10-23,34.16,34.58,33.96,34.1
2023-10-24,34.48,34.7,34.48,34.62
2023-10-25,35.07,35.09,34.84,34.88
2023-10-26,34.59,34.63,34.43,34.55
2023-10-27,34.57,34.65,34.05,34.1
2023-10-30,35.02,35.18,34.86,34.94
2023-10-31,35.51,35.54,35.2,35.53
2023-11-01,35.94,36.34,35.9,36.2
2023-11-02,36.28,36.58,36.28,36.45
2023-11-03,36.67,36.86,36.52,36.78
2023-11-06,36.66,36.97,36.66,36.78
2023-11-07,36.85,36.9,36.62,36.88
2023-11-08,36.61,36.67,36.55,36.58
2023-11-09,36.37,36.37,36.13,36.13
2023-11-10,36.19,36.35,36.04,36.35
2023-11-13,35.97,36.3,35.96,36.1
2023-11-14,36.41,36.75,36.34,36.69
2023-11-15,36.92,37.16,36.92,37.14
2023-11-16,37.18,37.22,37.01,37.04
2023-11-17,37.16,37.29,37.08,37.23
2023-11-20,37.71,37.71,37.25,37.39
2023-11-21,37.27,37.37,37.18,37.33
2023-11-22,37.32,37.32,37.0,37.12
2023-11-24,37.03,37.05,36.78,36.99
2023-11-27,36.96,37.11,36.95,37.04
2023-11-28,37.01,37.17,36.97,37.12
2023-11-29,37.05,37.18,36.95,36.98
2023-11-30,37.16,37.3,37.1,37.14
2023-12-01,37.12,37.36,37.07,37.2
2023-12-04,37.33,37.44,37.26,37.38
2023-12-05,37.38,37.38,37.17,37.21
2023-12-06,37.28,37.38,37.1,37.11
2023-12-07,37.43,37.53,37.42,37.5
2023-12-08,37.44,37.59,37.38,37.56
2023-12-11,37.92,38.24,37.92,38.21
2023-12-12,37.93,38.08,37.91,38.03
2023-12-13,38.06,38.33,37.92,38.3
2023-12-14,38.67,39.0,38.56,38.84
2023-12-15,38.92,39.02,38.83,38.84
2023-12-18,39.11,39.34,39.11,39.23
2023-12-19,39.31,39.46,39.26,39.43
2023-12-20,39.12,39.3,38.87,38.88
2023-12-21,38.91,39.08,38.91,39.04
2023-12-22,39.07,39.16,39.05,39.1
2023-12-26,39.95,40.15,39.89,40.08
2023-12-27,39.96,40.29,39.96,40.15
2023-12-28,40.2,40.37,40.17,40.19
2023-12-29,40.0,40.32,40.0,40.22
2024-01-02,40.97,41.07,40.79,40.86
2024-01-03,40.3,40.35,39.89,39.97
2024-01-04,40.82,40.86,40.65,40.69
2024-01-05,40.73,40.94,40.71,40.85
2024-01-08,41.05,41.44,41.05,41.42
2024-01-09,41.09,41.09,40.73,40.79
2024-01-10,40.69,40.71,40.48,40.58
2024-01-11,40.65,40.65,40.4,40.52
2024-01-12,40.66,40.76,40.53,40.63
2024-01-16,40.58,40.58,40.24,40.28
2024-01-17,40.31,40.47,40.23,40.42
2024-01-18,40.1,40.13,39.92,40.03
2024-01-19,40.13,40.21,39.95,40.18
2024-01-22,40.63,40.79,40.61,40.7
2024-01-23,40.65,40.8,40.64,40.78
2024-01-24,40.95,41.04,40.79,40.79
2024-01-25,40.92,41.04,40.81,41.03
2024-01-26,40.95,41.12,40.91,40.97
2024-01-29,41.25,41.38,41.16,41.33
2024-01-30,40.39,40.61,40.23,40.46
2024-01-31,39.79,39.8,39.51,39.57
2024-02-01,39.98,40.14,39.91,40.08
2024-02-02,40.06,40.08,39.86,39.98
2024-02-05,40.46,40.67,40.43,40.52
2024-02-06,40.77,40.81,40.65,40.76
2024-02-07,41.02,41.17,41.02,41.12
2024-02-08,41.19,41.26,40.84,40.96
2024-02-09,40.92,41.18,40.9,41.1
2024-02-12,41.44,41.76,41.41,41.65
2024-02-13,41.65,41.76,41.28,41.55
2024-02-14,41.84,41.92,41.78,41.85
2024-02-15,41.92,42.3,41.92,42.26
2024-02-16,42.35,42.51,42.19,42.34
2024-02-20,42.6,42.61,42.4,42.47
2024-02-21,42.51,42.69,42.26,42.35
2024-02-22,42.43,42.51,42.35,42.46
2024-02-23,42.5,42.6,42.46,42.58
2024-02-26,42.3,42.36,42.18,42.35
2024-02-27,42.35,42.42,42.29,42.33
2024-02-28,42.21,42.37,42.11,42.34
2024-02-29,42.38,42.38,42.14,42.26
2024-03-01,42.35,42.66,42.29,42.58
2024-03-04,41.83,41.83,41.64,41.75
2024-03-05,41.76,41.79,41.43,41.53
2024-03-06,42.07,42.12,41.95,42.01
2024-03-07,42.08,42.16,42.02,42.11
2024-03-08,42.16,42.23,42.01,42.08
2024-03-11,41.99,42.07,41.88,42.04
2024-03-12,42.22,42.26,42.01,42.21
2024-03-13,42.37,42.46,42.33,42.43
2024-03-14,42.43,42.49,42.15,42.23
2024-03-15,42.28,42.29,42.15,42.27
2024-03-18,42.47,42.59,42.37,42.53
2024-03-19,42.56,42.66,42.46,42.57
2024-03-20,42.29,42.39,42.18,42.37
2024-03-21,42.64,42.76,42.6,42.65
2024-03-22,42.74,42.74,42.6,42.63
2024-03-25,42.24,42.32,42.18,42.24
2024-03-26,41.92,41.95,41.8,41.82
2024-03-27,41.98,42.01,41.84,41.96
2024-03-28,41.93,42.04,41.91,41.96
2024-04-01,41.41,41.57,41.23,41.27
2024-04-02,41.49,41.63,41.47,41.54
2024-04-03,41.97,42.23,41.97,42.16
2024-04-04,42.39,42.66,42.18,42.19
2024-04-05,42.33,42.57,42.29,42.52
2024-04-08,42.57,42.72,42.57,42.68
2024-04-09,42.71,42.85,42.57,42.8
2024-04-10,42.64,42.72,42.4,42.69
2024-04-11,42.71,42.76,42.53,42.74
2024-04-12,42.6,42.6,41.6,41.79
2024-04-15,42.38,42.38,41.85,41.89
2024-04-16,41.47,41.47,41.25,41.36
2024-04-17,41.3,41.32,40.93,40.95
2024-04-18,41.34,41.42,41.18,41.26
2024-04-19,41.06,41.21,40.96,41.05
2024-04-22,41.01,41.31,40.99,41.22
2024-04-23,41.06,41.2,40.94,41.18
2024-04-24,40.75,40.75,40.46,40.56
2024-04-25,40.34,40.39,40.16,40.38
2024-04-26,40.46,40.65,40.43,40.63
2024-04-29,41.04,41.2,41.0,41.1
2024-04-30,41.03,41.03,40.82,40.87
2024-05-01,40.9,41.08,40.8,40.83
2024-05-02,40.96,41.13,40.78,41.08
2024-05-03,41.23,41.42,41.23,41.38
2024-05-06,41.12,41.25,41.11,41.2
2024-05-07,40.95,41.12,40.95,41.07
2024-05-08,41.12,41.28,41.12,41.28
2024-05-09,40.7,40.83,40.64,40.76
2024-05-10,40.96,40.96,40.68,40.74
2024-05-13,40.74,40.77,40.64,40.65
2024-05-14,40.16,40.23,40.08,40.19
2024-05-15,40.12,40.27,39.99,40.26
2024-05-16,40.3,40.34,40.22,40.25
2024-05-17,40.21,40.44,40.21,40.43
2024-05-20,39.89,39.98,39.88,39.93
2024-05-21,40.02,40.06,39.96,40.0
2024-05-22,39.98,40.15,39.92,39.98
2024-05-23,39.52,39.67,39.06,39.18
2024-05-24,39.19,39.29,39.13,39.2
2024-05-28,38.41,38.45,38.16,38.27
2024-05-29,38.58,38.71,38.32,38.34
2024-05-30,38.03,38.15,37.97,37.99
2024-05-31,38.12,38.16,37.79,38.11
2024-06-03,39.13,39.28,38.61,38.77
2024-06-04,38.56,38.56,38.27,38.37
2024-06-05,38.35,38.56,38.25,38.53
2024-06-06,38.43,38.52,38.35,38.5
2024-06-07,38.49,38.59,38.27,38.3
2024-06-10,39.45,39.57,39.32,39.46
2024-06-11,39.3,39.35,39.16,39.35
2024-06-12,38.98,39.09,38.85,38.9
2024-06-13,38.6,38.73,38.44,38.68
2024-06-14,38.66,38.91,38.52,38.77
2024-06-17,38.89,39.21,38.74,39.15
2024-06-18,39.19,39.88,39.19,39.78
2024-06-20,39.68,39.77,39.49,39.57
2024-06-21,39.63,39.8,39.48,39.54
2024-06-24,39.12,39.45,39.12,39.3
2024-06-25,39.23,39.31,38.95,39.07
2024-06-26,38.95,38.98,38.82,38.89
2024-06-27,39.3,39.34,39.16,39.29
2024-06-28,39.37,39.42,39.12,39.17
2024-07-01,39.04,39.07,38.91,39.0
2024-07-02,38.75,38.94,38.74,38.87
2024-07-03,38.7,38.93,38.7,38.9
2024-07-05,38.9,38.99,38.86,38.95
2024-07-08,39.11,39.34,39.06,39.16
2024-07-09,39.39,39.52,39.28,39.45
2024-07-10,39.41,39.53,39.36,39.48
2024-07-11,39.54,39.59,39.46,39.56
2024-07-12,39.69,39.91,39.68,39.79
2024-07-15,40.15,40.3,40.03,40.09
2024-07-16,40.48,40.66,40.43,40.57
2024-07-17,40.66,40.76,40.62,40.67
2024-07-18,40.85,40.91,40.64,40.69
2024-07-19,40.68,40.71,40.51,40.54
2024-07-22,40.79,40.8,40.61,40.74
2024-07-23,40.39,40.55,40.27,40.39
2024-07-24,40.47,40.47,40.17,40.2
2024-07-25,40.19,40.29,40.03,40.13
2024-07-26,40.14,40.31,40.12,40.22
2024-07-29,40.54,40.55,40.35,40.5
2024-07-30,40.46,40.52,40.33,40.37
2024-07-31,40.5,40.66,40.46,40.6
2024-08-01,40.2,40.3,39.76,39.9
2024-08-02,39.65,39.66,39.42,39.62
2024-08-05,38.05,38.67,37.97,38.53
2024-08-06,38.76,39.03,38.62,38.82
2024-08-07,38.92,39.05,38.73,38.74
2024-08-08,38.85,39.04,38.82,38.93
2024-08-09,39.08,39.14,38.98,39.12
2024-08-12,39.22,39.31,39.15,39.28
2024-08-13,39.49,39.56,39.4,39.52
2024-08-14,39.64,39.71,39.6,39.66
2024-08-15,39.89,40.16,39.89,40.05
2024-08-16,40.12,40.24,40.08,40.09
2024-08-19,40.12,40.25,40.12,40.15
2024-08-20,40.39,40.51,40.29,40.33
2024-08-21,40.75,41.02,40.66,40.94
2024-08-22,40.84,40.98,40.77,40.82
2024-08-23,40.92,41.15,40.92,41.11
2024-08-26,41.29,41.37,41.15,41.21
2024-08-27,40.96,41.1,40.88,41.07
2024-08-28,40.74,40.9,40.68,40.83
2024-08-29,40.73,40.93,40.68,40.84
2024-08-30,40.85,40.93,40.77,40.86
2024-09-03,40.88,40.88,40.52,40.62
2024-09-04,40.66,40.9,40.65,40.66
2024-09-05,40.59,40.71,40.59,40.64
2024-09-06,40.64,40.67,40.24,40.27
2024-09-09,40.18,40.42,40.14,40.33
2024-09-10,40.32,40.32,40.04,40.13
2024-09-11,39.45,39.72,39.35,39.69
2024-09-12,39.7,39.85,39.57,39.74
2024-09-13,39.81,39.88,39.74,39.78
2024-09-16,39.69,39.78,39.65,39.78
2024-09-17,39.69,40.04,39.69,39.89
2024-09-18,39.99,40.32,39.98,40.13
2024-09-19,40.73,40.84,40.61,40.81
2024-09-20,40.83,40.85,40.71,40.81
2024-09-23,40.97,41.16,40.93,41.07
2024-09-24,41.45,41.75,41.3,41.64
2024-09-25,41.65,41.67,41.52,41.55
2024-09-26,41.77,41.87,41.68,41.78
2024-09-27,41.77,41.81,41.71,41.76
2024-09-30,41.14,41.2,41.02,41.18
2024-10-01,41.2,41.29,40.54,40.61
2024-10-02,40.49,40.51,40.32,40.39
2024-10-03,40.08,40.2,39.82,39.89
2024-10-04,40.01,40.01,39.8,39.91
2024-10-07,39.95,40.0,39.64,39.78
2024-10-08,40.38,40.38,40.19,40.33
2024-10-09,40.0,40.12,39.94,40.08
2024-10-10,40.19,40.32,40.07,40.13
2024-10-11,40.24,40.39,40.17,40.36
2024-10-14,40.12,40.32,40.12,40.31
2024-10-15,40.34,40.47,40.29,40.34
2024-10-16,40.49,40.62,40.46,40.52
2024-10-17,40.08,40.16,40.02,40.12
2024-10-18,40.32,40.32,40.16,40.16
2024-10-21,40.49,40.67,40.49,40.56
2024-10-22,40.36,40.38,40.23,40.29
2024-10-23,40.17,40.22,40.05,40.16
2024-10-24,40.11,40.14,39.97,40.12
2024-10-25,40.16,40.23,40.0,40.03
2024-10-28,40.69,40.83,40.66,40.69
2024-10-29,40.66,40.84,40.5,40.7
2024-10-30,40.51,40.78,40.51,40.6
2024-10-31,40.52,40.55,40.34,40.44
2024-11-01,40.5,40.63,40.48,40.52
2024-11-04,40.52,40.62,40.47,40.53
2024-11-05,40.39,40.48,40.35,40.41
2024-11-06,40.65,40.72,40.41,40.56
2024-11-07,40.63,40.79,40.63,40.76
2024-11-08,40.67,40.82,40.58,40.68
2024-11-11,40.65,40.72,40.6,40.67
2024-11-12,40.52,40.6,40.39,40.46
2024-11-13,40.11,40.13,39.88,39.94
2024-11-14,39.62,39.67,39.48,39.52
2024-11-15,39.42,39.54,39.25,39.29
2024-11-18,39.79,40.01,39.75,39.99
2024-11-19,39.89,40.15,39.89,40.03
2024-11-20,39.87,39.99,39.77,39.99
2024-11-21,39.85,40.07,39.74,39.98
2024-11-22,39.97,40.14,39.97,40.11
2024-11-25,39.75,39.85,39.05,39.74
2024-11-26,39.62,39.62,39.36,39.46
2024-11-27,39.05,39.17,38.84,38.89
2024-11-29,39.31,39.59,39.2,39.59
2024-12-02,39.52,39.56,39.33,39.55
2024-12-03,39.72,39.85,39.66,39.78
2024-12-04,40.01,40.01,39.85,39.85
2024-12-05,40.08,40.34,40.08,40.25
2024-12-06,40.17,40.28,40.05,40.14
2024-12-09,40.75,40.97,40.73,40.83
2024-12-10,40.97,41.04,40.88,40.93
2024-12-11,40.9,40.95,40.76,40.93
2024-12-12,40.62,40.77,40.57,40.77
2024-12-13,40.82,40.82,40.66,40.69
2024-12-16,40.64,40.72,40.57,40.63
2024-12-17,40.08,40.25,40.06,40.19
2024-12-18,40.05,40.19,39.59,39.68
2024-12-19,39.87,39.94,39.6,39.63
2024-12-20,39.57,39.91,39.53,39.88
2024-12-23,40.02,40.12,39.9,40.1
2024-12-24,39.9,40.08,39.89,40.03
2024-12-26,39.88,39.92,39.8,39.87
2024-12-27,39.82,39.82,39.6,39.71
2024-12-30,40.12,40.12,39.85,39.86
2024-12-31,40.21,40.25,40.05,40.14
2025-01-02,40.33,40.41,40.14,40.26
2025-01-03,40.31,40.53,40.28,40.53
2025-01-06,40.46,40.54,40.34,40.43
2025-01-07,40.6,40.6,40.23,40.33
2025-01-08,40.42,40.43,40.19,40.26
2025-01-10,40.33,40.33,40.03,40.14
2025-01-13,40.43,40.66,40.41,40.57
2025-01-14,40.71,40.72,40.46,40.62
2025-01-15,41.09,41.19,40.97,41.13
2025-01-16,41.11,41.11,40.94,41.06
2025-01-17,41.06,41.25,41.06,41.21
2025-01-21,41.37,41.59,41.37,41.5
2025-01-22,41.36,41.48,41.28,41.29
2025-01-23,41.31,41.41,41.24,41.32
2025-01-24,41.42,41.42,41.23,41.32
2025-01-27,41.21,41.45,41.21,41.36
2025-01-28,41.47,41.78,41.45,41.64
2025-01-29,41.47,41.57,41.36,41.4
2025-01-30,41.57,41.57,41.4,41.55
2025-01-31,41.63,41.68,41.43,41.54
2025-02-03,41.45,41.56,41.27,41.46
2025-02-04,41.59,41.76,41.52,41.67
2025-02-05,41.55,41.57,41.46,41.53
2025-02-06,41.58,41.61,41.47,41.51
2025-02-07,41.6,41.66,41.3,41.35
2025-02-10,41.7,41.76,41.63,41.68
2025-02-11,41.52,41.7,41.48,41.6
2025-02-12,41.32,41.53,41.25,41.46
2025-02-13,41.51,41.77,41.46,41.77
2025-02-14,41.82,41.82,41.69,41.77
2025-02-18,41.29,41.53,41.29,41.42
2025-02-19,41.37,41.4,41.26,41.39
2025-02-20,41.62,41.75,41.52,41.71
2025-02-21,41.62,41.71,41.19,41.31
2025-02-24,41.33,41.37,41.24,41.24
2025-02-25,41.27,41.33,41.12,41.23
2025-02-26,40.95,41.1,40.82,40.92
2025-02-27,40.57,40.63,40.36,40.47
2025-02-28,40.33,40.43,40.1,40.43
2025-03-03,40.62,40.75,40.21,40.37
2025-03-04,40.01,40.06,39.71,39.95
2025-03-05,39.86,40.07,39.74,40.05
2025-03-06,39.53,39.79,39.5,39.58
2025-03-07,39.54,39.7,39.26,39.7
2025-03-10,39.45,39.57,39.24,39.36
2025-03-11,39.36,39.48,39.19,39.27
2025-03-12,39.31,39.44,39.22,39.38
2025-03-13,39.38,39.48,39.31,39.34
2025-03-14,39.47,39.83,39.44,39.79
2025-03-17,40.08,40.5,40.07,40.43
2025-03-18,39.88,40.05,39.79,39.9
2025-03-19,39.76,39.78,39.53,39.69
2025-03-20,39.56,39.78,39.51,39.66
2025-03-21,39.67,39.81,39.58,39.65
2025-03-24,39.71,39.85,39.69,39.8
2025-03-25,39.49,39.62,39.49,39.59
2025-03-26,40.38,40.42,40.17,40.17
