date,open,high,low,close
2023-10-09,19.49,19.64,19.49,19.63
2023-10-10,19.6,19.85,19.56,19.72
2023-10-11,19.83,19.83,19.69,19.76
2023-10-12,19.72,19.72,19.51,19.55
2023-10-13,19.59,19.6,19.49,19.56
2023-10-16,19.55,19.57,19.53,19.56
2023-10-17,19.51,19.6,19.43,19.6
2023-10-18,19.51,19.51,19.32,19.32
2023-10-19,19.35,19.43,19.29,19.34
2023-10-20,19.4,19.43,19.39,19.4
2023-10-23,19.42,19.61,19.41,19.6
2023-10-24,19.58,19.58,19.51,19.56
2023-10-25,19.49,19.49,19.37,19.37
2023-10-26,19.41,19.46,19.4,19.46
2023-10-27,19.48,19.52,19.45,19.5
2023-10-30,19.51,19.61,19.51,19.61
2023-10-31,19.58,19.61,19.54,19.55
2023-11-01,19.52,19.69,19.52,19.69
2023-11-02,19.85,19.87,19.79,19.82
2023-11-03,20.03,20.16,20.02,20.12
2023-11-06,20.1,20.1,19.97,20.01
2023-11-07,19.99,20.04,19.95,19.97
2023-11-08,19.98,20.09,19.98,20.09
2023-11-09,20.05,20.06,19.89,19.92
2023-11-10,19.93,19.95,19.86,19.95
2023-11-13,19.93,20.03,19.89,20.03
2023-11-14,20.32,20.51,20.32,20.49
2023-11-15,20.44,20.44,20.33,20.37
2023-11-16,20.4,20.47,20.38,20.38
2023-11-17,20.45,20.54,20.45,20.51
2023-11-20,20.5,20.62,20.5,20.55
2023-11-21,20.61,20.65,20.53,20.59
2023-11-22,20.58,20.58,20.45,20.5
2023-11-24,20.55,20.61,20.53,20.61
2023-11-27,20.64,20.71,20.62,20.71
2023-11-28,20.73,20.85,20.73,20.8
2023-11-29,20.85,20.94,20.85,20.88
2023-11-30,20.81,20.82,20.72,20.72
2023-12-01,20.77,20.94,20.75,20.87
2023-12-04,20.8,20.87,20.76,20.86
2023-12-05,20.86,20.91,20.84,20.89
2023-12-06,20.95,20.95,20.86,20.88
2023-12-07,20.88,20.96,20.85,20.95
2023-12-08,20.81,20.86,20.76,20.84
2023-12-11,20.76,20.82,20.74,20.81
2023-12-12,20.86,20.9,20.81,20.9
2023-12-13,20.96,21.22,20.91,21.15
2023-12-14,21.41,21.53,21.41,21.51
2023-12-15,21.46,21.51,21.41,21.43
2023-12-18,21.48,21.48,21.4,21.42
