date,open,high,low,close
2023-10-09,357.9,362.65,356.4,362.11
2023-10-10,362.45,366.77,361.94,364.11
2023-10-11,365.45,366.91,363.72,366.71
2023-10-12,367.22,369.2,363.04,365.44
2023-10-13,366.06,366.65,359.44,360.84
2023-10-16,362.18,365.98,362.02,364.92
2023-10-17,361.37,365.43,359.24,363.73
2023-10-18,361.22,363.44,357.62,358.96
2023-10-19,360.38,361.58,354.8,355.6
2023-10-20,355.12,355.67,350.07,350.29
2023-10-23,348.97,354.9,346.85,351.35
2023-10-24,353.17,355.54,351.47,354.77
2023-10-25,352.36,352.55,345.5,346.09
2023-10-26,344.88,345.82,338.19,339.49
2023-10-27,342.22,344.6,339.9,341.12
2023-10-30,343.61,346.28,342.24,344.96
2023-10-31,344.99,346.99,342.41,346.61
2023-11-01,347.45,353.19,347.35,352.63
2023-11-02,357.15,359.26,355.93,359.03
2023-11-03,360.32,364.54,360.09,363.25
2023-11-06,364.02,365.29,362.45,364.73
2023-11-07,365.77,369.04,364.56,368.17
2023-11-08,368.55,369.25,366.12,368.41
2023-11-09,369.1,370.25,365.08,365.58
2023-11-10,367.31,373.94,366.77,373.8
2023-11-13,372.21,373.69,370.68,372.63
2023-11-14,379.05,381.57,378.53,380.65
2023-11-15,382.54,383.04,379.56,380.94
2023-11-16,380.17,381.5,378.9,381.26
2023-11-17,380.53,382.37,379.62,381.35
2023-11-20,381.36,386.66,381.35,386.0
2023-11-21,384.29,384.5,382.0,383.75
2023-11-22,385.83,388.3,384.32,385.32
2023-11-24,384.91,385.51,383.78,384.78
2023-11-27,384.28,386.4,383.57,384.44
2023-11-28,383.68,386.04,383.34,385.45
2023-11-29,387.92,389.35,384.73,385.08
2023-11-30,385.36,385.81,381.14,384.11
2023-12-01,383.0,385.8,381.38,385.21
2023-12-04,381.4,381.91,378.01,381.63
2023-12-05,379.71,383.78,379.54,382.59
2023-12-06,385.53,385.63,380.03,380.37
2023-12-07,383.35,386.52,382.26,385.69
2023-12-08,383.95,387.85,383.76,387.41
2023-12-11,386.97,390.98,386.78,390.72
2023-12-12,390.76,393.95,389.62,393.83
2023-12-13,394.78,399.45,393.99,398.84
2023-12-14,400.06,401.37,395.48,398.49
2023-12-15,399.28,401.61,398.67,400.42
2023-12-18,400.81,403.84,400.49,402.94
2023-12-19,403.4,405.12,403.2,405.0
2023-12-20,404.2,406.3,398.8,398.98
2023-12-21,402.92,403.99,400.36,403.62
2023-12-22,404.84,405.8,402.34,404.23
2023-12-26,405.09,407.38,404.99,406.7
2023-12-27,406.99,407.82,406.12,407.53
2023-12-28,408.69,408.94,406.98,407.33
2023-12-29,407.32,407.67,403.65,405.57
2024-01-02,401.92,402.17,396.38,398.71
2024-01-03,396.07,397.13,394.05,394.49
2024-01-04,392.62,395.73,392.24,392.46
2024-01-05,392.62,395.7,391.53,392.92
2024-01-08,394.15,401.33,393.99,401.04
2024-01-09,398.03,402.77,397.83,401.84
2024-01-10,402.15,405.57,401.26,404.56
2024-01-11,405.83,407.24,400.34,405.4
2024-01-12,406.45,407.28,404.21,405.61
2024-01-16,404.37,407.15,402.9,405.57
2024-01-17,402.25,403.66,399.03,403.28
2024-01-18,406.56,409.59,405.21,409.01
2024-01-19,411.21,417.27,410.62,417.12
2024-01-22,419.32,420.63,417.06,417.66
2024-01-23,418.35,419.56,416.51,419.39
2024-01-24,423.32,425.7,421.23,421.72
2024-01-25,424.22,424.9,419.89,422.24
2024-01-26,420.33,422.1,419.07,419.72
2024-01-29,420.19,424.22,419.52,424.02
2024-01-30,422.98,423.55,420.29,421.2
2024-01-31,416.79,418.79,412.77,412.95
2024-02-01,414.75,418.3,413.78,417.81
2024-02-02,419.71,426.09,418.71,424.87
2024-02-05,424.93,425.47,420.9,424.32
2024-02-06,425.44,426.07,421.12,423.46
2024-02-07,426.26,428.65,424.95,427.82
2024-02-08,427.94,429.38,427.26,428.61
2024-02-09,429.75,433.63,428.96,432.83
2024-02-12,432.72,434.9,430.46,431.14
2024-02-13,423.16,427.11,421.23,424.42
2024-02-14,427.1,429.47,424.73,429.04
2024-02-15,429.73,430.78,427.17,430.32
2024-02-16,430.7,430.79,425.7,426.42
2024-02-20,424.41,425.93,419.41,423.2
2024-02-21,420.45,421.59,417.56,421.5
2024-02-22,430.3,434.88,429.53,433.84
2024-02-23,435.41,436.34,431.59,432.57
2024-02-26,433.38,434.37,432.14,432.34
2024-02-27,433.45,433.76,430.82,433.38
2024-02-28,431.24,432.46,430.11,431.07
2024-02-29,434.0,435.84,430.82,434.76
2024-03-01,435.66,442.27,435.6,441.31
2024-03-04,441.31,441.74,439.49,439.74
2024-03-05,436.69,436.7,429.47,431.84
2024-03-06,436.07,437.73,432.67,434.56
2024-03-07,438.12,442.41,436.61,441.15
2024-03-08,441.51,444.31,434.11,434.78
2024-03-11,433.29,434.43,431.24,433.17
2024-03-12,435.5,439.74,432.25,439.38
2024-03-13,438.37,438.4,434.88,436.0
2024-03-14,437.24,437.77,432.18,434.9
2024-03-15,431.87,432.57,428.56,429.73
2024-03-18,435.07,437.36,433.59,433.83
2024-03-19,431.82,435.32,429.72,434.91
2024-03-20,436.11,440.41,434.41,440.07
2024-03-21,445.14,445.59,441.95,442.15
2024-03-22,441.64,443.76,440.78,442.66
2024-03-25,439.85,442.54,438.85,441.05
2024-03-26,442.57,443.5,439.4,439.62
2024-03-27,442.71,442.82,438.25,441.12
2024-03-28,441.08,441.92,439.95,440.31
2024-04-01,441.26,443.8,439.33,441.24
2024-04-02,436.41,437.75,434.38,437.43
2024-04-03,435.3,440.3,435.29,438.41
2024-04-04,442.61,443.22,431.48,431.71
2024-04-05,433.14,439.48,432.33,436.8
2024-04-08,437.74,438.81,435.54,436.93
2024-04-09,439.25,439.54,433.79,438.54
2024-04-10,433.36,435.58,432.64,434.72
2024-04-11,436.58,442.61,434.31,441.66
2024-04-12,437.42,438.55,433.24,434.62
2024-04-15,438.37,438.46,426.62,427.47
2024-04-16,427.3,430.14,426.12,427.51
2024-04-17,429.49,429.51,421.36,422.29
2024-04-18,422.92,424.67,419.3,419.88
2024-04-19,418.7,419.23,409.63,411.19
2024-04-22,413.83,417.67,410.49,415.33
2024-04-23,417.25,422.73,416.91,421.53
2024-04-24,424.63,426.15,420.66,422.95
2024-04-25,415.74,421.77,414.65,420.91
2024-04-26,424.05,428.94,423.36,427.41
2024-04-29,429.51,430.14,426.39,429.14
2024-04-30,427.56,428.95,420.97,421.05
2024-05-01,419.62,426.55,417.15,418.01
2024-05-02,421.74,424.24,417.12,423.34
2024-05-03,430.82,432.84,429.01,431.85
2024-05-06,433.65,436.67,432.88,436.58
2024-05-07,437.03,438.29,435.91,436.65
2024-05-08,434.01,437.8,433.9,436.39
2024-05-09,436.66,437.92,434.8,437.34
2024-05-10,438.83,440.61,436.82,438.37
2024-05-13,440.29,440.39,437.97,439.39
2024-05-14,438.96,442.75,438.77,442.21
2024-05-15,444.69,449.37,443.17,449.12
2024-05-16,448.94,450.9,448.04,448.21
2024-05-17,448.34,448.95,445.78,447.99
2024-05-20,448.21,451.78,448.01,451.12
2024-05-21,449.24,452.19,449.06,452.0
2024-05-22,452.26,453.01,449.3,451.91
2024-05-23,456.73,456.74,448.08,449.88
2024-05-24,451.48,455.4,450.79,454.13
2024-05-28,455.35,455.91,452.88,455.85
2024-05-29,451.68,454.42,451.54,452.63
2024-05-30,451.71,451.84,446.46,447.79
2024-05-31,448.02,448.71,439.36,446.95
2024-06-03,450.78,451.78,444.17,449.35
2024-06-04,449.07,451.78,447.37,450.58
2024-06-05,454.16,459.74,452.96,459.67
2024-06-06,460.35,460.67,458.34,459.51
2024-06-07,459.14,461.86,457.99,459.1
2024-06-10,457.97,461.31,457.68,460.95
2024-06-11,459.7,464.24,458.18,464.12
2024-06-12,468.05,472.53,467.36,470.2
2024-06-13,473.74,474.4,470.46,472.75
2024-06-14,472.55,475.26,472.08,475.19
2024-06-17,475.46,482.8,474.15,481.02
2024-06-18,480.96,481.85,479.4,481.16
2024-06-20,482.36,482.78,475.62,477.46
2024-06-21,477.18,478.52,474.68,476.18
2024-06-24,474.95,476.68,470.62,470.75
2024-06-25,472.85,476.44,471.91,476.14
2024-06-26,475.31,477.67,474.9,477.12
2024-06-27,476.88,479.83,476.06,478.35
2024-06-28,479.15,483.91,475.22,475.87
2024-07-01,476.8,479.23,473.03,478.66
2024-07-02,477.16,483.75,477.03,483.69
2024-07-03,482.93,487.85,482.91,487.72
2024-07-05,488.57,493.24,488.27,492.8
2024-07-08,493.17,494.53,492.15,493.98
2024-07-09,495.5,496.62,492.88,494.4
2024-07-10,496.33,500.11,495.02,499.56
2024-07-11,499.67,499.88,487.4,488.6
2024-07-12,489.18,496.24,488.71,491.47
2024-07-15,493.25,497.62,490.75,492.79
2024-07-16,494.25,495.07,489.82,492.98
2024-07-17,484.96,485.49,478.44,478.51
2024-07-18,482.24,482.43,473.05,476.25
2024-07-19,475.93,478.43,470.73,472.03
2024-07-22,477.92,480.08,474.53,479.06
2024-07-23,478.16,481.15,476.89,477.37
2024-07-24,470.62,470.98,459.38,460.25
2024-07-25,460.58,464.78,452.55,455.17
2024-07-26,459.53,462.78,456.66,459.84
2024-07-29,462.56,464.75,458.49,460.76
2024-07-30,462.7,463.41,451.08,454.44
2024-07-31,464.74,469.59,463.26,467.88
2024-08-01,468.57,472.33,452.9,456.55
2024-08-02,447.84,450.5,441.46,445.72
2024-08-05,421.84,439.3,420.59,432.43
2024-08-06,434.34,444.05,431.62,436.56
2024-08-07,443.49,445.96,431.43,431.83
2024-08-08,438.09,445.95,434.19,445.04
2024-08-09,443.71,449.0,442.6,447.36
2024-08-12,448.34,451.3,445.52,448.33
2024-08-13,452.73,459.72,452.6,459.45
2024-08-14,460.43,461.96,455.3,459.6
2024-08-15,465.59,471.61,465.21,471.21
2024-08-16,469.46,473.19,468.46,471.82
2024-08-19,471.96,478.06,470.17,478.02
2024-08-20,477.1,479.67,475.31,477.01
2024-08-21,477.8,481.09,476.08,479.24
2024-08-22,481.59,482.26,470.61,471.64
2024-08-23,475.99,479.48,472.07,476.75
2024-08-26,476.2,477.13,470.04,472.13
2024-08-27,470.49,474.61,468.52,473.54
2024-08-28,473.07,473.79,464.73,468.16
2024-08-29,470.08,474.7,466.2,467.48
2024-08-30,471.83,473.67,467.33,473.05
2024-09-03,469.99,470.13,456.3,458.69
2024-09-04,455.57,461.31,454.63,457.5
2024-09-05,455.87,462.21,454.83,457.92
2024-09-06,457.21,458.1,445.16,445.66
2024-09-09,449.98,452.38,446.78,451.39
2024-09-10,453.15,456.06,449.17,455.56
2024-09-11,456.75,466.2,448.23,465.45
2024-09-12,465.47,470.83,463.68,470.02
2024-09-13,469.3,473.31,469.06,472.13
2024-09-16,469.99,470.66,466.71,470.04
2024-09-17,473.02,474.37,467.79,470.29
2024-09-18,471.49,475.59,467.65,468.25
2024-09-19,479.35,482.94,477.24,480.09
2024-09-20,479.25,480.42,475.06,479.18
2024-09-23,480.36,481.54,479.02,480.45
2024-09-24,481.88,483.72,477.59,482.77
2024-09-25,482.14,485.17,481.96,483.21
2024-09-26,490.72,491.05,483.19,486.84
2024-09-27,487.87,488.01,482.95,484.14
2024-09-30,483.17,485.79,480.33,485.45
2024-10-01,485.08,485.38,474.84,478.69
2024-10-02,477.78,481.28,475.16,479.36
2024-10-03,477.17,481.95,476.42,479.01
2024-10-04,484.83,485.26,479.79,484.7
2024-10-07,482.81,483.96,478.29,479.51
2024-10-08,482.06,487.36,481.24,486.67
2024-10-09,486.36,491.08,485.33,490.5
2024-10-10,488.22,491.82,486.9,489.95
2024-10-11,488.11,491.74,487.54,490.71
2024-10-14,493.1,496.15,492.6,494.83
2024-10-15,495.16,495.82,486.06,488.22
2024-10-16,488.54,489.05,484.95,488.28
2024-10-17,493.76,493.83,488.55,488.61
2024-10-18,491.41,492.91,490.65,491.82
2024-10-21,490.57,493.57,488.67,492.76
2024-10-22,490.08,494.78,489.33,493.3
2024-10-23,490.93,491.6,482.45,485.74
2024-10-24,489.47,490.35,486.81,489.68
2024-10-25,492.48,497.6,491.78,492.66
2024-10-28,495.78,495.84,492.44,492.74
2024-10-29,493.06,498.66,491.2,497.48
2024-10-30,496.71,497.66,493.23,493.72
2024-10-31,489.73,489.79,481.15,481.25
2024-11-01,482.91,488.13,482.6,484.81
2024-11-04,484.21,486.75,481.65,483.4
2024-11-05,484.99,490.23,484.9,489.57
2024-11-06,497.87,503.69,496.92,502.87
2024-11-07,505.67,511.57,505.61,510.78
2024-11-08,510.28,512.16,509.66,511.38
2024-11-11,512.59,512.81,508.18,511.08
2024-11-12,510.99,511.9,507.09,510.16
2024-11-13,509.65,512.22,507.21,509.5
2024-11-14,509.16,510.04,505.04,505.96
2024-11-15,500.24,500.63,491.84,493.9
2024-11-18,495.46,499.45,494.06,497.34
2024-11-19,494.75,501.26,494.41,500.76
2024-11-20,500.41,500.78,493.89,500.47
2024-11-21,503.52,504.24,494.89,502.27
