date,open,high,low,close
2023-10-09,21.99,22.01,21.99,22.01
2023-10-10,22.0,22.01,21.99,22.0
2023-10-11,22.0,22.0,21.98,21.99
2023-10-12,21.98,21.98,21.97,21.97
2023-10-13,21.99,22.0,21.98,21.98
2023-10-16,21.98,21.98,21.97,21.97
2023-10-17,21.95,21.95,21.92,21.93
2023-10-18,21.93,21.94,21.92,21.92
2023-10-19,21.93,21.96,21.93,21.95
2023-10-20,21.98,22.0,21.98,21.99
2023-10-23,21.99,22.01,21.98,22.01
2023-10-24,22.0,22.01,21.98,22.0
2023-10-25,21.99,21.99,21.97,21.98
2023-10-26,21.99,22.03,21.99,22.02
2023-10-27,22.02,22.04,22.02,22.03
2023-10-30,22.02,22.03,22.01,22.02
2023-10-31,22.01,22.02,22.01,22.01
2023-11-01,22.02,22.07,22.01,22.06
2023-11-02,22.08,22.09,22.06,22.06
2023-11-03,22.13,22.14,22.1,22.12
2023-11-06,22.11,22.11,22.09,22.09
2023-11-07,22.1,22.12,22.09,22.1
2023-11-08,22.1,22.11,22.1,22.1
2023-11-09,22.1,22.11,22.07,22.07
2023-11-10,22.09,22.09,22.06,22.07
2023-11-13,22.06,22.08,22.06,22.07
2023-11-14,22.15,22.17,22.14,22.16
2023-11-15,22.14,22.14,22.12,22.13
2023-11-16,22.16,22.18,22.16,22.16
2023-11-17,22.16,22.16,22.14,22.15
2023-11-20,22.15,22.16,22.14,22.15
2023-11-21,22.17,22.18,22.16,22.16
2023-11-22,22.18,22.18,22.15,22.17
2023-11-24,22.15,22.16,22.15,22.15
2023-11-27,22.17,22.18,22.16,22.17
2023-11-28,22.18,22.23,22.18,22.22
2023-11-29,22.25,22.28,22.25,22.26
2023-11-30,22.25,22.26,22.24,22.25
2023-12-01,22.25,22.32,22.25,22.31
2023-12-04,22.29,22.3,22.27,22.28
2023-12-05,22.29,22.32,22.29,22.31
2023-12-06,22.31,22.32,22.3,22.31
2023-12-07,22.32,22.33,22.31,22.32
2023-12-08,22.28,22.3,22.26,22.27
2023-12-11,22.26,22.28,22.25,22.27
2023-12-12,22.28,22.29,22.27,22.27
2023-12-13,22.3,22.39,22.29,22.38
2023-12-14,22.42,22.45,22.42,22.43
2023-12-15,22.42,22.42,22.4,22.4
2023-12-18,22.42,22.42,22.4,22.41
2023-12-19,22.41,22.42,22.41,22.42
2023-12-20,22.43,22.45,22.42,22.45
2023-12-21,22.48,22.48,22.46,22.47
2023-12-22,22.47,22.48,22.46,22.47
2023-12-26,22.46,22.48,22.46,22.47
2023-12-27,22.48,22.49,22.47,22.49
2023-12-28,22.5,22.5,22.48,22.49
2023-12-29,22.48,22.51,22.48,22.5
2024-01-02,22.48,22.48,22.47,22.48
2024-01-03,22.47,22.48,22.45,22.48
2024-01-04,22.47,22.48,22.46,22.47
2024-01-05,22.45,22.49,22.44,22.46
2024-01-08,22.47,22.5,22.47,22.48
2024-01-09,22.48,22.49,22.47,22.48
2024-01-10,22.49,22.5,22.48,22.48
2024-01-11,22.5,22.54,22.5,22.54
2024-01-12,22.58,22.59,22.57,22.58
2024-01-16,22.57,22.58,22.54,22.55
2024-01-17,22.51,22.51,22.49,22.51
2024-01-18,22.51,22.52,22.5,22.51
2024-01-19,22.49,22.51,22.48,22.49
2024-01-22,22.5,22.51,22.5,22.5
2024-01-23,22.5,22.51,22.49,22.5
2024-01-24,22.53,22.54,22.49,22.49
2024-01-25,22.53,22.54,22.52,22.54
2024-01-26,22.53,22.53,22.52,22.52
2024-01-29,22.53,22.55,22.53,22.54
2024-01-30,22.55,22.55,22.52,22.53
