date,open,high,low,close
2020-10-08,25.03,25.08,25.01,25.08
2020-10-09,25.07,25.09,25.04,25.09
2020-10-12,25.08,25.1,25.07,25.1
2020-10-13,25.11,25.13,25.09,25.12
2020-10-14,25.14,25.14,25.09,25.11
2020-10-15,25.1,25.11,25.08,25.1
2020-10-16,25.1,25.12,25.09,25.11
2020-10-19,25.08,25.1,25.05,25.06
2020-10-20,25.04,25.06,25.01,25.03
2020-10-21,25.03,25.05,25.02,25.04
2020-10-22,25.01,25.02,24.97,24.99
2020-10-23,24.99,25.02,24.97,25.0
2020-10-26,25.03,25.05,25.01,25.05
2020-10-27,25.07,25.09,25.06,25.08
2020-10-28,25.06,25.07,25.03,25.05
2020-10-29,25.03,25.03,24.96,24.97
2020-10-30,24.94,24.97,24.87,24.9
2020-11-02,24.94,24.99,24.93,24.98
2020-11-03,24.95,24.97,24.9,24.97
2020-11-04,25.01,25.04,24.97,24.98
2020-11-05,25.0,25.03,24.99,25.01
2020-11-06,24.96,24.96,24.9,24.91
2020-11-09,24.82,24.84,24.77,24.84
2020-11-10,24.83,24.91,24.83,24.86
2020-11-11,24.87,24.91,24.86,24.91
2020-11-12,24.94,24.98,24.93,24.96
2020-11-13,24.98,24.98,24.95,24.97
2020-11-16,24.98,24.98,24.93,24.94
2020-11-17,24.96,24.98,24.96,24.98
2020-11-18,25.0,25.01,24.96,24.98
2020-11-19,25.0,25.04,24.98,25.02
2020-11-20,25.01,25.07,25.01,25.06
2020-11-23,25.05,25.06,25.03,25.05
2020-11-24,25.05,25.06,25.03,25.05
2020-11-25,25.09,25.12,25.08,25.09
2020-11-27,25.13,25.15,25.12,25.14
2020-11-30,25.15,25.2,25.15,25.17
2020-12-01,25.16,25.16,25.09,25.12
2020-12-02,25.1,25.16,25.06,25.15
2020-12-03,25.19,25.23,25.17,25.22
2020-12-04,25.18,25.19,25.14,25.17
2020-12-07,25.22,25.27,25.22,25.24
2020-12-08,25.26,25.3,25.26,25.28
2020-12-09,25.27,25.28,25.24,25.26
2020-12-10,25.28,25.31,25.26,25.31
2020-12-11,25.3,25.33,25.28,25.31
2020-12-14,25.28,25.32,25.25,25.31
2020-12-15,25.31,25.35,25.31,25.35
2020-12-16,25.33,25.37,25.3,25.35
2020-12-17,25.42,25.42,25.35,25.36
2020-12-18,25.39,25.39,25.35,25.37
2020-12-21,25.37,25.39,25.34,25.36
2020-12-22,25.36,25.38,25.35,25.37
2020-12-23,25.33,25.39,25.3,25.39
2020-12-24,25.39,25.41,25.39,25.4
2020-12-28,25.4,25.42,25.37,25.42
2020-12-29,25.39,25.41,25.38,25.41
2020-12-30,25.38,25.42,25.37,25.41
2020-12-31,25.42,25.49,25.42,25.49
2021-01-04,25.46,25.54,25.45,25.53
2021-01-05,25.49,25.52,25.48,25.5
2021-01-06,25.47,25.47,25.38,25.44
2021-01-07,25.41,25.44,25.4,25.43
2021-01-08,25.39,25.4,25.28,25.32
2021-01-11,25.26,25.28,25.24,25.28
2021-01-12,25.29,25.32,25.25,25.31
2021-01-13,25.31,25.39,25.3,25.36
2021-01-14,25.35,25.39,25.33,25.37
2021-01-15,25.39,25.41,25.37,25.4
2021-01-19,25.41,25.47,25.4,25.46
2021-01-20,25.48,25.51,25.44,25.51
2021-01-21,25.49,25.56,25.47,25.56
2021-01-22,25.53,25.55,25.51,25.51
2021-01-25,25.55,25.6,25.54,25.58
2021-01-26,25.58,25.59,25.53,25.55
2021-01-27,25.56,25.57,25.53,25.55
2021-01-28,25.57,25.6,25.55,25.58
2021-01-29,25.58,25.62,25.52,25.56
2021-02-01,25.53,25.55,25.51,25.53
2021-02-02,25.5,25.57,25.48,25.55
2021-02-03,25.54,25.56,25.53,25.54
2021-02-04,25.5,25.55,25.48,25.52
2021-02-05,25.52,25.53,25.49,25.51
2021-02-08,25.52,25.55,25.49,25.54
2021-02-09,25.55,25.57,25.53,25.55
2021-02-10,25.55,25.57,25.54,25.57
2021-02-11,25.57,25.57,25.52,25.54
2021-02-12,25.52,25.55,25.48,25.5
2021-02-16,25.45,25.47,25.37,25.38
2021-02-17,25.4,25.4,25.34,25.37
2021-02-18,25.33,25.33,25.25,25.27
2021-02-19,25.23,25.23,25.08,25.16
2021-02-22,25.14,25.18,25.13,25.18
2021-02-23,25.17,25.2,25.13,25.18
2021-02-24,25.12,25.18,25.1,25.15
2021-02-25,25.04,25.06,24.76,24.85
2021-02-26,24.88,25.15,24.84,25.15
2021-03-01,25.11,25.15,25.02,25.08
2021-03-02,25.07,25.17,25.06,25.17
2021-03-03,25.11,25.14,25.08,25.12
2021-03-04,25.14,25.14,24.96,25.01
2021-03-05,24.97,25.07,24.97,25.04
2021-03-08,25.02,25.04,24.9,24.9
2021-03-09,25.01,25.05,24.98,25.04
2021-03-10,25.07,25.17,25.06,25.17
2021-03-11,25.18,25.21,25.14,25.18
2021-03-12,25.04,25.05,24.96,25.01
2021-03-15,25.01,25.09,25.0,25.08
2021-03-16,25.11,25.15,25.09,25.13
2021-03-17,25.07,25.15,25.02,25.11
2021-03-18,24.98,25.0,24.93,24.93
2021-03-19,24.93,24.98,24.9,24.98
2021-03-22,25.01,25.09,25.01,25.08
2021-03-23,25.08,25.14,25.07,25.14
2021-03-24,25.15,25.22,25.14,25.21
2021-03-25,25.21,25.23,25.16,25.19
2021-03-26,25.18,25.25,25.18,25.19
2021-03-29,25.22,25.23,25.11,25.13
2021-03-30,25.07,25.1,25.06,25.09
2021-03-31,25.11,25.15,25.05,25.11
2021-04-01,25.13,25.17,25.11,25.17
2021-04-05,25.07,25.1,25.05,25.1
2021-04-06,25.12,25.16,25.11,25.12
2021-04-07,25.12,25.18,25.12,25.14
2021-04-08,25.17,25.2,25.15,25.18
2021-04-09,25.14,25.17,25.11,25.14
2021-04-12,25.14,25.14,25.1,25.14
2021-04-13,25.17,25.23,25.16,25.22
2021-04-14,25.19,25.23,25.19,25.22
2021-04-15,25.3,25.37,25.3,25.36
2021-04-16,25.31,25.37,25.31,25.35
2021-04-19,25.31,25.33,25.28,25.31
2021-04-20,25.27,25.33,25.26,25.33
2021-04-21,25.32,25.35,25.31,25.35
2021-04-22,25.36,25.39,25.33,25.38
2021-04-23,25.38,25.38,25.33,25.38
2021-04-26,25.37,25.41,25.36,25.4
2021-04-27,25.42,25.44,25.38,25.4
2021-04-28,25.46,25.49,25.41,25.49
2021-04-29,25.45,25.47,25.42,25.47
2021-04-30,25.45,25.46,25.42,25.46
2021-05-03,25.47,25.53,25.46,25.52
2021-05-04,25.6,25.63,25.56,25.57
2021-05-05,25.59,25.7,25.59,25.7
2021-05-06,25.71,25.74,25.66,25.66
2021-05-07,25.69,25.74,25.68,25.72
2021-05-10,25.78,25.83,25.73,25.74
2021-05-11,25.66,25.69,25.63,25.68
2021-05-12,25.7,25.73,25.62,25.63
2021-05-13,25.64,25.66,25.6,25.64
2021-05-14,25.66,25.72,25.65,25.72
2021-05-17,25.72,25.77,25.71,25.76
2021-05-18,25.74,25.76,25.73,25.73
2021-05-19,25.69,25.72,25.55,25.57
2021-05-20,25.58,25.61,25.55,25.57
2021-05-21,25.6,25.63,25.57,25.63
2021-05-24,25.64,25.69,25.64,25.69
2021-05-25,25.75,25.77,25.73,25.76
2021-05-26,25.76,25.77,25.68,25.71
2021-05-27,25.65,25.7,25.64,25.7
2021-05-28,25.71,25.75,25.69,25.73
2021-06-01,25.73,25.79,25.7,25.79
2021-06-02,25.8,25.81,25.76,25.78
2021-06-03,25.72,25.73,25.67,25.68
2021-06-04,25.75,25.8,25.75,25.79
2021-06-07,25.8,25.8,25.74,25.74
2021-06-08,25.78,25.79,25.75,25.76
2021-06-09,25.8,25.83,25.74,25.76
2021-06-10,25.76,25.9,25.75,25.9
2021-06-11,25.91,25.92,25.79,25.83
2021-06-14,25.83,25.84,25.77,25.81
2021-06-15,25.83,25.87,25.81,25.87
2021-06-16,25.87,25.94,25.62,25.63
2021-06-17,25.62,25.72,25.58,25.7
2021-06-18,25.68,25.73,25.63,25.72
2021-06-21,25.68,25.71,25.65,25.68
2021-06-22,25.7,25.82,25.69,25.82
2021-06-23,25.82,25.84,25.78,25.83
2021-06-24,25.84,25.85,25.77,25.77
2021-06-25,25.8,25.81,25.74,25.8
2021-06-28,25.85,25.88,25.84,25.84
2021-06-29,25.84,25.87,25.84,25.86
2021-06-30,25.89,25.94,25.89,25.89
2021-07-01,25.93,25.94,25.89,25.91
2021-07-02,25.94,26.03,25.93,26.02
2021-07-06,26.06,26.11,26.05,26.09
2021-07-07,26.14,26.15,26.06,26.07
2021-07-08,26.06,26.08,26.03,26.05
2021-07-09,26.03,26.06,26.0,26.05
2021-07-12,26.06,26.13,26.05,26.11
2021-07-13,26.19,26.21,26.11,26.11
2021-07-14,26.19,26.21,26.15,26.19
2021-07-15,26.24,26.27,26.19,26.27
2021-07-16,26.26,26.29,26.25,26.27
2021-07-19,26.34,26.37,26.27,26.28
2021-07-20,26.32,26.33,26.25,26.27
2021-07-21,26.24,26.24,26.19,26.21
2021-07-22,26.24,26.31,26.22,26.29
2021-07-23,26.3,26.41,26.29,26.41
2021-07-26,26.46,26.53,26.43,26.51
2021-07-27,26.53,26.53,26.46,26.52
2021-07-28,26.51,26.6,26.42,26.6
2021-07-29,26.58,26.6,26.55,26.56
2021-07-30,26.58,26.61,26.56,26.6
2021-08-02,26.61,26.66,26.59,26.6
2021-08-03,26.58,26.64,26.56,26.63
2021-08-04,26.64,26.65,26.53,26.58
2021-08-05,26.51,26.52,26.45,26.48
2021-08-06,26.38,26.43,26.37,26.43
2021-08-09,26.43,26.45,26.37,26.38
2021-08-10,26.4,26.43,26.38,26.4
2021-08-11,26.39,26.46,26.36,26.44
2021-08-12,26.43,26.44,26.39,26.42
2021-08-13,26.45,26.49,26.44,26.48
2021-08-16,26.51,26.54,26.5,26.52
2021-08-17,26.53,26.54,26.45,26.46
2021-08-18,26.45,26.46,26.38,26.45
2021-08-19,26.45,26.46,26.41,26.46
2021-08-20,26.44,26.46,26.37,26.38
2021-08-23,26.43,26.45,26.41,26.44
2021-08-24,26.44,26.48,26.43,26.44
2021-08-25,26.45,26.46,26.41,26.43
2021-08-26,26.43,26.45,26.41,26.44
2021-08-27,26.46,26.63,26.43,26.63
2021-08-30,26.67,26.69,26.59,26.63
2021-08-31,26.6,26.61,26.53,26.57
2021-09-01,26.51,26.56,26.49,26.56
2021-09-02,26.57,26.58,26.55,26.58
2021-09-03,26.56,26.56,26.53,26.54
2021-09-07,26.49,26.52,26.46,26.49
2021-09-08,26.54,26.6,26.53,26.58
2021-09-09,26.62,26.73,26.6,26.72
2021-09-10,26.71,26.73,26.64,26.65
2021-09-13,26.71,26.71,26.63,26.65
2021-09-14,26.64,26.71,26.63,26.67
2021-09-15,26.72,26.73,26.65,26.67
2021-09-16,26.64,26.66,26.62,26.64
2021-09-17,26.61,26.61,26.55,26.55
2021-09-20,26.59,26.61,26.56,26.6
2021-09-21,26.6,26.6,26.55,26.56
2021-09-22,26.57,26.61,26.51,26.55
2021-09-23,26.49,26.5,26.42,26.45
2021-09-24,26.39,26.41,26.35,26.38
2021-09-27,26.36,26.42,26.36,26.39
2021-09-28,26.36,26.37,26.33,26.34
2021-09-29,26.38,26.4,26.3,26.34
2021-09-30,26.31,26.37,26.29,26.37
2021-10-01,26.42,26.46,26.4,26.46
2021-10-04,26.45,26.49,26.42,26.46
2021-10-05,26.49,26.51,26.47,26.5
2021-10-06,26.5,26.52,26.47,26.48
2021-10-07,26.44,26.46,26.4,26.45
2021-10-08,26.48,26.48,26.43,26.46
2021-10-11,26.46,26.49,26.44,26.44
2021-10-12,26.48,26.53,26.46,26.49
2021-10-13,26.52,26.62,26.52,26.62
2021-10-14,26.66,26.68,26.62,26.67
2021-10-15,26.67,26.67,26.6,26.63
2021-10-18,26.59,26.61,26.53,26.58
2021-10-19,26.52,26.54,26.48,26.51
2021-10-20,26.47,26.59,26.47,26.55
2021-10-21,26.58,26.65,26.54,26.62
2021-10-22,26.66,26.69,26.6,26.66
2021-10-25,26.67,26.75,26.67,26.73
2021-10-26,26.76,26.83,26.71,26.83
2021-10-27,26.88,26.97,26.83,26.95
2021-10-28,26.82,26.85,26.67,26.71
2021-10-29,26.56,26.68,26.54,26.66
2021-11-01,26.69,26.7,26.52,26.56
2021-11-02,26.6,26.65,26.59,26.65
2021-11-03,26.64,26.71,26.58,26.61
2021-11-04,26.75,26.81,26.73,26.78
2021-11-05,26.85,26.9,26.83,26.88
2021-11-08,26.93,26.98,26.91,26.97
2021-11-09,27.07,27.14,27.03,27.12
2021-11-10,27.22,27.23,26.96,27.06
2021-11-11,27.07,27.09,27.03,27.04
2021-11-12,27.08,27.15,27.04,27.05
2021-11-15,27.07,27.11,27.03,27.04
2021-11-16,27.06,27.09,26.98,27.0
2021-11-17,26.97,27.06,26.95,27.06
2021-11-18,27.05,27.1,27.04,27.07
2021-11-19,27.09,27.15,27.01,27.02
2021-11-22,26.85,26.89,26.76,26.81
2021-11-23,26.75,26.75,26.63,26.7
2021-11-24,26.72,26.8,26.66,26.78
2021-11-26,26.85,26.93,26.8,26.92
2021-11-29,26.89,26.94,26.84,26.86
2021-11-30,26.95,27.0,26.83,26.87
2021-12-01,26.82,26.83,26.69,26.8
2021-12-02,26.8,26.89,26.75,26.87
2021-12-03,26.84,26.98,26.82,26.92
2021-12-06,26.95,26.97,26.81,26.82
2021-12-07,26.86,26.89,26.82,26.85
2021-12-08,26.85,26.85,26.77,26.81
2021-12-09,26.82,26.86,26.69,26.7
2021-12-10,26.69,26.75,26.69,26.7
2021-12-13,26.75,26.8,26.7,26.7
2021-12-14,26.66,26.66,26.58,26.63
2021-12-15,26.6,26.68,26.49,26.66
2021-12-16,26.74,26.75,26.65,26.7
2021-12-17,26.74,26.76,26.7,26.73
2021-12-20,26.71,26.74,26.69,26.71
2021-12-21,26.69,26.76,26.65,26.76
2021-12-22,26.77,26.88,26.74,26.84
2021-12-23,26.84,26.84,26.74,26.78
2021-12-27,26.8,26.89,26.78,26.88
2021-12-28,26.95,26.95,26.85,26.86
2021-12-29,26.8,26.89,26.75,26.89
2021-12-30,26.94,27.03,26.91,27.03
2021-12-31,27.01,27.01,26.96,26.98
2022-01-03,26.91,26.91,26.82,26.84
2022-01-04,26.83,26.84,26.7,26.74
2022-01-05,26.75,26.75,26.52,26.54
2022-01-06,26.43,26.43,26.33,26.42
2022-01-07,26.39,26.41,26.34,26.38
2022-01-10,26.34,26.41,26.29,26.4
2022-01-11,26.42,26.59,26.4,26.58
2022-01-12,26.56,26.57,26.42,26.42
2022-01-13,26.39,26.47,26.37,26.44
2022-01-14,26.39,26.4,26.29,26.31
2022-01-18,26.22,26.25,26.18,26.18
2022-01-19,26.2,26.21,26.13,26.14
2022-01-20,26.21,26.26,26.16,26.18
2022-01-21,26.26,26.34,26.23,26.33
2022-01-24,26.34,26.41,26.31,26.41
2022-01-25,26.39,26.43,26.32,26.34
2022-01-26,26.36,26.38,26.16,26.19
2022-01-27,26.25,26.3,26.2,26.28
2022-01-28,26.31,26.38,26.29,26.36
2022-01-31,26.36,26.44,26.34,26.44
2022-02-01,26.4,26.41,26.27,26.28
2022-02-02,26.27,26.35,26.26,26.3
2022-02-03,26.17,26.2,26.13,26.13
2022-02-04,26.03,26.06,25.96,25.99
2022-02-07,25.99,25.99,25.89,25.98
2022-02-08,25.92,25.98,25.9,25.94
2022-02-09,25.99,26.05,25.96,25.99
2022-02-10,25.92,25.95,25.77,25.77
2022-02-11,25.91,26.02,25.81,26.01
2022-02-14,25.9,26.02,25.88,25.96
2022-02-15,25.87,25.9,25.84,25.84
2022-02-16,25.89,25.93,25.85,25.89
2022-02-17,25.95,25.99,25.81,25.96
2022-02-18,26.01,26.03,25.99,26.02
2022-02-22,26.05,26.12,26.02,26.11
2022-02-23,26.06,26.17,26.02,26.13
2022-02-24,26.48,26.52,26.17,26.24
2022-02-25,26.2,26.22,26.13,26.21
2022-02-28,26.38,26.68,26.38,26.66
2022-03-01,26.75,26.95,26.74,26.87
2022-03-02,26.8,26.84,26.68,26.69
2022-03-03,26.72,26.76,26.64,26.66
2022-03-04,26.81,26.98,26.81,26.86
2022-03-07,26.87,27.05,26.86,27.02
2022-03-08,27.05,27.2,26.96,27.13
2022-03-09,26.96,26.96,26.77,26.87
2022-03-10,26.74,26.86,26.63,26.81
2022-03-11,26.87,27.01,26.87,27.0
2022-03-14,26.84,26.84,26.7,26.71
2022-03-15,26.71,26.74,26.49,26.49
2022-03-16,26.44,26.51,26.17,26.36
2022-03-17,26.46,26.71,26.43,26.71
2022-03-18,26.61,26.76,26.57,26.63
2022-03-21,26.48,26.57,26.35,26.4
2022-03-22,26.34,26.41,26.25,26.27
2022-03-23,26.37,26.6,26.36,26.6
2022-03-24,26.53,26.58,26.42,26.44
2022-03-25,26.3,26.33,26.2,26.25
2022-03-28,26.25,26.34,26.22,26.24
2022-03-29,26.11,26.23,26.11,26.13
2022-03-30,26.14,26.28,26.14,26.25
2022-03-31,26.25,26.37,26.12,26.15
2022-04-01,25.97,26.13,25.91,26.03
2022-04-04,26.06,26.07,25.99,26.02
2022-04-05,25.97,26.01,25.82,25.82
2022-04-06,25.75,25.81,25.6,25.72
2022-04-07,25.71,25.76,25.63,25.68
2022-04-08,25.65,25.72,25.64,25.72
2022-04-11,25.58,25.68,25.57,25.68
2022-04-12,25.77,25.83,25.67,25.68
2022-04-13,25.71,25.75,25.61,25.64
2022-04-14,25.63,25.66,25.55,25.63
2022-04-18,25.66,25.67,25.59,25.62
2022-04-19,25.55,25.6,25.47,25.48
2022-04-20,25.55,25.71,25.53,25.68
2022-04-21,25.67,25.78,25.52,25.77
2022-04-22,25.75,25.87,25.65,25.68
2022-04-25,25.74,25.8,25.65,25.66
2022-04-26,25.7,25.74,25.64,25.71
2022-04-27,25.73,25.74,25.61,25.67
2022-04-28,25.68,25.82,25.65,25.81
2022-04-29,25.77,25.84,25.54,25.58
2022-05-02,25.53,25.53,25.22,25.26
2022-05-03,25.45,25.51,25.32,25.32
2022-05-04,25.33,25.58,25.21,25.53
2022-05-05,25.33,25.4,25.17,25.26
2022-05-06,25.14,25.28,25.1,25.19
2022-05-09,25.12,25.14,25.05,25.1
2022-05-10,25.05,25.14,24.96,24.99
2022-05-11,25.01,25.3,24.94,25.28
2022-05-12,25.32,25.38,25.15,25.15
2022-05-13,25.17,25.3,25.15,25.3
2022-05-16,25.36,25.38,25.29,25.31
2022-05-17,25.28,25.29,25.16,25.17
2022-05-18,25.27,25.39,25.26,25.35
2022-05-19,25.42,25.46,25.18,25.25
2022-05-20,25.28,25.3,25.21,25.27
