date,open,high,low,close
2020-10-08,25.64,25.65,25.63,25.65
2020-10-09,25.64,25.65,25.62,25.64
2020-10-12,25.64,25.65,25.63,25.65
2020-10-13,25.67,25.69,25.67,25.69
2020-10-14,25.69,25.7,25.68,25.69
2020-10-15,25.7,25.7,25.67,25.67
2020-10-16,25.67,25.69,25.66,25.67
2020-10-19,25.64,25.65,25.62,25.65
2020-10-20,25.62,25.64,25.62,25.63
2020-10-21,25.6,25.62,25.59,25.61
2020-10-22,25.59,25.6,25.56,25.57
2020-10-23,25.55,25.59,25.55,25.58
2020-10-26,25.6,25.62,25.6,25.62
2020-10-27,25.63,25.65,25.62,25.64
2020-10-28,25.66,25.66,25.63,25.64
2020-10-29,25.64,25.64,25.58,25.6
2020-10-30,25.59,25.59,25.55,25.56
2020-11-02,25.59,25.6,25.57,25.57
2020-11-03,25.55,25.56,25.53,25.55
2020-11-04,25.64,25.67,25.64,25.66
2020-11-05,25.66,25.66,25.63,25.66
2020-11-06,25.61,25.62,25.58,25.61
2020-11-09,25.5,25.51,25.46,25.51
2020-11-10,25.46,25.49,25.46,25.47
2020-11-11,25.46,25.49,25.46,25.49
2020-11-12,25.52,25.56,25.52,25.55
2020-11-13,25.55,25.56,25.54,25.55
2020-11-16,25.54,25.55,25.53,25.54
2020-11-17,25.56,25.58,25.56,25.58
2020-11-18,25.57,25.58,25.55,25.57
2020-11-19,25.57,25.59,25.57,25.58
2020-11-20,25.58,25.6,25.58,25.6
2020-11-23,25.59,25.59,25.57,25.58
2020-11-24,25.57,25.58,25.55,25.57
2020-11-25,25.57,25.59,25.57,25.57
2020-11-27,25.59,25.61,25.58,25.61
2020-11-30,25.61,25.62,25.6,25.61
2020-12-01,25.56,25.57,25.51,25.54
2020-12-02,25.53,25.53,25.5,25.52
2020-12-03,25.54,25.57,25.54,25.56
2020-12-04,25.51,25.52,25.5,25.51
2020-12-07,25.54,25.56,25.54,25.56
2020-12-08,25.57,25.59,25.56,25.57
2020-12-09,25.54,25.56,25.53,25.55
2020-12-10,25.55,25.58,25.54,25.58
2020-12-11,25.6,25.63,25.6,25.62
2020-12-14,25.58,25.62,25.58,25.61
2020-12-15,25.59,25.6,25.58,25.6
2020-12-16,25.56,25.6,25.56,25.59
2020-12-17,25.61,25.61,25.56,25.58
2020-12-18,25.59,25.59,25.57,25.57
2020-12-21,25.59,25.59,25.57,25.58
2020-12-22,25.6,25.61,25.58,25.61
2020-12-23,25.58,25.58,25.56,25.58
2020-12-24,25.59,25.6,25.59,25.6
2020-12-28,25.57,25.6,25.57,25.6
2020-12-29,25.58,25.61,25.58,25.6
2020-12-30,25.59,25.61,25.59,25.61
2020-12-31,25.6,25.62,25.6,25.62
2021-01-04,25.59,25.63,25.59,25.63
2021-01-05,25.61,25.62,25.58,25.6
2021-01-06,25.53,25.53,25.49,25.52
2021-01-07,25.47,25.48,25.46,25.47
2021-01-08,25.44,25.45,25.42,25.43
2021-01-11,25.42,25.42,25.4,25.41
2021-01-12,25.37,25.41,25.35,25.41
2021-01-13,25.42,25.46,25.42,25.45
2021-01-14,25.45,25.46,25.42,25.43
2021-01-15,25.45,25.47,25.43,25.47
2021-01-19,25.45,25.48,25.44,25.48
2021-01-20,25.46,25.48,25.46,25.48
2021-01-21,25.46,25.48,25.46,25.47
2021-01-22,25.48,25.5,25.47,25.49
2021-01-25,25.5,25.54,25.5,25.54
2021-01-26,25.53,25.54,25.53,25.53
2021-01-27,25.55,25.57,25.54,25.55
2021-01-28,25.53,25.53,25.5,25.52
2021-01-29,25.48,25.52,25.48,25.51
2021-02-01,25.51,25.53,25.51,25.53
2021-02-02,25.49,25.5,25.48,25.49
2021-02-03,25.47,25.47,25.45,25.45
2021-02-04,25.44,25.46,25.43,25.46
2021-02-05,25.45,25.47,25.43,25.43
2021-02-08,25.43,25.46,25.42,25.44
2021-02-09,25.44,25.46,25.44,25.44
2021-02-10,25.45,25.48,25.45,25.48
2021-02-11,25.47,25.48,25.46,25.47
2021-02-12,25.44,25.45,25.42,25.43
2021-02-16,25.37,25.38,25.32,25.32
2021-02-17,25.33,25.35,25.32,25.34
2021-02-18,25.32,25.35,25.31,25.33
2021-02-19,25.3,25.32,25.27,25.29
2021-02-22,25.27,25.3,25.25,25.27
2021-02-23,25.26,25.3,25.25,25.28
2021-02-24,25.22,25.27,25.21,25.25
2021-02-25,25.15,25.17,24.94,25.02
2021-02-26,25.06,25.16,25.01,25.16
2021-03-01,25.15,25.16,25.12,25.16
2021-03-02,25.15,25.19,25.14,25.19
2021-03-03,25.13,25.13,25.08,25.11
2021-03-04,25.11,25.13,25.02,25.04
2021-03-05,24.98,25.04,24.97,25.02
2021-03-08,24.98,24.98,24.94,24.95
2021-03-09,25.0,25.02,24.97,25.01
2021-03-10,25.0,25.05,25.0,25.04
2021-03-11,25.05,25.07,25.02,25.05
2021-03-12,24.96,24.96,24.94,24.95
2021-03-15,24.96,24.98,24.96,24.97
2021-03-16,24.98,25.0,24.97,24.98
2021-03-17,24.93,25.02,24.91,24.99
2021-03-18,24.88,24.92,24.86,24.9
2021-03-19,24.86,24.92,24.86,24.89
2021-03-22,24.91,24.93,24.9,24.93
2021-03-23,24.95,25.0,24.94,25.0
2021-03-24,24.97,25.01,24.96,25.0
2021-03-25,25.02,25.03,24.97,25.0
2021-03-26,24.96,24.99,24.95,24.95
2021-03-29,24.97,24.97,24.89,24.9
2021-03-30,24.86,24.9,24.85,24.89
2021-03-31,24.88,24.89,24.84,24.86
2021-04-01,24.89,24.93,24.89,24.91
2021-04-05,24.84,24.88,24.83,24.87
2021-04-06,24.91,24.96,24.9,24.96
2021-04-07,24.95,24.99,24.94,24.95
2021-04-08,24.97,25.0,24.97,24.99
2021-04-09,24.93,24.98,24.93,24.95
2021-04-12,24.93,24.94,24.92,24.94
2021-04-13,24.94,25.0,24.94,25.0
2021-04-14,24.97,24.99,24.95,24.98
2021-04-15,25.01,25.08,25.01,25.05
2021-04-16,25.02,25.04,25.01,25.02
2021-04-19,25.0,25.04,24.99,25.01
2021-04-20,25.02,25.08,25.02,25.06
