date,open,high,low,close
2020-10-08,18.28,18.36,18.26,18.34
2020-10-09,18.37,18.39,18.32,18.36
2020-10-12,18.35,18.46,18.34,18.41
2020-10-13,18.44,18.44,18.31,18.34
2020-10-14,18.41,18.49,18.34,18.35
2020-10-15,18.39,18.39,18.27,18.32
2020-10-16,18.34,18.36,18.29,18.31
2020-10-19,18.29,18.37,18.26,18.26
2020-10-20,18.32,18.46,18.3,18.33
2020-10-21,18.36,18.46,18.31,18.32
2020-10-22,18.36,18.44,18.32,18.41
2020-10-23,18.41,18.44,18.31,18.35
2020-10-26,18.34,18.39,18.23,18.26
2020-10-27,18.28,18.34,18.27,18.27
2020-10-28,18.21,18.21,18.11,18.15
2020-10-29,18.11,18.16,18.09,18.16
2020-10-30,18.21,18.23,18.1,18.22
2020-11-02,18.27,18.27,18.17,18.22
2020-11-03,18.28,18.32,18.26,18.32
2020-11-04,18.43,18.58,18.43,18.51
2020-11-05,18.63,18.65,18.58,18.61
2020-11-06,18.63,18.63,18.55,18.56
2020-11-09,18.88,18.89,18.7,18.7
2020-11-10,18.75,18.75,18.67,18.71
2020-11-11,18.74,18.74,18.66,18.69
2020-11-12,18.69,18.69,18.64,18.65
2020-11-13,18.62,18.65,18.61,18.65
2020-11-16,18.76,18.76,18.7,18.74
2020-11-17,18.74,18.8,18.69,18.79
2020-11-18,18.78,18.81,18.77,18.79
2020-11-19,18.78,18.8,18.72,18.8
2020-11-20,18.83,18.83,18.77,18.79
2020-11-23,18.87,18.87,18.81,18.82
2020-11-24,18.92,18.92,18.87,18.89
2020-11-25,18.92,18.92,18.87,18.88
2020-11-27,18.92,18.92,18.9,18.9
2020-11-30,18.96,18.96,18.89,18.9
2020-12-01,19.01,19.01,18.98,18.99
2020-12-02,19.01,19.01,18.98,18.99
2020-12-03,19.09,19.09,19.01,19.04
2020-12-04,19.12,19.12,19.04,19.08
2020-12-07,19.07,19.15,19.06,19.12
2020-12-08,19.08,19.13,19.08,19.12
2020-12-09,19.2,19.2,19.07,19.09
2020-12-10,19.12,19.12,19.09,19.11
2020-12-11,19.17,19.17,19.08,19.09
2020-12-14,19.16,19.16,19.09,19.09
2020-12-15,19.17,19.17,19.11,19.15
2020-12-16,19.17,19.17,19.12,19.13
2020-12-17,19.22,19.22,19.14,19.19
2020-12-18,19.2,19.2,19.16,19.17
2020-12-21,19.16,19.16,19.09,19.14
2020-12-22,19.15,19.15,19.12,19.13
2020-12-23,19.19,19.21,19.13,19.2
2020-12-24,19.23,19.24,19.2,19.24
2020-12-28,19.25,19.31,19.25,19.3
2020-12-29,19.31,19.32,19.28,19.29
2020-12-30,19.32,19.32,19.29,19.31
2020-12-31,19.32,19.32,19.28,19.31
2021-01-04,19.32,19.32,19.26,19.28
2021-01-05,19.3,19.31,19.27,19.3
2021-01-06,19.32,19.33,19.28,19.28
2021-01-07,19.34,19.35,19.3,19.32
2021-01-08,19.39,19.39,19.32,19.36
2021-01-11,19.33,19.33,19.26,19.27
2021-01-12,19.25,19.28,19.23,19.26
2021-01-13,19.31,19.33,19.28,19.33
2021-01-14,19.35,19.35,19.32,19.32
2021-01-15,19.36,19.36,19.29,19.32
2021-01-19,19.39,19.39,19.33,19.36
2021-01-20,19.44,19.44,19.38,19.4
2021-01-21,19.46,19.48,19.38,19.41
2021-01-22,19.39,19.44,19.36,19.4
2021-01-25,19.41,19.42,19.33,19.38
2021-01-26,19.42,19.51,19.36,19.37
2021-01-27,19.37,19.38,19.29,19.33
2021-01-28,19.46,19.46,19.38,19.38
2021-01-29,19.43,19.43,19.31,19.33
2021-02-01,19.46,19.46,19.33,19.39
2021-02-02,19.41,19.45,19.41,19.43
2021-02-03,19.48,19.48,19.44,19.44
2021-02-04,19.51,19.51,19.44,19.49
2021-02-05,19.51,19.55,19.49,19.52
2021-02-08,19.56,19.58,19.52,19.58
2021-02-09,19.59,19.59,19.55,19.56
2021-02-10,19.58,19.58,19.53,19.54
2021-02-11,19.54,19.58,19.53,19.54
2021-02-12,19.59,19.59,19.54,19.59
2021-02-16,19.62,19.62,19.56,19.56
2021-02-17,19.56,19.57,19.54,19.56
2021-02-18,19.57,19.57,19.54,19.56
2021-02-19,19.61,19.61,19.56,19.56
2021-02-22,19.58,19.58,19.52,19.53
2021-02-23,19.54,19.56,19.47,19.56
2021-02-24,19.55,19.56,19.52,19.54
2021-02-25,19.56,19.56,19.42,19.46
2021-02-26,19.48,19.51,19.37,19.4
2021-03-01,19.49,19.57,19.48,19.57
2021-03-02,19.6,19.6,19.52,19.52
2021-03-03,19.55,19.55,19.46,19.47
2021-03-04,19.52,19.52,19.34,19.41
2021-03-05,19.41,19.47,19.35,19.44
2021-03-08,19.48,19.49,19.3,19.3
2021-03-09,19.46,19.46,19.33,19.35
2021-03-10,19.43,19.43,19.37,19.42
2021-03-11,19.52,19.52,19.44,19.46
2021-03-12,19.4,19.44,19.4,19.43
2021-03-15,19.46,19.46,19.4,19.43
2021-03-16,19.5,19.5,19.37,19.38
2021-03-17,19.38,19.46,19.32,19.42
2021-03-18,19.42,19.42,19.25,19.27
2021-03-19,19.37,19.37,19.21,19.3
2021-03-22,19.3,19.41,19.3,19.38
2021-03-23,19.38,19.4,19.35,19.38
2021-03-24,19.49,19.49,19.38,19.38
2021-03-25,19.46,19.46,19.37,19.43
2021-03-26,19.46,19.51,19.43,19.49
2021-03-29,19.51,19.52,19.46,19.52
2021-03-30,19.49,19.49,19.45,19.48
2021-03-31,19.5,19.55,19.5,19.54
2021-04-01,19.58,19.58,19.54,19.57
2021-04-05,19.6,19.62,19.59,19.61
2021-04-06,19.63,19.65,19.6,19.64
2021-04-07,19.65,19.66,19.63,19.64
2021-04-08,19.69,19.69,19.63,19.65
2021-04-09,19.65,19.65,19.63,19.65
2021-04-12,19.63,19.64,19.62,19.63
2021-04-13,19.62,19.65,19.6,19.65
2021-04-14,19.67,19.7,19.63,19.65
2021-04-15,19.69,19.72,19.66,19.72
2021-04-16,19.74,19.74,19.68,19.68
2021-04-19,19.71,19.71,19.65,19.67
2021-04-20,19.65,19.68,19.62,19.63
2021-04-21,19.63,19.68,19.63,19.67
