date,open,high,low,close
2023-10-09,26.69,26.77,26.69,26.76
2023-10-10,26.73,26.77,26.71,26.76
2023-10-11,26.74,26.74,26.71,26.73
2023-10-12,26.73,26.73,26.67,26.7
2023-10-13,26.75,26.75,26.67,26.71
2023-10-16,26.71,26.72,26.69,26.69
2023-10-17,26.66,26.67,26.61,26.63
2023-10-18,26.64,26.65,26.6,26.61
2023-10-19,26.6,26.66,26.6,26.64
2023-10-20,26.65,26.7,26.65,26.69
2023-10-23,26.67,26.72,26.64,26.72
2023-10-24,26.73,26.74,26.68,26.71
2023-10-25,26.72,26.72,26.67,26.7
2023-10-26,26.72,26.75,26.71,26.74
2023-10-27,26.72,26.76,26.72,26.76
2023-10-30,26.75,26.75,26.73,26.74
2023-10-31,26.69,26.74,26.69,26.73
2023-11-01,26.69,26.81,26.69,26.81
2023-11-02,26.86,26.86,26.81,26.82
2023-11-03,26.91,26.92,26.88,26.89
2023-11-06,26.89,26.89,26.83,26.84
2023-11-07,26.86,26.88,26.83,26.86
2023-11-08,26.86,26.88,26.83,26.85
2023-11-09,26.86,26.87,26.81,26.81
2023-11-10,26.85,26.86,26.82,26.84
2023-11-13,26.86,26.86,26.82,26.85
2023-11-14,26.91,26.98,26.91,26.97
2023-11-15,26.94,26.97,26.91,26.91
2023-11-16,26.97,26.99,26.95,26.98
2023-11-17,27.0,27.0,26.96,26.98
2023-11-20,26.98,26.99,26.96,26.98
2023-11-21,27.0,27.02,27.0,27.02
2023-11-22,27.02,27.03,27.0,27.02
2023-11-24,27.02,27.02,27.01,27.02
2023-11-27,27.02,27.05,27.02,27.04
2023-11-28,27.07,27.12,27.04,27.11
2023-11-29,27.15,27.18,27.14,27.16
2023-11-30,27.16,27.17,27.13,27.15
2023-12-01,27.15,27.23,27.14,27.23
2023-12-04,27.22,27.22,27.18,27.18
2023-12-05,27.2,27.23,27.18,27.22
2023-12-06,27.23,27.24,27.19,27.2
2023-12-07,27.24,27.25,27.22,27.24
2023-12-08,27.18,27.2,27.17,27.18
2023-12-11,27.17,27.18,27.15,27.17
2023-12-12,27.18,27.21,27.17,27.2
2023-12-13,27.21,27.37,27.21,27.35
2023-12-14,27.41,27.43,27.38,27.39
2023-12-15,27.36,27.39,27.36,27.36
2023-12-18,27.37,27.38,27.37,27.37
2023-12-19,27.39,27.39,27.37,27.37
2023-12-20,27.4,27.42,27.39,27.41
2023-12-21,27.44,27.46,27.43,27.45
2023-12-22,27.49,27.49,27.45,27.46
2023-12-26,27.44,27.47,27.44,27.47
2023-12-27,27.49,27.51,27.47,27.49
2023-12-28,27.5,27.51,27.49,27.5
2023-12-29,27.5,27.53,27.49,27.51
2024-01-02,27.48,27.49,27.46,27.48
2024-01-03,27.49,27.49,27.44,27.46
2024-01-04,27.46,27.46,27.43,27.45
2024-01-05,27.45,27.49,27.4,27.45
2024-01-08,27.49,27.5,27.45,27.48
2024-01-09,27.5,27.5,27.44,27.49
2024-01-10,27.49,27.51,27.49,27.49
2024-01-11,27.52,27.57,27.49,27.56
2024-01-12,27.61,27.64,27.6,27.61
2024-01-16,27.57,27.61,27.56,27.58
2024-01-17,27.56,27.56,27.5,27.53
2024-01-18,27.57,27.57,27.52,27.53
2024-01-19,27.53,27.53,27.5,27.53
2024-01-22,27.53,27.55,27.53,27.54
2024-01-23,27.54,27.55,27.51,27.55
2024-01-24,27.57,27.58,27.53,27.55
2024-01-25,27.57,27.6,27.56,27.6
2024-01-26,27.6,27.6,27.56,27.57
2024-01-29,27.61,27.61,27.59,27.6
2024-01-30,27.62,27.62,27.56,27.59
2024-01-31,27.64,27.66,27.61,27.64
2024-02-01,27.67,27.68,27.63,27.66
2024-02-02,27.61,27.61,27.57,27.61
2024-02-05,27.55,27.58,27.55,27.57
2024-02-06,27.6,27.62,27.56,27.61
2024-02-07,27.63,27.63,27.59,27.59
2024-02-08,27.59,27.6,27.57,27.59
2024-02-09,27.55,27.59,27.55,27.58
2024-02-12,27.6,27.61,27.58,27.61
2024-02-13,27.57,27.57,27.51,27.51
2024-02-14,27.55,27.57,27.54,27.56
2024-02-15,27.61,27.61,27.57,27.59
2024-02-16,27.57,27.57,27.54,27.55
2024-02-20,27.58,27.61,27.58,27.6
2024-02-21,27.6,27.61,27.56,27.58
2024-02-22,27.58,27.6,27.55,27.56
2024-02-23,27.55,27.57,27.55,27.55
2024-02-26,27.55,27.56,27.53,27.54
2024-02-27,27.57,27.57,27.54,27.55
2024-02-28,27.57,27.57,27.54,27.56
2024-02-29,27.56,27.59,27.55,27.56
2024-03-01,27.59,27.63,27.54,27.63
2024-03-04,27.62,27.62,27.59,27.6
2024-03-05,27.63,27.65,27.61,27.63
2024-03-06,27.64,27.66,27.62,27.63
2024-03-07,27.67,27.67,27.65,27.67
2024-03-08,27.7,27.73,27.69,27.7
2024-03-11,27.69,27.7,27.67,27.67
2024-03-12,27.68,27.68,27.65,27.66
2024-03-13,27.67,27.68,27.65,27.65
2024-03-14,27.64,27.65,27.61,27.62
2024-03-15,27.61,27.62,27.6,27.62
2024-03-18,27.65,27.65,27.62,27.63
2024-03-19,27.65,27.67,27.63,27.66
2024-03-20,27.66,27.71,27.65,27.7
2024-03-21,27.71,27.72,27.7,27.7
2024-03-22,27.72,27.73,27.72,27.72
2024-03-25,27.73,27.73,27.7,27.7
2024-03-26,27.69,27.71,27.69,27.7
2024-03-27,27.72,27.74,27.71,27.73
2024-03-28,27.73,27.74,27.72,27.72
2024-04-01,27.7,27.73,27.67,27.69
2024-04-02,27.68,27.72,27.68,27.71
2024-04-03,27.71,27.73,27.69,27.72
2024-04-04,27.74,27.74,27.72,27.72
2024-04-05,27.74,27.74,27.7,27.71
2024-04-08,27.71,27.71,27.68,27.69
2024-04-09,27.72,27.72,27.7,27.72
2024-04-10,27.63,27.64,27.58,27.6
2024-04-11,27.62,27.64,27.59,27.61
2024-04-12,27.65,27.65,27.63,27.64
2024-04-15,27.63,27.63,27.59,27.61
2024-04-16,27.59,27.6,27.57,27.59
2024-04-17,27.63,27.64,27.6,27.61
2024-04-18,27.61,27.62,27.59,27.6
2024-04-19,27.63,27.63,27.61,27.61
2024-04-22,27.64,27.65,27.62,27.64
2024-04-23,27.65,27.69,27.62,27.67
2024-04-24,27.64,27.67,27.64,27.65
2024-04-25,27.63,27.65,27.61,27.65
2024-04-26,27.62,27.69,27.62,27.65
2024-04-29,27.67,27.69,27.66,27.68
2024-04-30,27.65,27.68,27.64,27.66
2024-05-01,27.68,27.72,27.65,27.7
2024-05-02,27.72,27.76,27.71,27.75
2024-05-03,27.82,27.84,27.78,27.81
2024-05-06,27.8,27.82,27.8,27.8
2024-05-07,27.82,27.83,27.79,27.79
2024-05-08,27.8,27.81,27.79,27.81
2024-05-09,27.82,27.83,27.8,27.82
2024-05-10,27.83,27.83,27.79,27.79
2024-05-13,27.81,27.83,27.78,27.78
2024-05-14,27.81,27.82,27.81,27.82
2024-05-15,27.85,27.88,27.85,27.87
2024-05-16,27.87,27.87,27.85,27.85
2024-05-17,27.86,27.86,27.84,27.84
2024-05-20,27.84,27.86,27.84,27.84
2024-05-21,27.86,27.86,27.85,27.85
2024-05-22,27.85,27.85,27.83,27.83
2024-05-23,27.85,27.85,27.8,27.81
2024-05-24,27.83,27.83,27.81,27.82
2024-05-28,27.84,27.85,27.81,27.81
2024-05-29,27.82,27.82,27.79,27.8
2024-05-30,27.83,27.85,27.81,27.84
2024-05-31,27.86,27.88,27.86,27.87
2024-06-03,27.88,27.92,27.88,27.91
2024-06-04,27.93,27.94,27.92,27.93
2024-06-05,27.94,27.95,27.92,27.95
2024-06-06,27.95,27.96,27.94,27.95
2024-06-07,27.93,27.93,27.88,27.89
2024-06-10,27.91,27.91,27.88,27.9
2024-06-11,27.92,27.93,27.9,27.92
2024-06-12,27.99,28.01,27.95,27.95
2024-06-13,27.98,28.0,27.98,27.98
2024-06-14,27.98,27.99,27.97,27.98
2024-06-17,27.98,27.98,27.94,27.95
2024-06-18,28.0,28.0,27.97,27.98
2024-06-20,27.98,27.98,27.96,27.98
2024-06-21,28.0,28.0,27.97,27.99
2024-06-24,27.98,28.0,27.98,27.99
2024-06-25,27.99,28.01,27.97,27.99
2024-06-26,27.98,27.98,27.96,27.97
2024-06-27,27.99,28.0,27.98,27.99
2024-06-28,28.02,28.04,27.98,27.99
2024-07-01,27.99,28.01,27.99,28.0
2024-07-02,28.02,28.03,28.02,28.02
2024-07-03,28.05,28.07,28.04,28.06
2024-07-05,28.11,28.13,28.09,28.13
2024-07-08,28.14,28.14,28.12,28.12
2024-07-09,28.13,28.13,28.1,28.12
2024-07-10,28.14,28.14,28.12,28.12
2024-07-11,28.19,28.19,28.18,28.19
2024-07-12,28.2,28.23,28.19,28.23
2024-07-15,28.23,28.25,28.22,28.23
2024-07-16,28.26,28.26,28.21,28.24
2024-07-17,28.22,28.25,28.21,28.25
2024-07-18,28.23,28.25,28.21,28.22
2024-07-19,28.22,28.22,28.2,28.21
2024-07-22,28.21,28.23,28.19,28.21
2024-07-23,28.22,28.24,28.22,28.22
2024-07-24,28.24,28.26,28.23,28.25
2024-07-25,28.27,28.27,28.23,28.25
2024-07-26,28.28,28.3,28.27,28.29
2024-07-29,28.3,28.31,28.28,28.29
2024-07-30,28.28,28.32,28.28,28.32
2024-07-31,28.35,28.37,28.29,28.37
2024-08-01,28.39,28.4,28.37,28.4
2024-08-02,28.47,28.52,28.42,28.51
2024-08-05,28.53,28.55,28.47,28.48
2024-08-06,28.49,28.49,28.45,28.46
2024-08-07,28.47,28.47,28.44,28.44
2024-08-08,28.35,28.45,28.35,28.45
2024-08-09,28.47,28.48,28.44,28.45
2024-08-12,28.47,28.48,28.45,28.47
2024-08-13,28.52,28.55,28.51,28.53
2024-08-14,28.54,28.55,28.53,28.54
2024-08-15,28.47,28.49,28.47,28.48
2024-08-16,28.52,28.52,28.47,28.51
2024-08-19,28.5,28.52,28.5,28.52
2024-08-20,28.54,28.55,28.52,28.53
2024-08-21,28.57,28.61,28.55,28.59
2024-08-22,28.59,28.59,28.54,28.56
2024-08-23,28.59,28.63,28.57,28.62
2024-08-26,28.56,28.65,28.56,28.62
2024-08-27,28.62,28.65,28.61,28.65
2024-08-28,28.66,28.66,28.63,28.65
2024-08-29,28.64,28.65,28.62,28.63
2024-08-30,28.64,28.66,28.63,28.65
2024-09-03,28.66,28.67,28.65,28.65
2024-09-04,28.67,28.72,28.67,28.71
2024-09-05,28.74,28.75,28.71,28.74
2024-09-06,28.76,28.81,28.74,28.78
2024-09-09,28.78,28.79,28.75,28.77
2024-09-10,28.78,28.81,28.78,28.81
2024-09-11,28.79,28.82,28.77,28.8
2024-09-12,28.79,28.82,28.77,28.8
2024-09-13,28.84,28.86,28.82,28.84
2024-09-16,28.87,28.88,28.85,28.87
2024-09-17,28.86,28.87,28.84,28.85
2024-09-18,28.85,28.9,28.82,28.84
2024-09-19,28.87,28.89,28.86,28.88
2024-09-20,28.86,28.91,28.86,28.91
2024-09-23,28.92,28.93,28.88,28.91
2024-09-24,28.91,28.93,28.88,28.93
2024-09-25,28.93,28.93,28.89,28.9
2024-09-26,28.9,28.9,28.86,28.88
2024-09-27,28.91,28.93,28.89,28.93
2024-09-30,28.9,28.91,28.88,28.9
2024-10-01,28.93,28.93,28.9,28.91
2024-10-02,28.9,28.93,28.89,28.93
2024-10-03,28.92,28.92,28.87,28.88
2024-10-04,28.84,28.84,28.79,28.8
2024-10-07,28.76,28.78,28.76,28.77
2024-10-08,28.79,28.79,28.76,28.79
2024-10-09,28.78,28.79,28.77,28.77
2024-10-10,28.79,28.8,28.77,28.8
2024-10-11,28.82,28.83,28.8,28.83
2024-10-14,28.81,28.82,28.79,28.81
2024-10-15,28.82,28.84,28.81,28.83
2024-10-16,28.84,28.85,28.83,28.84
2024-10-17,28.83,28.83,28.81,28.82
2024-10-18,28.8,28.85,28.8,28.82
2024-10-21,28.81,28.82,28.79,28.79
2024-10-22,28.81,28.81,28.78,28.79
2024-10-23,28.8,28.8,28.76,28.78
2024-10-24,28.78,28.8,28.78,28.79
2024-10-25,28.8,28.81,28.77,28.79
2024-10-28,28.81,28.81,28.76,28.78
2024-10-29,28.74,28.79,28.74,28.79
2024-10-30,28.79,28.8,28.75,28.76
2024-10-31,28.74,28.77,28.73,28.76
2024-11-01,28.79,28.8,28.74,28.75
2024-11-04,28.79,28.79,28.77,28.77
2024-11-05,28.79,28.79,28.75,28.79
2024-11-06,28.75,28.79,28.74,28.77
2024-11-07,28.79,28.83,28.78,28.82
2024-11-08,28.84,28.84,28.79,28.81
2024-11-11,28.79,28.8,28.78,28.8
2024-11-12,28.78,28.79,28.76,28.77
2024-11-13,28.79,28.83,28.78,28.79
2024-11-14,28.82,28.82,28.74,28.76
2024-11-15,28.74,28.8,28.74,28.78
2024-11-18,28.78,28.8,28.78,28.79
2024-11-19,28.79,28.89,28.79,28.82
