date,open,high,low,close
2023-10-09,23.49,23.79,23.36,23.78
2023-10-10,23.56,23.88,23.47,23.76
2023-10-11,24.05,24.22,24.0,24.22
2023-10-12,24.1,24.14,23.58,23.62
2023-10-13,24.01,24.05,23.88,24.0
2023-10-16,23.63,23.69,23.57,23.64
2023-10-17,23.28,23.48,23.19,23.38
2023-10-18,23.16,23.25,23.02,23.18
2023-10-19,23.07,23.2,22.76,22.78
2023-10-20,22.85,22.98,22.79,22.89
2023-10-23,22.79,23.33,22.71,23.18
2023-10-24,23.22,23.42,23.11,23.4
2023-10-25,23.1,23.11,22.87,22.95
2023-10-26,22.98,23.3,22.95,23.26
2023-10-27,23.13,23.23,23.03,23.21
2023-10-30,23.05,23.21,22.91,23.11
2023-10-31,23.19,23.29,22.99,23.01
2023-11-01,23.2,23.48,23.19,23.46
2023-11-02,23.88,24.04,23.76,23.95
2023-11-03,24.41,24.49,24.11,24.13
2023-11-06,23.99,24.02,23.86,23.92
2023-11-07,24.12,24.35,24.12,24.24
2023-11-08,24.33,24.62,24.32,24.6
2023-11-09,24.45,24.46,23.89,24.09
2023-11-10,24.27,24.31,24.13,24.19
2023-11-13,24.0,24.19,23.92,24.16
2023-11-14,24.73,24.76,24.54,24.67
2023-11-15,24.48,24.5,24.28,24.35
2023-11-16,24.54,24.72,24.53,24.62
2023-11-17,24.75,24.82,24.62,24.72
2023-11-20,24.62,24.88,24.61,24.85
2023-11-21,24.85,24.92,24.69,24.83
2023-11-22,24.99,25.04,24.79,24.92
2023-11-24,24.72,24.76,24.65,24.65
2023-11-27,24.77,25.02,24.75,25.02
2023-11-28,24.92,25.09,24.9,25.07
2023-11-29,25.23,25.38,25.15,25.36
2023-11-30,25.2,25.24,25.0,25.1
2023-12-01,25.1,25.56,25.07,25.52
2023-12-04,25.4,25.5,25.31,25.46
2023-12-05,25.71,25.95,25.68,25.93
2023-12-06,26.07,26.31,26.01,26.25
2023-12-07,26.08,26.31,26.05,26.12
2023-12-08,25.89,25.96,25.76,25.91
2023-12-11,25.79,25.89,25.65,25.85
2023-12-12,25.82,26.0,25.77,25.94
2023-12-13,26.08,26.56,26.05,26.5
2023-12-14,26.8,27.15,26.76,27.14
2023-12-15,27.06,27.22,27.04,27.18
2023-12-18,26.98,27.0,26.89,26.98
2023-12-19,27.1,27.2,27.05,27.09
2023-12-20,27.16,27.33,27.04,27.3
2023-12-21,27.35,27.39,27.09,27.15
2023-12-22,27.26,27.27,26.98,27.07
2023-12-26,27.06,27.16,27.06,27.11
2023-12-27,27.39,27.58,27.32,27.57
2023-12-28,27.47,27.59,27.33,27.39
2023-12-29,27.23,27.39,27.13,27.18
2024-01-02,27.0,27.1,26.95,27.01
2024-01-03,26.79,27.16,26.74,27.14
2024-01-04,26.8,26.86,26.7,26.76
2024-01-05,26.56,26.87,26.49,26.52
2024-01-08,26.5,26.8,26.48,26.75
2024-01-09,26.62,26.75,26.6,26.64
2024-01-10,26.7,26.73,26.5,26.5
2024-01-11,26.51,26.69,26.4,26.65
2024-01-12,26.69,26.82,26.57,26.65
2024-01-16,26.43,26.46,26.13,26.21
2024-01-17,26.15,26.24,26.03,26.16
2024-01-18,26.1,26.13,25.87,25.94
2024-01-19,25.91,26.04,25.8,26.01
2024-01-22,26.21,26.27,26.09,26.16
2024-01-23,25.98,26.01,25.86,25.98
2024-01-24,26.13,26.15,25.77,25.83
2024-01-25,25.99,26.06,25.9,26.0
2024-01-26,25.97,26.02,25.86,25.94
2024-01-29,26.08,26.3,26.03,26.22
2024-01-30,26.37,26.43,26.18,26.43
2024-01-31,26.57,26.75,26.52,26.68
2024-02-01,26.96,27.28,26.88,27.14
2024-02-02,26.64,26.73,26.49,26.6
2024-02-05,26.23,26.29,26.06,26.11
2024-02-06,26.13,26.37,26.12,26.33
2024-02-07,26.22,26.39,26.2,26.23
2024-02-08,26.07,26.15,25.98,26.07
2024-02-09,26.0,26.06,25.96,26.02
2024-02-12,26.03,26.1,25.93,26.05
2024-02-13,25.76,25.81,25.61,25.62
2024-02-14,25.61,25.81,25.59,25.74
2024-02-15,25.94,25.99,25.8,25.86
2024-02-16,25.65,25.74,25.62,25.72
2024-02-20,25.73,25.85,25.72,25.75
2024-02-21,25.75,25.78,25.55,25.6
2024-02-22,25.62,25.73,25.6,25.68
2024-02-23,25.71,26.02,25.71,26.0
2024-02-26,26.01,26.02,25.8,25.91
2024-02-27,25.84,25.89,25.72,25.76
2024-02-28,25.79,25.92,25.75,25.91
2024-02-29,25.97,26.1,25.97,26.06
2024-03-01,25.96,26.24,25.85,26.21
2024-03-04,26.04,26.15,26.03,26.12
2024-03-05,26.42,26.55,26.37,26.49
2024-03-06,26.51,26.68,26.49,26.63
2024-03-07,26.74,26.75,26.53,26.64
2024-03-08,26.61,26.67,26.54,26.61
2024-03-11,26.65,26.67,26.5,26.59
2024-03-12,26.43,26.45,26.32,26.36
2024-03-13,26.28,26.34,26.21,26.26
2024-03-14,26.07,26.07,25.85,25.88
2024-03-15,25.88,25.92,25.82,25.87
2024-03-18,25.8,25.87,25.73,25.79
2024-03-19,25.84,25.95,25.8,25.88
2024-03-20,25.91,26.11,25.72,25.88
2024-03-21,25.98,26.02,25.84,25.93
2024-03-22,26.22,26.22,26.11,26.17
2024-03-25,26.1,26.1,25.99,26.05
2024-03-26,26.05,26.13,25.98,26.11
2024-03-27,26.18,26.34,26.15,26.33
2024-03-28,26.27,26.42,26.24,26.33
2024-04-01,26.06,26.06,25.84,25.85
2024-04-02,25.6,25.76,25.54,25.75
2024-04-03,25.52,25.73,25.47,25.72
2024-04-04,25.88,25.92,25.73,25.9
2024-04-05,25.64,25.77,25.57,25.59
2024-04-08,25.48,25.62,25.48,25.57
2024-04-09,25.7,25.82,25.69,25.79
2024-04-10,25.5,25.52,25.19,25.26
2024-04-11,25.29,25.31,25.06,25.14
2024-04-12,25.34,25.43,25.26,25.28
2024-04-15,24.98,24.99,24.8,24.91
2024-04-16,24.68,24.82,24.62,24.77
2024-04-17,24.9,25.04,24.79,25.02
2024-04-18,24.99,25.0,24.83,24.89
2024-04-19,25.03,25.03,24.91,24.96
2024-04-22,24.85,24.97,24.84,24.94
2024-04-23,24.86,25.08,24.81,24.96
2024-04-24,24.84,24.85,24.68,24.79
2024-04-25,24.55,24.67,24.51,24.63
2024-04-26,24.76,24.85,24.73,24.76
2024-04-29,24.87,24.96,24.82,24.94
2024-04-30,24.8,24.89,24.72,24.77
2024-05-01,24.93,25.09,24.83,24.92
2024-05-02,24.84,25.07,24.8,25.04
2024-05-03,25.31,25.36,25.13,25.26
2024-05-06,25.29,25.39,25.24,25.36
2024-05-07,25.56,25.64,25.47,25.52
