date,open,high,low,close
2023-10-09,416.81,421.98,416.25,421.4
2023-10-10,422.03,426.21,421.63,423.59
2023-10-11,424.68,425.58,422.27,425.33
2023-10-12,425.94,426.32,420.37,422.74
2023-10-13,424.25,425.46,419.05,420.63
2023-10-16,422.89,426.13,422.65,425.06
2023-10-17,421.94,427.1,421.56,425.04
2023-10-18,423.25,424.22,418.28,419.37
2023-10-19,420.07,421.92,415.0,415.69
2023-10-20,415.25,415.79,410.47,410.58
2023-10-23,409.03,413.76,407.28,409.87
2023-10-24,411.99,414.12,410.14,412.96
2023-10-25,411.26,411.29,406.51,407.03
2023-10-26,405.96,406.82,401.23,402.16
2023-10-27,403.76,404.16,398.9,400.33
2023-10-30,403.12,406.18,401.84,405.12
2023-10-31,405.72,407.99,403.78,407.67
2023-11-01,408.64,412.83,408.09,412.01
2023-11-02,415.83,420.06,415.81,419.91
2023-11-03,422.2,425.3,422.1,423.74
2023-11-06,424.5,425.16,422.76,424.71
2023-11-07,424.71,426.57,423.56,425.92
2023-11-08,426.51,427.05,423.92,426.24
2023-11-09,427.38,427.42,422.48,422.91
2023-11-10,425.0,429.82,423.49,429.51
2023-11-13,428.16,430.21,427.38,429.1
2023-11-14,435.07,438.72,434.85,437.43
2023-11-15,438.75,440.01,437.49,438.35
2023-11-16,437.9,439.21,436.83,438.89
2023-11-17,438.9,440.05,437.97,439.43
2023-11-20,439.17,443.66,439.17,442.82
2023-11-21,441.76,442.22,440.56,441.85
2023-11-22,443.53,444.88,442.45,443.56
2023-11-24,443.61,444.03,443.27,443.83
2023-11-27,443.2,444.03,442.63,443.03
2023-11-28,442.64,444.78,442.08,443.47
2023-11-29,445.63,446.77,442.76,443.16
2023-11-30,444.02,445.25,441.92,444.9
2023-12-01,444.27,448.07,443.69,447.53
2023-12-04,444.12,445.43,442.89,445.19
2023-12-05,443.79,446.06,443.41,445.1
2023-12-06,447.25,447.28,442.87,443.3
2023-12-07,445.38,447.34,444.8,446.69
2023-12-08,445.94,449.14,445.69,448.61
2023-12-11,448.12,450.53,447.9,450.35
2023-12-12,450.0,452.51,449.0,452.41
2023-12-13,452.79,458.9,452.43,458.65
2023-12-14,460.61,461.8,457.42,460.12
2023-12-15,459.53,460.6,458.49,459.36
2023-12-18,460.99,462.93,460.8,461.95
2023-12-19,462.49,464.83,462.42,464.76
2023-12-20,463.89,465.79,457.88,458.31
2023-12-21,461.31,462.93,458.88,462.66
2023-12-22,463.8,465.28,461.68,463.59
2023-12-26,464.01,466.46,463.92,465.55
2023-12-27,465.34,466.54,464.8,466.39
2023-12-28,466.71,467.41,466.14,466.57
2023-12-29,466.38,466.9,463.25,465.22
2024-01-02,462.13,463.61,460.5,462.61
2024-01-03,460.43,461.18,458.23,458.83
2024-01-04,458.35,460.96,457.13,457.36
2024-01-05,457.55,460.45,456.52,457.98
2024-01-08,458.48,464.67,458.35,464.52
2024-01-09,461.87,464.84,461.34,463.82
2024-01-10,464.09,467.31,463.81,466.44
2024-01-11,467.45,467.97,462.23,466.23
2024-01-12,467.69,468.44,465.14,466.56
2024-01-16,465.16,466.49,463.01,464.84
2024-01-17,461.8,462.75,459.89,462.26
2024-01-18,463.93,466.93,462.39,466.37
2024-01-19,467.51,472.47,466.81,472.18
2024-01-22,473.73,474.91,472.53,473.18
2024-01-23,473.74,474.81,472.63,474.56
2024-01-24,477.43,478.39,474.71,475.08
2024-01-25,477.2,477.94,475.08,477.66
2024-01-26,477.23,478.73,476.21,477.06
2024-01-29,477.37,480.98,476.82,480.84
2024-01-30,480.14,481.18,479.7,480.46
2024-01-31,478.26,478.7,472.62,472.62
2024-02-01,474.34,478.84,473.52,478.81
2024-02-02,479.26,485.51,478.91,483.85
2024-02-05,483.22,483.67,479.82,482.09
2024-02-06,483.04,483.82,481.6,483.49
2024-02-07,485.74,487.94,484.84,487.52
2024-02-08,487.52,488.12,486.7,487.74
2024-02-09,488.26,491.0,487.9,490.56
2024-02-12,490.53,492.81,489.62,490.34
2024-02-13,484.04,485.32,480.29,483.59
2024-02-14,486.2,488.47,483.9,487.98
2024-02-15,488.7,491.53,488.2,491.35
2024-02-16,491.03,492.19,488.16,488.9
2024-02-20,487.15,487.82,483.95,486.21
2024-02-21,484.92,486.81,483.08,486.65
2024-02-22,493.3,497.69,492.34,496.72
2024-02-23,498.42,499.3,496.33,497.06
2024-02-26,497.51,497.94,495.12,495.24
2024-02-27,495.93,496.39,494.03,496.16
2024-02-28,494.6,496.09,494.24,495.51
2024-02-29,497.28,498.91,494.62,497.29
2024-03-01,498.17,502.39,497.76,501.96
2024-03-04,501.16,503.28,501.13,501.42
2024-03-05,499.4,499.85,494.19,496.41
2024-03-06,499.71,501.19,497.62,498.92
2024-03-07,502.21,504.93,501.3,503.88
2024-03-08,504.51,507.22,500.27,500.85
2024-03-11,499.64,501.01,497.7,500.42
2024-03-12,502.55,506.39,500.01,505.8
2024-03-13,506.13,506.3,503.56,505.01
2024-03-14,506.0,506.15,500.94,504.01
2024-03-15,500.94,502.39,499.11,500.55
2024-03-18,504.66,506.1,503.11,503.53
2024-03-19,502.83,506.61,501.82,506.33
2024-03-20,506.38,511.15,505.71,511.01
2024-03-21,513.84,514.57,512.41,512.7
2024-03-22,512.59,513.1,511.49,511.73
2024-03-25,510.33,511.47,510.15,510.31
2024-03-26,511.74,512.09,508.97,509.37
2024-03-27,512.22,513.68,510.03,513.65
2024-03-28,513.7,515.06,513.27,513.55
2024-04-01,514.3,514.84,511.49,512.66
2024-04-02,508.82,509.54,507.08,509.4
2024-04-03,508.3,511.47,508.24,509.96
2024-04-04,514.0,514.34,503.42,503.73
2024-04-05,505.07,510.97,504.66,509.0
2024-04-08,509.73,510.71,508.47,509.28
2024-04-09,511.03,511.27,504.99,509.87
2024-04-10,504.14,506.77,502.77,504.76
2024-04-11,506.3,510.03,502.76,508.57
2024-04-12,505.04,506.43,499.82,501.55
2024-04-15,505.74,505.92,494.42,495.27
2024-04-16,495.75,497.28,493.07,494.37
2024-04-17,496.84,497.01,490.04,491.44
2024-04-18,492.85,494.96,489.49,490.43
2024-04-19,490.35,491.35,484.87,486.15
2024-04-22,488.78,493.24,486.41,490.63
2024-04-23,492.66,496.88,492.1,496.45
2024-04-24,497.34,498.14,493.97,496.21
2024-04-25,490.11,495.09,488.44,494.33
2024-04-26,497.15,500.6,496.5,499.01
2024-04-29,500.8,501.46,498.02,500.78
2024-04-30,499.29,500.29,492.85,492.85
2024-05-01,492.26,498.94,490.76,491.24
2024-05-02,494.95,496.68,490.46,495.84
2024-05-03,501.83,503.22,499.31,501.99
