date,open,high,low,close
2023-10-09,68.68,69.17,68.63,69.17
2023-10-10,68.87,69.29,68.79,69.11
2023-10-11,69.37,69.4,69.14,69.35
2023-10-12,69.3,69.32,68.78,68.88
2023-10-13,69.27,69.33,69.07,69.14
2023-10-16,68.85,68.95,68.78,68.81
2023-10-17,68.31,68.42,68.06,68.22
2023-10-18,68.11,68.12,67.77,67.79
2023-10-19,67.79,67.9,67.47,67.5
2023-10-20,67.61,67.83,67.6,67.81
2023-10-23,67.58,68.26,67.55,68.19
2023-10-24,68.24,68.38,68.12,68.36
2023-10-25,68.13,68.15,67.83,67.91
2023-10-26,67.94,68.34,67.94,68.33
2023-10-27,68.27,68.36,68.12,68.27
2023-10-30,68.06,68.22,67.97,68.1
2023-10-31,68.15,68.35,68.07,68.08
2023-11-01,68.21,68.88,68.21,68.87
2023-11-02,69.31,69.45,69.23,69.38
2023-11-03,70.06,70.25,69.78,69.8
2023-11-06,69.65,69.66,69.43,69.48
2023-11-07,69.66,69.96,69.62,69.85
2023-11-08,69.91,70.11,69.89,70.03
2023-11-09,70.03,70.03,69.53,69.55
2023-11-10,69.81,69.89,69.67,69.78
2023-11-13,69.63,69.85,69.54,69.8
2023-11-14,70.7,70.89,70.68,70.77
2023-11-15,70.57,70.58,70.36,70.51
2023-11-16,70.79,70.99,70.78,70.98
2023-11-17,71.08,71.17,70.94,71.1
2023-11-20,71.05,71.31,71.0,71.26
2023-11-21,71.34,71.39,71.21,71.33
2023-11-22,71.45,71.53,71.26,71.48
2023-11-24,71.23,71.34,71.23,71.23
2023-11-27,71.36,71.68,71.3,71.66
2023-11-28,71.62,71.97,71.53,71.95
2023-11-29,72.23,72.44,72.19,72.35
2023-11-30,72.29,72.29,71.97,72.13
2023-12-01,72.17,72.77,72.08,72.74
2023-12-04,72.54,72.61,72.33,72.49
2023-12-05,72.64,72.92,72.63,72.81
2023-12-06,72.98,73.08,72.88,72.98
2023-12-07,72.92,73.18,72.88,73.04
2023-12-08,72.68,72.82,72.58,72.7
2023-12-11,72.58,72.7,72.44,72.67
2023-12-12,72.73,73.03,72.6,72.95
2023-12-13,73.2,74.16,73.14,74.04
2023-12-14,74.56,74.79,74.43,74.6
2023-12-15,74.57,74.62,74.41,74.5
2023-12-18,74.47,74.47,74.34,74.36
2023-12-19,74.53,74.62,74.45,74.49
2023-12-20,74.69,74.76,74.47,74.71
2023-12-21,74.94,74.96,74.64,74.78
2023-12-22,74.96,74.96,74.68,74.77
2023-12-26,74.77,74.93,74.73,74.89
2023-12-27,75.16,75.45,75.08,75.44
2023-12-28,75.37,75.41,75.19,75.25
2023-12-29,75.1,75.26,75.04,75.11
2024-01-02,74.75,74.84,74.65,74.72
2024-01-03,74.37,74.66,74.23,74.61
2024-01-04,74.26,74.39,74.19,74.28
2024-01-05,74.14,74.57,74.03,74.07
2024-01-08,74.2,74.52,74.13,74.39
2024-01-09,74.32,74.57,74.25,74.46
2024-01-10,74.69,74.74,74.33,74.4
2024-01-11,74.57,74.87,74.4,74.79
2024-01-12,75.07,75.19,74.82,75.01
2024-01-16,74.79,74.79,74.34,74.45
2024-01-17,74.27,74.3,74.05,74.23
2024-01-18,74.32,74.36,74.12,74.17
2024-01-19,74.16,74.2,73.91,74.2
2024-01-22,74.48,74.48,74.31,74.36
2024-01-23,74.23,74.27,74.11,74.21
