date,open,high,low,close
2023-10-09,62.88,63.58,62.64,63.58
2023-10-10,63.17,63.96,62.94,63.62
2023-10-11,64.21,64.4,63.87,64.32
2023-10-12,64.27,64.3,63.0,63.15
2023-10-13,64.0,64.12,63.61,63.84
2023-10-16,63.31,63.37,63.07,63.12
2023-10-17,62.32,62.84,62.11,62.54
2023-10-18,62.06,62.16,61.6,61.76
2023-10-19,61.63,61.89,60.87,60.9
2023-10-20,60.99,61.25,60.88,61.16
2023-10-23,60.94,62.19,60.73,61.85
2023-10-24,62.04,62.51,61.89,62.45
2023-10-25,61.87,61.9,61.32,61.56
2023-10-26,61.61,62.25,61.42,62.22
2023-10-27,62.02,62.12,61.61,61.91
2023-10-30,61.68,61.9,61.3,61.65
2023-10-31,61.91,62.15,61.51,61.52
2023-11-01,62.07,62.82,61.98,62.74
2023-11-02,63.73,64.08,63.56,63.98
2023-11-03,65.06,65.24,64.25,64.28
2023-11-06,64.07,64.14,63.7,63.8
2023-11-07,64.22,64.83,64.17,64.6
2023-11-08,64.85,65.3,64.83,65.2
2023-11-09,65.03,65.03,63.9,64.23
2023-11-10,64.83,64.86,64.53,64.74
2023-11-13,64.28,64.74,64.16,64.64
2023-11-14,66.15,66.24,65.75,65.96
2023-11-15,65.61,65.66,65.19,65.46
2023-11-16,65.86,66.25,65.83,66.19
2023-11-17,66.63,66.77,66.33,66.57
2023-11-20,66.46,67.07,66.43,67.0
2023-11-21,66.95,67.06,66.64,66.97
2023-11-22,67.49,67.49,67.01,67.36
2023-11-24,67.0,67.13,66.83,66.83
2023-11-27,67.18,67.68,66.96,67.65
2023-11-28,67.47,67.96,67.34,67.93
2023-11-29,68.4,68.82,68.26,68.76
2023-11-30,68.53,68.57,68.08,68.43
2023-12-01,68.45,69.48,68.24,69.41
2023-12-04,69.08,69.25,68.79,69.12
2023-12-05,69.54,70.1,69.45,70.03
2023-12-06,70.33,70.75,70.2,70.53
2023-12-07,70.2,70.81,70.2,70.42
2023-12-08,69.92,70.25,69.8,70.0
2023-12-11,69.82,69.94,69.45,69.9
2023-12-12,69.89,70.51,69.73,70.48
2023-12-13,70.9,72.19,70.7,72.05
2023-12-14,72.94,73.52,72.76,73.28
2023-12-15,73.12,73.28,72.92,73.17
2023-12-18,72.87,72.88,72.54,72.63
2023-12-19,72.95,73.11,72.66,72.78
2023-12-20,72.96,73.1,72.61,73.01
2023-12-21,73.26,73.29,72.65,72.87
2023-12-22,73.06,73.11,72.53,72.71
2023-12-26,72.71,72.98,72.7,72.89
2023-12-27,73.5,73.97,73.32,73.93
2023-12-28,73.83,73.98,73.47,73.58
2023-12-29,73.2,73.5,72.98,73.1
2024-01-02,72.45,72.66,72.33,72.4
2024-01-03,71.65,72.31,71.5,72.22
2024-01-04,71.52,71.86,71.46,71.64
2024-01-05,71.32,72.1,71.17,71.23
2024-01-08,71.39,72.12,71.32,72.1
2024-01-09,71.92,72.34,71.87,72.18
2024-01-10,72.6,72.67,71.98,72.04
2024-01-11,72.17,72.73,71.82,72.59
2024-01-12,72.84,73.11,72.45,72.75
2024-01-16,72.13,72.23,71.41,71.59
2024-01-17,71.43,71.72,71.13,71.59
2024-01-18,71.67,71.74,71.06,71.29
2024-01-19,71.23,71.5,70.89,71.47
2024-01-22,71.96,71.99,71.55,71.68
2024-01-23,71.4,71.4,70.98,71.25
2024-01-24,71.76,71.76,70.96,71.05
2024-01-25,71.67,71.78,71.36,71.67
2024-01-26,71.68,71.77,71.37,71.46
2024-01-29,71.83,72.09,71.62,71.92
2024-01-30,72.18,72.36,71.75,72.31
2024-01-31,72.62,72.98,72.25,72.51
2024-02-01,73.22,73.67,72.91,73.37
2024-02-02,72.24,72.55,72.12,72.45
2024-02-05,71.7,71.73,71.23,71.46
2024-02-06,71.55,72.08,71.49,71.96
2024-02-07,71.6,71.99,71.48,71.6
2024-02-08,71.25,71.3,70.9,71.0
2024-02-09,70.83,70.97,70.71,70.87
2024-02-12,70.87,70.91,70.55,70.8
2024-02-13,69.98,70.19,69.7,69.84
2024-02-14,69.94,70.27,69.86,70.24
2024-02-15,70.74,70.8,70.35,70.59
2024-02-16,70.12,70.39,70.02,70.3
2024-02-20,70.43,70.64,70.31,70.56
2024-02-21,70.58,70.58,70.13,70.26
2024-02-22,70.49,70.63,70.34,70.52
2024-02-23,70.58,71.03,70.49,70.86
2024-02-26,70.98,70.98,70.35,70.6
2024-02-27,70.53,70.75,70.38,70.44
2024-02-28,70.36,70.48,70.24,70.37
2024-02-29,70.62,70.97,70.36,70.55
2024-03-01,70.34,71.13,69.98,71.03
2024-03-04,70.7,71.03,70.68,70.85
2024-03-05,71.43,71.79,71.28,71.49
2024-03-06,71.68,72.03,71.66,71.79
2024-03-07,72.18,72.18,71.68,71.93
2024-03-08,72.07,72.24,71.9,71.97
2024-03-11,72.05,72.29,71.9,72.1
2024-03-12,71.9,72.01,71.6,71.76
2024-03-13,71.75,71.94,71.58,71.63
2024-03-14,71.28,71.29,70.73,70.84
2024-03-15,70.94,71.04,70.72,70.97
2024-03-18,70.93,71.01,70.66,70.69
2024-03-19,70.77,71.12,70.72,70.89
2024-03-20,71.02,71.22,70.44,70.99
2024-03-21,71.26,71.45,71.0,71.17
2024-03-22,71.9,71.9,71.47,71.57
2024-03-25,71.34,71.49,71.11,71.2
2024-03-26,71.26,71.31,71.02,71.22
2024-03-27,71.23,71.91,71.23,71.9
2024-03-28,71.87,72.21,71.75,71.92
2024-04-01,71.29,71.39,70.79,70.85
2024-04-02,70.29,70.74,70.03,70.7
2024-04-03,70.34,70.85,70.12,70.67
2024-04-04,71.08,71.09,70.6,70.77
2024-04-05,70.45,70.69,70.27,70.33
2024-04-08,70.22,70.67,70.22,70.5
2024-04-09,70.93,71.09,70.8,71.04
2024-04-10,70.36,70.37,69.5,69.64
2024-04-11,69.67,69.9,69.18,69.42
2024-04-12,69.83,69.87,69.57,69.58
2024-04-15,69.24,69.25,68.28,68.4
2024-04-16,68.17,68.25,67.71,68.12
2024-04-17,68.64,68.82,68.38,68.67
2024-04-18,68.85,68.85,68.31,68.49
2024-04-19,68.92,68.92,68.47,68.6
2024-04-22,68.55,68.78,68.46,68.72
2024-04-23,68.68,69.25,68.5,68.88
2024-04-24,68.65,68.65,68.08,68.4
2024-04-25,67.8,68.17,67.58,68.14
2024-04-26,68.54,68.7,68.45,68.52
2024-04-29,68.89,68.98,68.65,68.95
2024-04-30,68.69,68.77,68.28,68.39
2024-05-01,68.61,69.3,68.5,68.79
2024-05-02,68.72,69.33,68.63,69.28
2024-05-03,69.93,70.2,69.54,69.88
2024-05-06,70.05,70.22,69.95,70.21
2024-05-07,70.57,70.7,70.22,70.33
2024-05-08,70.01,70.23,70.0,70.07
2024-05-09,69.86,70.35,69.83,70.2
2024-05-10,70.1,70.1,69.81,69.94
2024-05-13,70.26,70.26,69.94,69.96
2024-05-14,70.17,70.36,70.07,70.22
2024-05-15,70.96,71.29,70.81,71.12
2024-05-16,71.34,71.34,70.92,71.01
2024-05-17,70.81,70.95,70.66,70.73
2024-05-20,70.59,70.73,70.54,70.65
2024-05-21,70.97,70.99,70.75,70.79
2024-05-22,70.52,70.87,70.52,70.83
2024-05-23,70.87,70.93,70.22,70.35
2024-05-24,70.42,70.65,70.28,70.6
2024-05-28,70.5,70.66,69.83,69.94
2024-05-29,69.31,69.46,69.1,69.31
2024-05-30,69.83,69.98,69.67,69.92
2024-05-31,70.4,70.49,70.13,70.41
2024-06-03,70.8,71.13,70.66,71.13
2024-06-04,71.48,71.67,71.24,71.56
2024-06-05,71.83,71.96,71.31,71.95
2024-06-06,71.71,71.91,71.66,71.83
2024-06-07,71.01,71.15,70.82,70.9
2024-06-10,70.63,70.7,70.52,70.63
2024-06-11,70.61,71.14,70.59,71.07
2024-06-12,72.01,72.3,71.55,71.6
2024-06-13,71.99,72.28,71.72,72.14
2024-06-14,72.16,72.39,72.07,72.31
2024-06-17,71.59,71.85,71.52,71.77
