date,open,high,low,close
2023-10-09,53.62,54.04,53.52,54.0
2023-10-10,54.69,55.05,54.64,54.84
2023-10-11,55.27,55.34,54.85,55.21
2023-10-12,55.13,55.16,54.38,54.58
2023-10-13,54.47,54.58,53.93,54.08
2023-10-16,54.29,54.61,54.18,54.58
2023-10-17,54.03,54.79,54.01,54.52
2023-10-18,53.99,54.03,53.45,53.52
2023-10-19,53.33,53.62,52.96,53.08
2023-10-20,52.86,52.97,52.55,52.57
2023-10-23,52.39,53.01,52.19,52.68
2023-10-24,52.7,52.93,52.6,52.88
2023-10-25,52.61,52.87,52.31,52.41
2023-10-26,52.44,52.53,52.0,52.18
2023-10-27,52.41,52.43,51.71,51.82
2023-10-30,52.52,52.65,52.33,52.63
2023-10-31,52.66,52.84,52.42,52.72
2023-11-01,52.76,53.1,52.54,53.08
2023-11-02,54.2,54.29,53.94,54.24
2023-11-03,54.72,54.93,54.54,54.69
2023-11-06,54.73,54.8,54.41,54.51
2023-11-07,54.27,54.42,54.12,54.27
2023-11-08,54.5,54.7,54.34,54.53
2023-11-09,55.01,55.13,54.49,54.52
2023-11-10,54.46,54.79,54.01,54.78
2023-11-13,54.52,54.98,54.45,54.92
2023-11-14,56.05,56.62,56.05,56.54
2023-11-15,56.65,56.8,56.5,56.53
2023-11-16,56.41,56.66,56.23,56.41
2023-11-17,56.96,57.2,56.81,57.19
2023-11-20,57.19,57.56,57.18,57.45
2023-11-21,57.37,57.42,57.11,57.21
2023-11-22,57.23,57.32,56.97,57.3
2023-11-24,57.59,57.92,57.57,57.91
2023-11-27,57.75,57.82,57.57,57.73
2023-11-28,57.58,57.89,57.5,57.73
2023-11-29,58.0,58.21,57.82,58.0
2023-11-30,57.9,58.03,57.68,57.87
2023-12-01,57.82,58.52,57.82,58.42
2023-12-04,57.94,58.19,57.84,58.1
2023-12-05,58.03,58.22,57.92,58.04
2023-12-06,58.44,58.54,58.03,58.05
2023-12-07,58.15,58.37,57.94,58.26
2023-12-08,58.24,58.65,58.19,58.58
2023-12-11,58.46,58.7,58.42,58.66
2023-12-12,58.61,58.79,58.42,58.77
2023-12-13,58.86,59.61,58.5,59.59
2023-12-14,60.12,60.51,59.95,60.28
2023-12-15,59.86,60.01,59.57,59.61
2023-12-18,59.91,59.92,59.64,59.79
2023-12-19,60.12,60.43,60.11,60.41
2023-12-20,60.24,60.48,59.69,59.7
2023-12-21,60.39,60.6,60.16,60.59
2023-12-22,60.72,60.86,60.44,60.63
2023-12-26,60.77,61.11,60.72,61.01
2023-12-27,61.01,61.41,61.01,61.35
2023-12-28,61.15,61.29,60.9,60.93
2023-12-29,61.06,61.24,60.85,60.99
2024-01-02,60.32,60.5,60.16,60.22
2024-01-03,59.56,59.87,59.4,59.71
2024-01-04,59.82,60.34,59.82,60.05
2024-01-05,59.83,60.44,59.75,59.94
2024-01-08,60.16,60.62,60.11,60.62
2024-01-09,60.03,60.2,59.92,60.02
2024-01-10,60.08,60.35,59.97,60.27
2024-01-11,60.3,60.34,59.49,60.01
2024-01-12,60.37,60.51,60.07,60.18
2024-01-16,59.21,59.35,58.9,59.03
2024-01-17,58.32,58.59,58.08,58.57
2024-01-18,58.81,59.1,58.65,59.09
2024-01-19,58.82,59.12,58.59,59.11
2024-01-22,59.24,59.39,59.13,59.21
2024-01-23,58.98,59.1,58.77,59.07
2024-01-24,60.04,60.08,59.63,59.66
2024-01-25,59.82,59.94,59.56,59.93
2024-01-26,60.55,60.61,60.41,60.47
2024-01-29,60.29,60.73,60.2,60.67
2024-01-30,60.66,60.76,60.44,60.7
2024-01-31,60.92,61.06,60.15,60.24
2024-02-01,60.41,60.87,60.22,60.84
2024-02-02,60.32,60.38,60.0,60.25
2024-02-05,59.85,60.02,59.56,59.9
2024-02-06,59.96,60.39,59.93,60.39
2024-02-07,60.24,60.32,60.07,60.19
2024-02-08,60.22,60.26,60.06,60.19
2024-02-09,60.17,60.41,60.0,60.39
2024-02-12,60.32,60.59,60.31,60.44
2024-02-13,59.55,59.61,59.08,59.27
2024-02-14,59.8,60.12,59.75,60.1
