date,open,high,low,close
2020-10-08,47.03,47.03,46.97,46.97
2020-10-09,46.86,46.91,46.85,46.89
2020-10-12,46.88,46.98,46.87,46.96
2020-10-13,46.92,46.97,46.88,46.91
2020-10-14,46.87,46.9,46.79,46.89
2020-10-15,46.87,46.92,46.85,46.9
2020-10-16,46.88,46.91,46.86,46.86
2020-10-19,46.88,46.91,46.85,46.86
2020-10-20,46.89,46.9,46.86,46.88
2020-10-21,46.88,46.9,46.86,46.86
2020-10-22,46.9,46.92,46.85,46.92
2020-10-23,46.9,46.92,46.87,46.92
2020-10-26,46.91,46.94,46.9,46.91
2020-10-27,46.9,46.93,46.89,46.92
2020-10-28,46.92,46.94,46.9,46.92
2020-10-29,46.92,46.93,46.89,46.92
2020-10-30,46.94,46.94,46.89,46.93
2020-11-02,46.98,46.98,46.91,46.95
2020-11-03,46.98,47.03,46.97,46.99
2020-11-04,47.05,47.06,47.0,47.05
2020-11-05,47.05,47.06,47.02,47.06
2020-11-06,47.01,47.05,47.01,47.03
2020-11-09,46.98,47.0,46.94,46.98
2020-11-10,46.85,46.88,46.84,46.85
2020-11-11,46.86,46.89,46.85,46.89
2020-11-12,46.95,46.95,46.86,46.91
2020-11-13,46.92,46.94,46.86,46.92
2020-11-16,46.92,46.92,46.89,46.89
2020-11-17,46.95,46.96,46.91,46.93
2020-11-18,46.96,46.97,46.93,46.94
2020-11-19,46.98,46.99,46.96,46.98
2020-11-20,46.97,46.98,46.96,46.98
2020-11-23,46.91,47.01,46.91,46.98
2020-11-24,46.97,46.98,46.97,46.98
2020-11-25,46.98,47.0,46.96,46.98
2020-11-27,47.0,47.0,46.95,46.97
2020-11-30,46.91,46.99,46.91,46.98
2020-12-01,47.0,47.04,46.91,46.97
2020-12-02,47.03,47.03,46.96,47.0
2020-12-03,47.03,47.03,47.0,47.03
2020-12-04,47.02,47.03,47.0,47.01
2020-12-07,47.01,47.03,47.0,47.02
2020-12-08,47.01,47.03,46.99,47.01
2020-12-09,46.97,46.97,46.91,46.93
2020-12-10,46.94,46.95,46.92,46.94
2020-12-11,46.97,47.01,46.95,47.0
2020-12-14,46.97,46.98,46.96,46.98
2020-12-15,46.99,47.01,46.97,47.01
2020-12-16,46.99,47.02,46.98,47.01
2020-12-17,47.03,47.04,46.99,47.03
2020-12-18,47.03,47.09,47.03,47.07
2020-12-21,47.06,47.09,47.03,47.09
2020-12-22,47.07,47.09,47.04,47.08
2020-12-23,47.09,47.1,47.04,47.07
2020-12-24,47.08,47.09,47.07,47.07
2020-12-28,47.07,47.09,47.06,47.08
2020-12-29,47.09,47.1,47.07,47.09
2020-12-30,47.12,47.12,47.07,47.1
2020-12-31,47.14,47.14,47.09,47.12
2021-01-04,47.11,47.14,47.1,47.13
2021-01-05,47.21,47.22,47.15,47.2
2021-01-06,47.14,47.21,47.13,47.18
2021-01-07,47.17,47.18,47.14,47.14
2021-01-08,47.11,47.15,47.11,47.14
2021-01-11,47.15,47.16,47.06,47.07
2021-01-12,46.93,47.06,46.91,46.99
2021-01-13,46.99,47.05,46.99,47.04
2021-01-14,47.04,47.07,47.03,47.06
2021-01-15,47.13,47.13,47.05,47.08
2021-01-19,47.06,47.09,47.04,47.07
2021-01-20,47.13,47.13,47.07,47.1
2021-01-21,47.08,47.11,47.07,47.11
2021-01-22,47.12,47.13,47.08,47.1
2021-01-25,47.07,47.11,47.07,47.1
2021-01-26,47.09,47.11,47.08,47.1
2021-01-27,47.09,47.14,47.08,47.11
2021-01-28,47.12,47.14,47.08,47.14
2021-01-29,47.12,47.16,47.09,47.15
2021-02-01,47.16,47.17,47.11,47.17
2021-02-02,47.21,47.21,47.13,47.19
2021-02-03,47.18,47.21,47.18,47.18
2021-02-04,47.18,47.19,47.13,47.19
2021-02-05,47.2,47.21,47.16,47.17
2021-02-08,47.16,47.17,47.15,47.17
2021-02-09,47.1,47.15,47.1,47.14
2021-02-10,47.11,47.17,47.1,47.13
2021-02-11,47.11,47.13,47.07,47.1
2021-02-12,47.11,47.14,47.07,47.09
2021-02-16,47.08,47.08,46.96,46.97
2021-02-17,46.96,47.03,46.96,47.03
2021-02-18,47.01,47.04,47.0,47.04
2021-02-19,46.98,46.99,46.94,46.96
2021-02-22,46.94,46.96,46.89,46.9
2021-02-23,46.9,46.94,46.88,46.9
2021-02-24,46.83,46.89,46.82,46.89
2021-02-25,46.77,46.8,46.63,46.64
2021-02-26,46.74,46.86,46.64,46.86
2021-03-01,46.87,46.91,46.82,46.91
2021-03-02,46.88,46.95,46.85,46.94
2021-03-03,46.94,46.96,46.91,46.94
2021-03-04,46.95,47.0,46.85,46.86
2021-03-05,46.77,46.85,46.77,46.85
2021-03-08,46.81,46.83,46.78,46.8
2021-03-09,46.75,46.82,46.71,46.76
2021-03-10,46.75,46.77,46.71,46.76
2021-03-11,46.76,46.82,46.75,46.77
2021-03-12,46.71,46.73,46.68,46.69
2021-03-15,46.68,46.7,46.64,46.67
2021-03-16,46.67,46.68,46.64,46.66
2021-03-17,46.57,46.7,46.56,46.66
2021-03-18,46.53,46.56,46.52,46.55
2021-03-19,46.51,46.55,46.48,46.54
2021-03-22,46.55,46.58,46.53,46.58
2021-03-23,46.62,46.64,46.58,46.62
2021-03-24,46.62,46.67,46.6,46.65
2021-03-25,46.63,46.68,46.62,46.65
2021-03-26,46.62,46.66,46.58,46.59
2021-03-29,46.64,46.64,46.55,46.58
