date,open,high,low,close
2023-10-09,206.28,208.95,206.13,208.61
2023-10-10,208.9,211.19,208.87,209.9
2023-10-11,210.46,210.88,209.17,210.73
2023-10-12,210.9,210.96,207.86,209.04
2023-10-13,209.8,210.27,207.1,207.86
2023-10-16,209.03,210.71,208.86,210.27
2023-10-17,208.68,211.61,208.48,210.54
2023-10-18,209.4,209.9,206.94,207.43
2023-10-19,207.73,208.66,205.09,205.47
2023-10-20,205.26,205.44,202.84,202.93
2023-10-23,202.15,204.39,201.17,202.38
2023-10-24,203.52,204.63,202.59,203.91
2023-10-25,202.91,203.0,200.61,200.88
2023-10-26,200.45,200.88,198.22,198.8
2023-10-27,199.55,199.66,197.06,197.72
2023-10-30,199.1,200.51,198.35,200.0
2023-10-31,200.17,201.5,199.38,201.3
2023-11-01,201.64,203.66,201.37,203.31
2023-11-02,205.25,207.45,205.25,207.35
2023-11-03,208.63,210.46,208.58,209.69
2023-11-06,210.1,210.33,208.77,209.78
2023-11-07,209.66,210.75,209.19,210.4
2023-11-08,210.59,210.96,209.29,210.37
2023-11-09,210.88,211.02,208.37,208.58
2023-11-10,209.39,211.83,208.75,211.68
2023-11-13,211.05,212.07,210.59,211.56
2023-11-14,214.65,216.86,214.65,216.25
2023-11-15,216.94,217.85,216.39,216.78
2023-11-16,216.39,216.96,215.71,216.64
2023-11-17,216.95,217.5,216.51,217.18
2023-11-20,217.18,219.27,217.08,218.82
2023-11-21,218.29,218.47,217.67,218.22
2023-11-22,218.88,219.76,218.57,219.16
2023-11-24,219.06,219.45,219.03,219.39
2023-11-27,219.14,219.54,218.8,219.11
2023-11-28,218.8,219.91,218.49,219.25
2023-11-29,220.37,221.15,219.13,219.34
2023-11-30,219.73,220.38,218.85,220.25
2023-12-01,219.99,222.26,219.59,222.11
2023-12-04,220.56,221.39,220.07,221.31
2023-12-05,220.56,221.42,220.19,220.88
2023-12-06,221.84,222.1,219.88,219.95
2023-12-07,220.96,221.99,220.69,221.71
2023-12-08,221.32,223.0,221.23,222.77
2023-12-11,222.62,223.72,222.44,223.69
2023-12-12,223.49,224.66,222.88,224.53
2023-12-13,224.64,228.2,224.42,228.02
2023-12-14,229.4,230.3,227.97,229.37
2023-12-15,228.88,229.67,228.4,229.06
2023-12-18,229.59,230.53,229.56,230.05
2023-12-19,230.43,231.78,230.43,231.74
2023-12-20,231.44,232.37,228.21,228.28
2023-12-21,229.82,230.88,228.82,230.8
2023-12-22,231.29,232.2,230.36,231.33
2023-12-26,231.67,232.97,231.55,232.48
2023-12-27,232.67,233.1,232.15,232.92
2023-12-28,232.92,233.4,232.8,232.8
2023-12-29,232.81,233.13,231.19,231.91
2024-01-02,230.37,231.21,229.5,230.35
2024-01-03,229.28,229.48,227.89,228.15
2024-01-04,228.04,229.3,227.45,227.56
2024-01-05,227.49,229.14,227.2,227.9
