date,open,high,low,close
2023-10-09,51.13,51.52,51.12,51.46
2023-10-10,51.45,51.88,51.45,51.52
2023-10-11,51.91,51.99,51.73,51.95
2023-10-12,51.84,51.88,51.35,51.5
2023-10-13,51.8,51.93,51.55,51.64
2023-10-16,51.51,51.58,51.45,51.51
2023-10-17,51.03,51.49,51.03,51.35
2023-10-18,51.09,51.16,50.83,50.92
2023-10-19,50.86,51.11,50.63,50.65
2023-10-20,50.87,50.97,50.78,50.86
2023-10-23,50.74,51.34,50.73,51.1
2023-10-24,51.29,51.54,51.21,51.5
2023-10-25,51.36,51.37,51.1,51.14
2023-10-26,51.15,51.43,51.12,51.27
2023-10-27,51.29,51.39,51.14,51.27
2023-10-30,51.28,51.47,51.27,51.38
2023-10-31,51.48,51.67,51.37,51.37
2023-11-01,51.61,52.13,51.42,52.08
2023-11-02,52.36,52.74,52.36,52.55
2023-11-03,53.06,53.37,53.0,53.02
2023-11-06,52.95,52.95,52.55,52.6
2023-11-07,52.61,53.04,52.61,52.89
2023-11-08,52.83,53.03,52.82,52.95
2023-11-09,52.82,52.9,52.48,52.48
2023-11-10,52.7,52.74,52.52,52.66
2023-11-13,52.29,52.61,52.26,52.44
2023-11-14,53.05,53.51,53.02,53.4
2023-11-15,53.23,53.26,52.92,53.1
2023-11-16,53.19,53.59,53.19,53.41
2023-11-17,53.48,53.73,53.43,53.59
2023-11-20,53.53,53.96,53.41,53.88
2023-11-21,53.91,54.01,53.52,53.88
2023-11-22,53.9,54.18,53.85,54.16
2023-11-24,54.01,54.18,54.01,54.08
2023-11-27,54.02,54.31,53.92,54.27
2023-11-28,54.24,54.62,54.11,54.6
2023-11-29,54.78,55.0,54.72,54.94
2023-11-30,54.87,54.87,54.43,54.6
2023-12-01,54.63,55.44,54.63,55.4
2023-12-04,55.09,55.15,54.87,55.12
2023-12-05,55.29,55.43,55.16,55.35
2023-12-06,55.63,55.77,55.49,55.68
2023-12-07,55.79,55.79,55.6,55.6
2023-12-08,55.54,55.58,55.34,55.54
2023-12-11,55.34,55.46,55.23,55.35
2023-12-12,55.47,55.58,55.28,55.5
2023-12-13,55.69,56.54,55.55,56.47
2023-12-14,56.93,57.23,56.81,56.97
2023-12-15,57.01,57.14,56.85,57.02
2023-12-18,57.03,57.11,56.87,57.02
2023-12-19,56.97,57.23,56.97,57.16
2023-12-20,57.24,57.28,57.14,57.23
2023-12-21,57.31,57.5,57.12,57.26
2023-12-22,57.26,57.35,57.15,57.21
2023-12-26,57.21,57.43,57.16,57.35
2023-12-27,57.52,57.66,57.47,57.6
2023-12-28,57.52,57.58,57.35,57.45
2023-12-29,57.44,57.49,57.27,57.27
2024-01-02,57.07,57.07,56.68,56.76
2024-01-03,56.32,56.49,56.08,56.46
2024-01-04,56.23,56.28,56.06,56.18
2024-01-05,56.0,56.45,55.86,55.95
2024-01-08,55.93,56.2,55.84,56.02
2024-01-09,55.76,55.91,55.75,55.82
2024-01-10,56.2,56.28,56.07,56.21
2024-01-11,56.43,56.77,56.2,56.7
2024-01-12,56.7,56.96,56.68,56.78
2024-01-16,56.6,56.65,56.18,56.29
2024-01-17,56.16,56.16,55.93,56.07
2024-01-18,56.23,56.26,55.95,56.12
2024-01-19,56.11,56.29,55.93,56.19
2024-01-22,56.19,56.3,56.02,56.25
2024-01-23,56.05,56.06,55.79,56.02
2024-01-24,56.18,56.21,55.79,55.86
2024-01-25,56.11,56.33,56.05,56.32
2024-01-26,56.17,56.43,56.11,56.32
2024-01-29,56.32,56.64,56.3,56.55
2024-01-30,56.55,56.64,56.39,56.64
2024-01-31,56.64,56.9,56.37,56.57
