date,open,high,low,close
2023-10-09,33.82,34.08,33.56,34.03
2023-10-10,34.05,34.33,34.05,34.33
2023-10-11,34.53,34.58,34.37,34.55
2023-10-12,34.43,34.43,34.16,34.35
2023-10-13,34.45,34.45,34.13,34.36
2023-10-16,34.29,34.67,34.16,34.5
2023-10-17,34.13,34.42,33.97,34.23
2023-10-18,34.11,34.2,33.95,33.95
2023-10-19,33.91,34.06,33.82,33.92
2023-10-20,33.87,33.99,33.68,33.84
2023-10-23,33.84,34.18,33.74,34.07
2023-10-24,34.07,34.29,33.86,34.13
2023-10-25,33.95,34.07,33.73,33.81
2023-10-26,33.84,34.1,33.74,34.04
2023-10-27,33.99,34.28,33.92,34.16
2023-10-30,33.99,34.25,33.97,34.19
2023-10-31,34.14,34.2,33.91,34.02
2023-11-01,34.05,34.35,34.05,34.35
2023-11-02,34.69,34.99,34.63,34.87
2023-11-03,35.21,36.08,35.21,35.42
2023-11-06,35.28,35.58,34.22,34.43
2023-11-07,35.22,35.31,34.99,35.23
2023-11-08,35.1,35.35,34.96,35.28
2023-11-09,35.13,35.35,34.87,34.87
2023-11-10,34.84,35.06,34.75,35.05
2023-11-13,34.74,34.99,34.73,34.95
2023-11-14,35.5,36.03,35.24,35.94
2023-11-15,35.73,35.98,35.64,35.77
2023-11-16,35.75,36.12,35.65,35.88
2023-11-17,35.86,36.17,35.86,35.96
2023-11-20,36.09,36.2,36.03,36.12
2023-11-21,36.22,36.27,35.52,36.21
2023-11-22,36.13,36.17,35.88,35.94
2023-11-24,35.81,36.12,35.81,36.12
2023-11-27,36.05,36.25,35.83,36.13
2023-11-28,36.3,36.51,36.26,36.51
2023-11-29,36.52,36.57,36.13,36.27
2023-11-30,36.21,36.44,35.76,36.25
2023-12-01,36.23,36.53,35.63,36.42
2023-12-04,36.14,36.32,36.05,36.31
2023-12-05,36.29,37.12,36.28,36.42
2023-12-06,36.67,37.03,36.58,36.71
2023-12-07,36.74,36.83,36.55,36.74
2023-12-08,36.52,36.59,36.31,36.33
2023-12-11,36.25,36.49,36.18,36.47
2023-12-12,36.49,36.49,36.21,36.34
2023-12-13,36.35,37.12,36.34,37.12
2023-12-14,37.13,38.1,37.13,37.57
2023-12-15,37.57,37.86,37.46,37.58
2023-12-18,37.47,37.66,37.38,37.42
2023-12-19,37.56,38.03,37.29,38.0
2023-12-20,37.98,38.08,37.74,37.92
2023-12-21,37.92,38.18,37.92,38.03
2023-12-22,38.31,38.34,38.0,38.04
2023-12-26,38.28,38.34,37.74,38.14
2023-12-27,38.48,38.54,37.68,38.53
2023-12-28,38.34,38.58,37.91,37.93
2023-12-29,37.93,38.26,37.93,38.14
2024-01-02,37.88,38.27,37.48,37.55
2024-01-03,37.28,37.61,36.69,37.37
2024-01-04,37.32,37.48,37.1,37.41
2024-01-05,37.38,37.57,37.05,37.42
2024-01-08,37.2,37.39,37.2,37.36
2024-01-09,37.2,37.24,36.9,37.1
2024-01-10,36.97,37.22,36.92,36.95
2024-01-11,36.91,37.23,36.9,37.0
2024-01-12,37.16,37.24,37.06,37.06
2024-01-16,36.67,36.88,36.38,36.45
2024-01-17,36.19,36.33,36.11,36.24
2024-01-18,36.39,36.43,35.94,36.3
2024-01-19,36.4,36.44,36.24,36.28
2024-01-22,36.33,36.51,36.23,36.35
2024-01-23,36.25,36.65,36.04,36.19
2024-01-24,36.48,36.61,36.39,36.39
2024-01-25,36.58,36.59,36.3,36.51
2024-01-26,36.51,36.76,36.02,36.47
2024-01-29,36.58,36.67,36.28,36.65
2024-01-30,36.62,36.78,36.39,36.67
2024-01-31,36.72,36.92,36.47,36.47
2024-02-01,36.73,37.18,36.46,37.08
2024-02-02,36.68,36.8,36.14,36.36
2024-02-05,36.31,36.36,35.77,36.18
2024-02-06,36.28,36.57,36.18,36.51
2024-02-07,36.5,36.61,36.24,36.39
2024-02-08,36.32,36.53,36.06,36.33
2024-02-09,36.22,36.45,36.15,36.18
2024-02-12,36.18,37.13,35.76,36.23
2024-02-13,35.96,36.68,35.96,36.13
2024-02-14,36.17,36.44,36.03,36.44
2024-02-15,36.44,36.54,36.33,36.35
2024-02-16,36.25,36.5,36.14,36.39
2024-02-20,36.53,36.56,36.39,36.47
2024-02-21,36.46,36.51,36.31,36.39
2024-02-22,36.44,36.65,36.23,36.37
2024-02-23,36.38,36.39,36.18,36.32
2024-02-26,36.3,36.35,36.14,36.25
2024-02-27,36.16,36.41,35.97,36.25
2024-02-28,36.4,36.4,36.14,36.29
2024-02-29,36.4,36.52,36.28,36.38
2024-03-01,36.55,36.56,36.21,36.48
2024-03-04,36.42,36.65,36.41,36.59
2024-03-05,36.72,36.83,36.61,36.83
2024-03-06,36.83,36.93,36.73,36.85
2024-03-07,37.01,37.1,36.9,37.06
2024-03-08,37.11,37.25,36.07,36.98
2024-03-11,37.09,37.14,36.98,37.01
2024-03-12,36.92,37.3,36.6,37.0
2024-03-13,37.0,37.15,36.93,37.13
2024-03-14,36.99,36.99,36.72,36.72
2024-03-15,36.69,36.76,36.66,36.66
2024-03-18,36.56,36.64,36.24,36.56
2024-03-19,36.55,36.59,36.35,36.46
2024-03-20,36.39,36.84,36.39,36.64
2024-03-21,36.64,36.8,36.64,36.65
2024-03-22,36.7,37.25,36.24,36.59
2024-03-25,36.46,36.73,36.46,36.59
2024-03-26,36.66,36.66,36.47,36.62
2024-03-27,36.62,36.67,36.54,36.62
2024-03-28,36.59,36.68,36.57,36.6
2024-04-01,36.38,36.55,36.16,36.31
2024-04-02,36.36,36.48,36.16,36.34
2024-04-03,36.66,36.73,36.37,36.73
2024-04-04,36.75,36.76,36.41,36.76
2024-04-05,36.7,36.7,36.29,36.7
2024-04-08,36.49,36.96,36.49,36.7
2024-04-09,36.81,36.83,36.57,36.59
2024-04-10,36.14,36.43,35.97,36.12
2024-04-11,35.37,36.57,35.37,35.97
2024-04-12,35.94,37.15,35.71,35.93
2024-04-15,35.8,36.01,35.74,35.76
2024-04-16,35.6,35.88,35.28,35.45
2024-04-17,35.36,35.65,35.32,35.46
2024-04-18,35.4,35.63,35.4,35.49
2024-04-19,35.36,35.56,35.27,35.38
2024-04-22,35.29,35.56,35.22,35.56
2024-04-23,35.37,35.84,35.37,35.8
2024-04-24,35.4,35.72,35.31,35.54
2024-04-25,35.57,35.64,35.37,35.63
